,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
5,7,8,15,16,23,24,32,31,40,39
7,7,8,15,16,23,24,32,31,40,30
20,21,29,5,13,28,30,37,22,3,19
35,29,21,5,13,37,17,18,33,41,1
36,33,4,12,20,25,26,27,41,3,17
49,28,20,29,36,4,12,21,19,27,52
53,43,34,35,41,30,42,33,22,19,25
63,56,63,64,55,62,54,48,61,47,40
72,56,63,64,55,50,58,62,48,49,57
89,33,34,41,17,18,1,2,9,10,19
102,48,7,8,15,16,23,24,32,47,31
115,35,43,41,42,22,27,6,14,21,34
120,33,34,41,17,18,1,2,9,10,19
121,7,8,15,16,23,24,32,31,40,39
125,50,58,34,35,36,60,51,42,59,43
128,21,35,30,22,28,36,3,29,6,14
130,62,63,64,56,54,55,61,30,46,22
139,7,8,15,16,23,24,32,30,31,40
145,30,22,6,14,21,38,54,40,37,7
146,1,2,9,10,11,17,18,3,19,25
158,56,63,64,55,48,47,62,40,7,8
159,21,29,31,22,5,13,7,8,15,16
172,59,61,60,51,50,58,52,43,49,57
194,17,18,1,2,9,10,19,25,26,11
226,21,28,3,29,19,20,27,5,13,4
227,40,7,8,15,16,23,24,32,39,31
242,61,29,53,21,45,54,62,37,56,63
258,7,8,15,16,23,24,32,22,31,6
277,36,50,58,61,52,34,35,51,28,44
291,59,60,51,52,50,58,49,57,62,42
301,30,7,8,15,16,23,24,32,22,38
319,61,53,54,62,55,59,56,63,64,60
333,27,41,35,43,28,33,19,20,25,26
337,48,47,45,40,7,8,15,16,23,24
344,7,8,15,16,23,24,32,31,21,22
360,17,18,1,2,9,10,19,20,25,26
366,51,52,50,58,34,35,42,59,36,44
368,61,59,53,54,62,60,52,51,56,63
371,50,58,61,60,51,42,59,43,49,57
372,61,53,42,59,54,50,58,36,44,60
376,17,18,28,1,2,9,10,19,20,25
383,41,28,36,44,20,42,4,12,43,49
394,17,18,1,2,9,10,19,20,25,26
395,33,25,26,41,34,17,18,1,2,9
400,59,43,49,57,52,51,61,34,35,53
409,7,8,15,16,23,24,32,22,31,6
414,7,8,15,16,23,24,32,40,31,39
435,34,17,18,36,59,3,1,2,9,10
438,28,36,19,20,27,11,35,3,17,18
452,36,44,37,19,34,35,45,43,11,17
456,48,47,46,63,64,40,38,62,30,7
459,49,57,50,58,51,34,35,42,59,36
471,22,21,5,13,6,14,30,29,28,7
484,48,47,40,55,46,39,56,38,54,45
495,49,57,42,43,50,58,41,34,35,36
497,49,57,3,33,4,12,21,50,58,34
504,59,36,44,60,43,52,51,53,35,42
506,59,50,58,51,49,57,43,61,60,52
510,7,8,15,16,23,24,32,31,22,40
549,5,13,21,6,14,29,22,30,37,3
594,17,18,1,2,9,10,19,20,25,26
610,7,8,15,16,23,24,32,31,22,6
618,41,4,12,28,36,5,13,43,3,35
627,28,20,41,17,18,36,44,4,12,1
633,7,8,15,16,23,24,32,31,63,64
649,49,57,51,50,58,61,59,43,56,63
667,22,6,14,21,5,13,30,29,7,8
679,17,18,28,41,3,30,1,2,9,10
681,6,14,21,30,5,13,22,3,29,4
683,17,18,1,2,9,10,19,25,26,33
689,7,8,15,16,23,24,32,22,21,31
700,40,48,7,8,15,16,23,24,32,39
715,30,21,22,31,29,6,14,7,8,15
724,43,35,42,36,44,41,49,57,30,51
742,21,5,13,3,29,4,12,17,18,28
744,61,54,62,52,60,53,45,59,46,55
749,4,12,3,28,11,21,5,13,1,2
781,5,13,4,12,21,30,6,14,3,29
793,28,36,20,35,4,12,19,27,11,52
814,25,26,27,17,18,28,34,35,3,1
818,21,22,5,13,29,6,14,30,37,45
823,21,17,18,28,30,3,29,1,2,9
831,17,18,1,2,9,10,19,25,26,34
843,48,47,40,7,8,15,16,23,24,32
849,35,36,43,51,34,28,44,42,59,19
