,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
6,40,48,56,63,64,7,8,15,16,23
13,6,14,31,5,13,22,21,7,8,15
18,28,20,4,12,52,49,57,17,18,36
61,40,7,8,15,16,23,24,32,39,31
70,42,41,34,35,43,17,18,28,36,33
80,40,48,7,8,15,16,23,24,32,39
81,55,56,63,64,62,54,61,59,51,50
144,51,28,36,44,60,48,59,49,57,19
154,59,50,58,52,34,61,60,51,42,43
169,33,17,18,4,12,1,2,9,10,19
178,59,60,61,52,53,51,44,50,58,54
185,28,19,20,27,11,43,3,4,12,41
186,3,28,4,12,21,19,20,27,11,35
190,22,6,14,5,13,21,42,30,34,35
196,7,8,15,16,23,24,32,31,40,39
207,28,36,20,30,4,12,21,22,44,52
212,19,11,17,18,28,36,3,1,2,9
220,61,60,59,49,57,54,62,52,50,58
240,61,52,53,49,57,59,60,50,58,54
241,40,7,8,15,16,23,24,32,39,31
244,49,57,34,35,36,42,50,58,43,33
266,19,11,17,18,28,3,33,4,12,1
273,3,4,12,1,2,9,10,11,17,18
274,29,21,37,30,22,38,5,13,6,14
285,29,21,37,5,13,30,45,22,38,6
299,34,35,42,36,41,43,49,57,33,59
303,33,17,18,5,13,1,2,9,10,19
304,59,50,58,51,49,57,61,43,60,52
309,7,8,15,16,23,24,32,31,21,40
314,4,12,3,11,5,13,28,1,2,9
316,7,8,15,16,23,24,32,31,40,39
323,28,19,20,27,11,3,29,4,12,21
339,17,18,28,1,2,9,10,19,20,25
351,17,18,28,36,1,2,9,10,19,20
357,33,34,35,41,17,18,28,36,1,2
359,17,18,28,36,1,2,9,10,19,20
362,30,22,21,6,14,29,7,8,15,16
365,49,57,17,18,28,36,44,1,2,9
370,59,43,51,52,62,50,58,35,42,61
382,17,18,28,36,1,2,9,10,19,20
393,33,34,35,41,17,18,28,36,1,2
404,49,57,59,60,50,58,54,62,52,56
455,34,37,33,29,35,21,45,17,18,36
466,50,58,61,49,57,53,59,51,42,54
472,30,61,22,62,63,64,6,14,29,46
479,17,18,3,1,2,9,10,19,25,26
485,63,64,62,56,55,61,54,53,60,50
500,54,53,56,55,61,62,63,64,34,35
511,7,8,15,16,23,24,32,48,31,47
516,49,57,43,53,51,50,58,61,42,59
521,19,20,27,11,3,17,18,28,36,4
523,61,59,53,60,52,51,54,62,50,58
527,49,57,34,50,58,33,35,51,17,18
536,61,63,64,62,56,53,55,52,59,54
537,31,7,8,15,16,23,24,32,21,29
558,33,34,35,41,17,18,28,36,1,2
566,21,29,5,13,22,6,14,30,7,8
583,21,29,5,13,7,8,15,16,23,24
596,43,44,60,51,52,50,58,42,59,35
608,30,17,18,28,36,29,22,1,2,9
613,51,59,43,49,57,35,30,46,22,38
631,21,5,13,31,29,7,8,15,16,23
647,48,7,8,15,16,23,24,32,47,31
654,34,33,1,2,9,10,35,11,17,18
682,43,41,35,54,51,28,36,44,60,61
687,4,12,5,13,3,6,14,30,21,11
690,40,7,8,15,16,23,24,32,39,48
705,59,60,51,52,61,53,54,62,50,58
718,30,22,6,14,21,40,7,8,15,16
735,19,11,17,18,3,1,2,9,10,20
740,7,8,15,16,23,24,32,31,6,14
745,21,30,29,5,13,22,6,14,3,17
752,4,12,3,1,2,9,10,11,17,18
753,59,36,44,60,43,53,52,35,45,51
755,45,54,53,47,31,43,61,46,55,22
757,49,57,51,50,58,59,43,34,35,42
758,33,34,35,17,18,28,36,1,2,9
759,54,47,60,61,55,53,39,46,48,38
782,56,63,64,55,48,54,47,40,62,7
788,3,17,18,28,36,44,4,12,21,39
798,63,64,56,55,50,58,49,57,62,42
805,39,40,47,48,31,38,45,46,7,8
812,30,22,35,21,43,6,14,37,36,52
828,51,50,58,59,43,49,57,35,42,36
841,7,8,15,16,23,24,32,31,22,40
