,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
33,28,20,36,4,12,19,27,52,11,35
54,41,43,27,33,35,42,19,20,25,26
75,21,28,29,20,4,12,5,13,30,36
84,54,56,55,41,61,53,42,43,33,30
86,28,36,42,41,20,4,12,21,34,35
90,31,30,7,8,15,16,23,24,32,39
91,17,18,28,41,1,2,9,10,19,20
95,28,36,19,20,27,35,11,17,18,3
119,43,53,42,49,57,41,35,51,45,50
122,36,22,42,6,14,34,35,30,37,7
133,3,4,12,1,2,9,10,11,17,18
143,1,2,9,10,4,12,11,17,18,28
155,40,48,7,8,15,16,23,24,32,39
162,3,1,2,9,10,4,12,11,17,18
179,17,18,28,36,1,2,9,10,19,20
200,1,2,9,10,11,3,17,18,28,4
206,40,30,7,8,15,16,23,24,32,39
209,30,22,43,6,14,35,21,41,36,42
216,28,19,20,27,11,3,17,18,36,4
236,1,2,9,10,5,13,11,37,17,18
246,33,17,18,1,2,9,10,19,20,25
251,63,64,7,8,15,16,23,24,32,30
254,33,17,18,3,1,2,9,10,19,25
259,19,20,27,11,3,17,18,28,36,4
267,21,28,36,3,29,19,20,27,4,12
284,49,57,51,59,50,58,19,20,27,43
295,33,34,35,17,18,28,36,1,2,9
302,62,61,54,59,53,63,64,38,51,52
310,49,57,50,58,51,42,59,30,46,43
318,36,44,42,30,46,43,49,57,45,22
325,21,30,29,22,6,14,5,13,7,8
346,34,35,42,59,36,60,50,58,43,61
363,51,59,60,52,35,28,36,44,61,54
367,22,6,14,30,21,45,5,13,37,46
377,7,8,15,16,23,24,32,30,31,40
385,7,8,15,16,23,24,32,31,22,40
391,52,59,44,60,43,49,57,51,53,35
392,17,18,28,1,2,9,10,19,20,25
402,30,22,21,6,14,5,13,29,40,38
407,56,63,64,55,62,61,54,51,53,50
412,44,45,28,36,29,21,30,46,20,22
413,49,57,36,44,42,59,50,58,43,52
430,5,13,3,6,14,52,4,12,21,1
461,17,18,1,2,9,10,19,25,26,11
462,21,30,22,29,6,14,5,13,37,28
476,17,18,36,1,2,9,10,19,20,25
477,59,52,51,60,49,57,43,50,58,35
489,28,36,19,20,27,11,35,3,29,41
490,43,41,35,51,28,36,44,42,59,19
496,22,6,14,21,5,13,30,17,18,28
513,51,49,57,59,43,50,58,52,35,41
518,3,11,4,12,1,2,9,10,19,17
533,5,13,20,22,4,12,21,6,14,28
541,3,19,4,12,11,17,18,33,1,2
545,61,54,62,53,45,60,56,63,64,37
546,45,37,22,21,5,13,6,14,30,46
553,49,57,36,44,42,50,58,43,41,45
580,56,63,64,55,61,62,54,53,50,58
587,52,45,51,44,61,53,59,47,29,55
590,36,44,43,49,57,51,3,35,4,12
602,33,25,26,34,17,18,1,2,9,10
617,17,18,28,1,2,9,10,19,20,25
630,5,13,3,4,12,11,1,2,9,10
642,59,52,51,61,54,62,60,50,58,49
646,49,57,43,44,51,27,50,58,42,59
648,30,22,6,14,4,12,21,17,18,28
677,29,41,28,43,21,19,20,27,11,35
692,63,64,56,55,62,61,54,53,60,50
693,59,60,51,52,61,49,57,50,58,53
697,56,63,64,55,62,61,54,40,53,50
698,55,56,63,64,62,48,61,47,54,40
701,6,14,30,46,22,38,54,61,53,48
704,52,62,61,49,57,44,60,53,63,64
710,63,64,62,56,61,55,54,53,59,50
726,41,49,57,51,42,59,50,58,44,43
730,17,18,28,1,2,9,10,19,20,25
734,7,8,15,16,23,24,32,31,40,45
736,7,8,15,16,23,24,32,31,40,22
739,28,36,19,20,27,11,35,3,43,17
741,22,21,7,8,15,16,23,24,32,6
756,42,41,43,33,50,58,34,35,25,26
761,61,54,62,53,60,59,55,51,56,63
770,7,8,15,16,23,24,32,31,40,48
835,33,25,26,27,41,17,18,1,2,9
839,49,57,51,19,25,26,27,33,62,11
