,ADMP,BMP2B,CHD,FOXB1A,GATA2A,ID3,NDR2,SEBOX,SZL,VENT
,APLNRB,BMP4,CST3,FOXD3,GATA5,LHX1A,NOTO,SNAI1A,TA,VOX
,AXIN2,BMP7A,EVE1,FOXD5,GSC,MIXL1,OSR1,SOX3,TBX16,WNT11
,BAMBIA,CDX4,FGF8A,FOXI1,HES6,NDR1,OTX1A,SP5L,VED,WNT8A
10,45,52,61,46,38,54,53,37,47,55
30,41,1,2,9,10,33,11,34,35,5
37,29,28,21,19,20,27,11,35,30,3
40,35,43,36,42,59,34,41,37,49,57
41,41,40,21,28,36,7,8,15,16,23
47,30,22,6,14,21,35,43,37,28,36
50,7,8,15,16,23,24,32,31,40,48
79,28,4,12,20,41,3,5,13,17,18
97,3,1,2,9,10,4,12,11,17,18
123,36,37,28,44,52,29,42,20,41,21
137,61,38,54,62,51,53,59,49,57,55
156,41,43,35,3,42,4,12,21,28,36
160,60,52,50,58,59,44,61,51,53,49
167,5,13,21,22,29,6,14,7,8,15
173,7,8,15,16,23,24,32,6,14,31
183,22,6,14,21,30,5,13,29,37,7
184,41,33,34,35,17,18,28,36,42,1
199,40,61,7,8,15,16,23,24,32,39
202,49,57,51,59,60,50,58,30,46,61
203,40,7,8,15,16,23,24,32,39,31
210,36,37,29,34,35,21,45,30,28,44
225,56,63,64,50,58,59,52,49,57,51
229,1,2,9,10,11,3,17,18,28,4
230,28,19,20,27,11,17,18,3,29,1
233,21,5,13,22,29,7,8,15,16,23
248,40,48,17,18,7,8,15,16,23,24
262,35,59,43,41,27,33,49,57,51,34
263,3,1,2,9,10,5,13,4,12,21
271,59,49,57,33,52,34,35,17,18,28
289,30,22,38,27,40,7,8,15,16,23
308,37,29,21,45,30,46,48,22,38,47
320,36,37,28,44,21,45,43,5,13,35
321,17,18,33,1,2,9,10,19,25,26
326,21,29,28,30,5,13,37,22,19,20
334,7,8,15,16,23,24,32,31,22,40
347,49,57,42,50,58,43,41,45,34,35
361,48,56,7,8,15,16,23,24,32,47
388,3,19,4,12,21,30,11,22,17,18
406,59,60,51,50,58,52,42,34,35,36
410,36,42,34,35,41,17,18,28,44,43
417,49,57,30,46,22,38,6,14,42,50
422,45,37,29,36,44,53,21,52,38,35
444,21,30,29,22,6,14,7,8,15,16
445,19,11,17,18,28,36,3,1,2,9
446,7,8,15,16,23,24,32,31,40,39
458,17,18,28,1,2,9,10,19,20,25
460,51,59,49,57,52,35,36,44,60,50
469,30,22,38,6,14,29,21,17,18,28
498,28,36,19,20,27,35,11,41,3,29
501,3,4,12,11,1,2,9,10,19,17
508,49,57,50,58,33,34,35,41,25,26
515,28,19,20,27,11,17,18,36,3,1
520,20,17,18,28,29,1,2,9,10,19
522,30,22,38,6,14,37,29,17,18,28
538,6,14,31,21,5,13,22,29,7,8
540,49,57,51,35,28,36,60,59,19,20
555,63,64,62,55,56,50,58,59,61,49
556,60,52,59,51,44,61,53,49,57,43
576,51,59,49,57,50,58,44,43,27,52
605,40,7,8,15,16,23,24,32,39,31
616,7,8,15,16,23,24,32,31,5,13
619,45,53,37,60,52,61,59,54,21,49
622,7,8,15,16,23,24,32,31,40,22
626,21,7,8,15,16,23,24,32,6,14
639,19,20,4,12,11,17,18,28,3,1
657,30,22,6,14,21,17,18,28,36,42
658,51,44,52,59,53,43,36,60,50,58
662,17,18,28,41,1,2,9,10,19,20
666,30,22,17,18,28,36,29,6,14,1
686,48,7,8,15,16,23,24,32,47,31
699,7,8,15,16,23,24,32,31,40,22
706,55,61,54,62,56,63,64,53,47,46
711,7,8,15,16,23,24,32,31,6,14
717,33,34,41,25,26,49,57,35,42,17
762,50,58,51,49,57,44,52,59,61,45
773,59,54,62,61,53,51,50,58,56,63
775,7,8,15,16,23,24,32,30,31,6
776,41,29,28,43,21,45,19,20,27,37
786,30,22,21,6,14,28,36,44,37,3
787,17,18,28,1,2,9,10,19,20,25
792,50,58,61,49,57,52,59,62,53,51
794,41,35,43,27,33,42,34,28,36,49
810,37,45,5,13,21,29,36,44,6,14
816,11,3,1,2,9,10,19,4,12,17
825,21,30,29,40,22,7,8,15,16,23
830,5,13,21,29,28,36,6,14,4,12
