,EVE1,VED,VOX,CHD,BMP7A,NOTO,FOXD5,GATA5,FOXI1,WNT11
,BAMBIA,SZL,SOX3,BMP4,TA,GATA2A,ADMP,LHX1A,FOXB1A,SEBOX
11,28,33,35,41,20,27,34,36,17,18
17,3,4,12,1,2,9,10,11,28,17
19,17,18,19,25,26,1,2,9,10,11
22,20,27,28,17,18,19,25,26,1,2
27,22,30,6,7,8,14,15,16,23,24
29,1,2,9,10,11,3,4,12,17,18
46,35,49,57,34,36,42,43,41,50,51
52,59,50,51,58,35,52,49,57,34,36
59,28,20,27,36,41,17,18,19,25,26
60,28,20,27,36,44,49,57,17,18,19
65,28,33,35,41,20,27,34,36,59,17
71,22,30,28,35,41,6,7,8,14,15
93,61,59,60,50,51,58,53,21,35,52
96,7,8,15,16,21,23,24,31,32,29
100,28,20,27,29,36,17,18,19,21,25
116,35,41,42,43,34,36,49,57,59,28
134,36,28,35,41,20,27,34,44,42,43
135,21,28,22,30,20,27,29,6,7,8
148,22,30,6,7,8,14,15,16,23,24
151,46,47,48,22,30,38,56,62,63,64
176,41,28,33,35,3,4,12,20,27,34
177,28,20,27,36,22,30,35,41,6,7
191,22,30,6,7,8,14,15,16,23,24
193,46,47,48,22,30,38,56,63,64,6
195,33,3,4,12,20,27,17,18,19,25
221,22,30,6,7,8,14,15,16,21,23
223,28,20,27,36,41,17,18,19,25,26
231,28,33,35,41,20,27,34,36,17,18
234,52,53,60,54,55,61,44,56,62,63
238,6,14,22,30,36,7,8,15,16,23
264,36,35,42,43,34,44,59,37,38,56
272,28,35,41,42,43,49,57,20,27,34
278,28,35,20,27,34,36,41,42,43,17
287,36,35,42,43,34,44,28,41,50,51
292,41,42,43,28,33,35,49,57,20,27
317,7,8,15,16,23,24,31,32,22,30
330,22,30,6,7,8,14,15,16,23,24
335,56,54,55,53,61,62,63,64,59,60
343,62,63,64,59,28,52,46,50,51,58
348,41,28,20,27,17,18,19,25,26,42
349,28,33,35,49,57,20,27,34,36,17
380,17,18,19,25,26,28,1,2,9,10
399,3,4,12,28,1,2,9,10,11,20
408,28,20,27,41,17,18,19,25,26,33
434,41,59,42,43,28,33,35,52,49,57
468,3,4,12,1,2,9,10,11,28,17
473,41,28,33,35,20,27,34,36,3,4
491,21,22,30,6,7,8,14,15,16,23
499,36,35,42,43,38,56,59,20,27,34
525,44,50,51,58,42,43,36,60,46,49
530,39,40,47,48,38,7,8,15,16,23
532,3,4,12,1,2,9,10,11,28,17
535,39,40,7,8,15,16,23,24,31,32
539,21,29,22,30,28,5,13,6,7,8
550,7,8,15,16,23,24,31,32,39,40
564,21,22,30,29,6,7,8,14,15,16
575,17,18,19,25,26,28,33,1,2,9
588,63,64,7,8,15,16,23,24,31,32
591,7,8,15,16,23,24,31,32,22,30
635,33,49,57,20,27,60,17,18,19,25
636,38,37,46,35,22,30,56,62,63,64
645,7,8,15,16,23,24,31,32,22,30
671,22,30,6,7,8,14,15,16,23,24
672,28,3,4,12,20,27,36,17,18,19
685,28,33,35,52,41,20,27,34,36,59
696,50,51,58,56,62,63,64,49,57,54
708,7,8,15,16,23,24,31,32,22,30
720,49,57,50,51,58,59,42,43,35,52
721,17,18,19,25,26,1,2,9,10,11
737,49,57,20,27,17,18,19,25,26,42
738,22,30,21,6,7,8,14,15,16,23
747,62,63,64,56,7,8,15,16,23,24
768,7,8,15,16,23,24,31,32,39,40
777,7,8,15,16,23,24,31,32,22,30
785,28,20,27,36,3,4,12,17,18,19
803,3,4,12,17,18,19,25,26,41,28
804,22,30,6,7,8,14,15,16,21,23
806,56,54,55,63,64,7,8,15,16,23
807,21,28,22,30,20,27,29,6,7,8
808,22,30,34,36,28,35,42,43,6,7
817,61,60,53,56,62,63,64,54,55,59
826,28,21,41,22,30,20,27,29,6,7
836,5,13,6,14,22,30,21,20,27,29
840,21,22,30,37,29,36,6,7,8,14
844,20,27,1,2,9,10,11,28,17,18
847,7,8,15,16,23,24,31,32,22,30
