,aay,bmm,CG10479,cnc,disco,ftz,knrl,Nek2,odd,srp
,Ama,hkb,CG11208,Cyp310a1,dpn,h,Kr,NetA,prd,tkv
,zen,brk,CG14427,D,edl,hb,lok,noc,pxb,toc
,Antp,Btk29A,CG17786,dan,E(spl)m5-HLH,htl,Mdr49,nub,rau,Traf4
,apt,bun,CG43394,danr,eve,Ilp4,sna,numb,rho,trn
,Blimp-1,erm,CG8147,Dfd,fj,ImpL2,MESR3,oc,run,tsh
6,1151,1189,1113,1152,1190,1150,1075,1228,1188,1227
7,220,221,256,181,219,258,183,218,260,222
21,1071,1033,1110,1108,1109,1070,1032,1146,1072,995
31,1954,1992,1916,1953,1917,1915,1991,1955,1952,1877
62,693,655,731,694,730,732,656,692,768,770
71,378,2935,377,416,376,339,379,341,340,375
75,1634,1672,1596,1633,1595,3030,1710,1671,1558,2996
77,2691,2690,2692,2729,2653,2652,2689,2651,2728,2654
80,2867,2904,2907,2869,2871,2866,2901,3003,2909,2864
94,1794,1832,1756,1755,1795,1793,1757,3005,1718,1870
104,528,566,529,489,490,451,491,604,527,452
105,150,112,152,149,75,113,2933,111,109,148
111,1077,1039,1115,1116,1078,1114,1076,1152,1153,1001
121,1197,1198,1236,1159,1235,1160,1121,1274,1196,1199
124,1181,1143,1219,1220,1182,1180,1218,1257,1105,1144
125,1269,1307,1270,3035,1231,1308,1346,1306,1345,1232
147,1435,1473,1397,1436,1434,1472,1510,1396,1511,1474
154,2636,2637,2635,2939,2674,2982,2599,2597,2638,2634
164,1214,1176,1252,1213,3014,1175,1215,1177,1290,1138
172,570,608,569,532,3016,531,646,493,606,494
189,1027,989,1065,1066,1028,1103,951,1104,990,1029
190,675,637,713,714,712,674,752,750,638,676
226,2638,2637,2601,2639,2600,2676,2599,2640,2636,2678
229,1056,1094,3025,1018,1055,1017,1132,1093,1057,980
258,1279,1317,1241,1316,2967,1280,1318,1354,1355,1278
283,326,2995,325,364,287,327,289,288,328,362
286,1245,1207,1283,1244,1284,1246,1282,1208,1321,1206
292,1129,1091,1167,1166,1168,1128,1130,1053,1205,2977
296,1077,1039,1115,1116,1078,1114,1076,1152,1153,1001
301,995,1033,994,957,1032,996,1034,956,1071,1072
303,1174,1136,1212,1173,1137,1175,1135,1098,1250,1099
309,1252,1290,1214,1213,1215,1253,1251,1328,1176,1291
343,1685,1723,1686,1724,1647,1722,1761,1762,1648,1684
346,1288,1326,1250,1249,1251,1287,1289,1364,1212,1211
364,303,265,304,302,266,340,264,227,342,263
365,2162,2950,2163,2200,2087,2124,3001,2125,2161,2086
375,1794,1832,1756,1755,1795,1793,1757,3005,1718,1870
377,417,454,455,456,418,494,493,492,415,530
381,1003,965,1041,1004,1042,1040,1002,966,927,1080
392,749,748,788,711,786,787,750,747,673,712
393,1190,1228,1152,1151,1153,1189,1191,1115,1229,1227
403,769,768,770,807,806,731,808,767,730,844
417,836,874,798,797,912,835,873,759,760,950
430,447,484,486,448,409,485,410,446,449,522
431,2659,2620,2658,2735,2621,2660,2697,2619,2696,2582
443,1255,1293,1217,1256,1294,1332,1331,1179,1218,1219
447,341,379,380,340,2935,416,418,378,342,417
453,1252,1290,1214,1213,1215,1253,1251,1328,1176,1291
458,2131,2132,2169,2168,2093,2206,2170,2055,2130,2208
463,1661,1699,1623,1662,1660,1698,1737,1624,1700,1738
466,1755,1717,3005,1794,1756,1793,1754,1718,1679,1792
472,768,730,769,731,767,729,806,693,770,692
475,804,805,842,803,766,2987,841,767,765,843
501,1009,1047,971,1010,1048,1008,1046,933,1086,1084
516,197,196,158,157,159,120,195,194,198,121
520,612,613,650,573,575,574,611,614,535,688
522,154,115,155,153,192,117,156,116,193,194
