,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
11,27,35,41,33,43,11,19,20,25,26
17,3,11,19,25,26,27,4,12,30,8
19,1,2,9,10,17,18,11,19,25,26
22,1,2,9,10,17,18,11,19,20,25
27,30,6,14,22,7,15,23,21,8,16
29,1,2,9,10,17,18,11,19,25,26
46,49,57,50,58,34,35,36,42,51,60
52,50,58,59,49,57,42,51,34,35,43
59,33,1,2,9,10,17,18,11,19,20
60,49,57,41,50,58,42,51,33,43,59
65,59,52,51,60,49,57,61,44,41,50
71,41,42,33,43,1,2,9,10,17,18
93,36,4,12,20,28,35,44,52,43,59
96,7,15,23,8,16,24,31,32,5,13
100,61,54,62,63,56,64,55,53,30,46
116,49,57,50,58,34,35,42,51,33,43
134,34,35,36,42,49,57,33,43,1,2
135,30,6,14,22,7,15,23,3,21,8
148,30,6,14,22,41,42,34,35,21,33
151,63,56,64,55,47,48,54,7,15,23
176,27,35,33,11,19,20,25,26,28,34
177,52,49,57,36,44,42,43,59,41,50
191,30,21,6,14,22,5,13,29,3,37
193,63,54,56,64,62,55,47,48,30,46
195,33,1,2,9,10,17,18,49,57,11
221,30,6,14,22,7,15,23,21,8,16
223,33,1,2,9,10,17,18,41,11,19
231,60,51,43,59,49,57,11,19,20,27
234,53,52,54,59,61,60,55,44,45,62
238,36,30,4,12,21,6,14,22,20,28
264,50,58,59,34,35,49,57,42,51,33
272,27,35,43,41,42,49,57,11,19,20
278,34,35,36,42,33,43,1,2,9,10
287,34,35,36,33,3,1,2,9,10,17
292,53,61,54,62,63,56,64,55,60,49
317,7,15,23,8,16,24,31,32,6,14
330,30,21,6,14,22,5,13,29,46,54
335,60,53,45,59,61,54,62,51,52,37
343,59,52,60,53,51,61,43,54,62,35
348,11,19,20,27,28,3,4,12,1,2
349,11,19,20,27,28,3,4,12,60,51
380,1,2,9,10,17,18,11,19,25,26
399,1,2,9,10,17,18,11,19,20,25
408,1,2,9,10,17,18,11,19,20,25
434,49,57,20,28,36,44,52,4,12,41
468,3,4,12,11,19,1,2,9,10,17
473,3,21,33,5,13,4,12,41,1,2
491,21,5,13,29,3,4,12,30,1,2
499,35,36,38,30,46,54,6,14,22,11
525,50,58,44,52,60,49,57,42,51,36
530,40,48,39,47,56,64,8,16,24,32
532,3,11,19,4,12,1,2,9,10,17
535,39,31,7,15,23,40,47,8,16,24
539,21,3,5,13,29,4,12,11,19,20
550,31,7,15,23,39,8,16,24,32,6
564,6,14,22,5,13,7,15,23,8,16
575,1,2,9,10,17,18,11,19,25,26
588,64,63,56,62,55,54,61,53,50,58
591,8,16,24,32,7,15,23,40,31,39
635,41,43,27,35,49,57,42,51,33,59
636,35,36,51,53,37,43,59,61,50,58
645,7,15,23,8,16,24,31,32,6,14
671,6,14,22,7,15,23,30,8,16,24
672,3,4,12,11,19,20,27,28,21,5
685,33,41,1,2,9,10,17,18,11,19
696,51,60,59,54,62,50,58,61,46,44
708,7,15,23,8,16,24,31,32,39,40
720,49,57,51,50,58,43,59,35,36,44
721,1,2,9,10,17,18,11,19,25,26
737,43,11,19,20,27,28,35,36,44,49
738,30,21,6,14,22,5,13,29,3,37
747,64,63,56,62,55,48,8,16,24,32
768,7,15,23,39,40,8,16,24,31,32
777,7,15,23,8,16,24,31,32,39,40
785,4,12,21,20,28,5,13,3,29,1
803,25,26,4,12,1,2,9,10,17,18
804,6,14,22,5,13,30,21,29,7,15
806,48,40,47,56,64,8,16,24,32,54
807,5,13,3,4,12,21,11,19,20,27
808,5,13,6,14,22,21,30,7,15,23
817,61,60,59,51,52,53,62,55,45,44
826,41,1,2,9,10,17,18,47,48,11
836,7,15,23,8,16,24,31,32,6,14
840,5,13,21,37,6,14,22,29,45,30
844,20,28,4,12,11,19,27,36,52,3
847,1,2,3,4,5,6,7,8,9,10
