,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
1,19,25,26,27,3,4,11,12,17,18
9,43,51,59,60,35,36,52,30,22,44
24,7,8,15,16,23,24,32,40,48,31
25,7,8,15,16,23,24,32,31,56,22
28,7,8,15,16,23,24,32,40,48,63
55,21,29,41,7,8,15,16,23,24,32
58,1,2,9,10,17,18,3,4,11,12
69,52,44,41,45,53,42,17,18,20,28
83,43,51,59,53,61,27,35,41,49,50
87,53,61,20,28,43,51,59,60,54,62
92,52,5,13,45,44,43,51,59,60,53
94,7,8,15,16,23,24,32,40,48,21
104,49,50,57,58,42,43,51,59,60,34
106,17,18,20,28,1,2,9,10,19,25
110,3,4,11,12,1,2,9,10,19,25
113,53,61,54,62,63,64,56,55,41,49
149,17,18,33,1,2,9,10,19,25,26
152,21,29,20,28,5,13,37,45,19,27
157,17,18,20,28,33,54,62,63,64,56
161,17,18,20,28,1,2,9,10,19,25
187,21,29,17,18,20,28,38,46,5,13
217,17,18,20,28,1,2,9,10,19,25
255,36,44,42,37,45,17,18,20,28,43
261,1,2,9,10,17,18,3,4,11,12
269,1,2,9,10,3,4,11,12,41,5
283,1,2,3,4,5,6,7,8,9,10
298,17,18,20,28,1,2,9,10,19,25
305,20,28,43,19,27,35,36,52,3,4
306,33,41,1,2,9,10,25,26,27,34
336,41,42,17,18,20,28,33,43,63,64
340,17,18,20,28,1,2,9,10,19,25
352,20,28,43,19,27,35,36,52,3,4
358,21,29,41,5,13,37,45,53,42,30
375,41,49,50,57,58,42,33,43,51,59
390,43,51,59,60,35,36,52,44,49,50
396,21,29,20,28,19,27,36,30,5,13
397,1,2,9,10,3,4,11,12,41,5
401,41,42,17,18,20,28,33,43,1,2
419,54,56,55,53,61,20,28,43,51,59
424,43,51,59,53,61,27,35,41,49,50
429,49,50,57,58,42,43,51,59,60,34
450,43,35,36,52,44,42,30,22,20,28
454,49,50,57,58,42,43,51,59,60,34
467,53,61,54,62,63,64,56,55,41,49
474,7,8,15,16,23,24,32,40,48,31
478,49,50,57,58,42,43,51,59,60,34
483,49,50,57,58,42,30,22,43,51,59
488,17,18,33,1,2,9,10,19,25,26
493,43,41,27,35,42,20,28,33,51,59
528,5,13,1,2,9,10,3,4,11,12
534,17,18,20,28,1,2,9,10,19,25
552,17,18,20,28,1,2,9,10,19,25
560,30,22,17,18,20,28,6,7,8,14
562,63,64,56,55,41,7,8,15,16,23
563,5,13,17,18,20,28,1,2,9,10
586,63,64,56,55,7,8,15,16,23,24
598,20,28,19,27,36,3,4,11,12,21
599,51,59,60,52,44,45,53,61,38,46
600,17,18,20,28,1,2,9,10,19,25
604,3,4,11,12,5,13,20,28,1,2
607,49,50,57,58,42,43,51,59,60,34
621,42,43,34,35,36,52,44,41,49,50
663,41,42,17,18,20,28,33,43,1,2
665,49,50,57,58,63,64,42,56,43,51
673,52,44,45,20,28,43,51,59,60,53
680,36,44,42,22,17,18,20,28,43,6
694,21,29,20,28,5,13,37,45,19,27
707,36,44,49,50,57,58,37,45,42,30
712,17,18,20,28,33,54,62,63,64,56
723,7,8,15,16,23,24,32,31,20,28
754,22,6,7,8,14,15,16,23,24,32
760,52,7,8,15,16,23,24,32,40,48
766,55,62,63,64,56,61,51,59,41,49
795,42,43,34,35,36,52,44,41,49,50
797,1,2,3,4,5,6,7,8,9,10
799,49,50,57,58,42,43,51,59,60,62
801,42,30,22,43,6,7,8,14,15,16
809,49,50,57,58,42,43,51,59,60,34
813,17,18,33,1,2,9,10,19,25,26
834,45,52,38,46,54,53,21,29,31,39
837,1,2,3,4,5,6,7,8,9,10
845,20,28,43,51,59,60,62,63,64,56
846,20,28,19,27,36,3,4,11,12,21
851,20,28,5,13,19,27,36,7,8,15
