,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
11,53,61,43,51,59,60,62,54,63,27
17,3,11,19,41,4,12,8,16,24,32
19,41,33,1,2,9,10,17,18,25,26
22,1,2,9,10,17,18,25,26,27,3
27,6,14,22,30,37,45,42,41,49,57
29,1,2,9,10,17,18,25,26,3,11
46,49,57,50,58,6,14,22,30,37,45
52,50,58,42,49,57,54,43,51,55,56
59,21,29,5,13,6,14,22,30,37,1
60,6,14,22,30,7,15,23,8,16,24
65,51,59,60,53,61,52,62,44,54,64
71,41,42,33,43,1,2,9,10,17,18
93,37,45,52,36,44,38,46,53,61,43
96,28,20,4,12,36,44,21,29,27,5
100,53,61,62,54,63,64,55,56,21,29
116,49,57,53,61,50,58,62,54,63,64
134,42,41,49,57,43,34,35,53,52,50
135,1,2,3,4,5,6,7,8,9,10
148,41,49,57,42,55,56,6,14,22,30
151,53,61,62,54,63,64,55,56,21,29
176,27,28,35,3,11,19,20,4,12,36
177,36,44,28,42,41,49,57,20,52,6
191,6,14,22,30,54,7,15,23,41,49
193,63,64,55,56,53,61,62,54,7,15
195,5,13,33,1,2,9,10,17,18,25
221,6,14,22,30,37,45,36,44,7,15
223,41,1,2,9,10,17,18,25,26,27
231,53,61,43,51,59,60,62,54,63,27
234,53,42,41,49,57,52,54,45,44,43
238,36,44,28,6,14,22,30,37,45,21
264,36,37,1,2,9,10,17,18,25,26
272,43,53,35,42,41,49,57,52,54,63
278,42,41,43,37,45,34,35,38,46,53
287,36,1,2,9,10,17,18,25,26,27
292,53,61,62,54,63,64,55,56,41,49
317,27,28,7,15,23,21,29,8,16,24
330,28,36,38,46,6,14,22,30,37,21
335,51,59,60,53,61,62,45,54,50,58
343,36,44,43,51,59,60,27,28,35,37
348,27,28,35,3,11,19,20,52,41,4
349,43,51,59,60,27,28,35,3,11,19
380,1,2,9,10,17,18,25,26,3,11
399,41,33,21,29,54,63,5,13,1,2
408,21,29,5,13,6,14,22,30,37,45
434,53,61,62,54,63,64,55,56,28,20
468,3,11,19,4,12,1,2,9,10,17
473,41,21,29,5,13,6,14,22,30,37
491,41,21,29,5,13,1,2,9,10,17
499,27,35,3,11,19,20,33,43,5,13
525,50,58,37,45,36,44,49,57,42,38
530,64,41,56,63,8,16,24,32,40,48
532,3,11,19,43,6,14,22,30,37,45
535,31,39,47,7,15,23,8,16,24,32
539,6,14,22,30,37,45,21,29,7,15
550,31,39,47,7,15,23,55,52,54,8
564,6,14,22,30,41,7,15,23,8,16
575,41,33,1,2,9,10,17,18,25,26
588,64,56,63,53,61,50,58,62,55,34
591,8,16,24,32,40,48,7,15,23,21
635,43,51,59,60,27,28,35,3,11,19
636,52,63,64,36,44,43,51,55,56,59
645,7,15,23,8,16,24,31,32,39,40
671,7,15,23,8,16,24,31,32,39,40
672,27,28,6,14,22,30,3,11,19,20
685,41,53,54,63,64,21,29,42,55,56
696,51,59,60,50,58,43,52,49,57,44
708,7,15,23,8,16,24,31,32,39,40
720,6,14,22,30,37,45,52,49,57,7
721,1,2,9,10,17,18,25,26,3,11
737,49,57,43,51,59,60,5,13,27,35
738,6,14,22,30,37,45,7,15,23,21
747,64,56,63,50,58,53,61,55,42,62
768,7,15,23,63,8,16,24,31,32,39
777,7,15,23,8,16,24,31,32,39,40
785,37,45,36,44,21,29,38,46,28,5
803,4,12,41,33,1,2,9,10,17,18
804,6,14,22,30,7,15,23,8,16,24
806,28,64,8,16,24,32,40,48,56,21
807,27,28,3,11,19,20,41,4,12,36
808,6,14,22,30,54,34,35,7,15,23
817,51,59,60,61,62,50,58,52,43,53
826,63,64,55,56,7,15,23,8,16,24
836,27,5,13,3,11,19,20,21,29,7
840,6,14,22,30,37,45,21,29,7,15
844,28,20,4,12,36,44,21,29,27,5
847,1,2,3,4,5,6,7,8,9,10
