,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
6,40,48,8,16,24,32,7,15,23,39
13,31,5,13,6,14,22,21,7,15,23
18,20,28,4,12,1,2,9,10,17,18
61,7,15,23,39,40,30,8,16,24,31
70,1,2,9,10,17,18,42,11,19,20
80,6,14,22,7,15,23,39,40,30,46
81,62,55,63,56,64,61,54,59,53,51
144,51,60,43,59,49,57,11,19,20,27
154,59,50,58,34,52,60,42,51,43,61
169,33,4,12,1,2,9,10,17,18,11
178,59,60,52,51,54,53,61,50,58,55
185,11,19,20,27,28,3,4,12,51,43
186,3,4,12,11,19,20,27,28,35,36
190,6,14,22,5,13,30,49,57,7,15
196,7,15,23,8,16,24,31,32,39,40
207,4,12,3,11,19,20,28,36,30,1
212,11,19,3,1,2,9,10,17,18,4
220,49,57,59,50,58,54,42,51,61,60
240,52,49,57,53,59,61,60,50,58,36
241,40,8,16,24,32,7,15,23,39,31
244,49,57,50,58,34,35,36,42,51,60
266,11,19,3,1,2,9,10,17,18,4
273,3,4,12,33,41,1,2,9,10,17
274,29,21,54,53,5,13,37,61,30,63
285,29,21,5,13,37,30,6,14,22,38
299,49,57,34,35,36,42,33,43,59,41
303,6,14,22,5,13,29,30,7,15,23
304,59,50,58,51,43,49,57,61,60,42
309,7,15,23,8,16,24,31,32,30,21
314,4,12,3,11,19,20,28,5,13,1
316,8,16,24,32,7,15,23,40,31,48
323,11,19,20,27,28,3,4,12,1,2
339,1,2,9,10,17,18,11,19,20,25
351,33,1,2,9,10,17,18,11,19,20
357,33,1,2,9,10,17,18,49,57,11
359,33,49,57,1,2,9,10,17,18,11
362,30,6,14,22,7,15,23,8,16,24
365,33,1,2,9,10,17,18,11,19,20
370,43,59,42,51,11,19,20,27,28,35
382,33,49,57,1,2,9,10,17,18,61
393,33,1,2,9,10,17,18,11,19,20
404,49,57,59,60,50,58,52,54,62,42
455,34,37,33,29,49,57,1,2,9,10
466,50,58,49,57,59,53,42,51,61,43
472,30,6,14,22,7,15,23,46,8,16
479,3,1,2,9,10,17,18,4,12,11
485,63,56,64,55,62,54,30,46,7,15
500,54,62,53,61,63,56,64,55,60,34
511,8,16,24,32,48,7,15,23,40,29
516,49,57,51,50,58,43,59,53,61,35
521,11,19,20,27,28,35,36,3,41,33
523,59,60,51,50,58,52,49,57,42,44
527,49,57,34,33,50,58,1,2,9,10
536,63,64,62,61,56,53,52,55,59,54
537,31,5,13,21,7,15,23,6,14,22
558,33,1,2,9,10,17,18,11,19,20
566,5,13,21,29,6,14,22,30,7,15
583,5,13,21,29,7,15,23,8,16,24
596,60,51,44,52,50,58,43,59,49,57
608,1,2,9,10,17,18,11,19,20,25
613,51,49,57,43,59,41,50,58,27,35
631,5,13,21,49,57,3,29,1,2,9
647,63,64,56,7,15,23,55,47,48,8
654,1,2,9,10,17,18,11,19,25,26
682,60,51,43,59,61,49,57,11,19,20
687,30,21,6,14,22,5,13,37,29,4
690,7,15,23,39,40,8,16,24,31,32
705,59,60,51,52,61,44,53,50,58,43
718,30,7,15,23,39,40,6,14,22,21
735,11,19,3,1,2,9,10,17,18,4
740,7,15,23,8,16,24,31,32,5,13
745,21,5,13,29,3,30,4,12,6,14
752,4,12,3,1,2,9,10,17,18,11
753,60,59,52,51,53,43,61,49,57,35
755,45,60,31,47,46,44,52,43,59,53
757,43,49,57,42,51,34,35,41,50,58
758,33,1,2,9,10,17,18,11,19,20
759,60,61,47,49,57,55,39,62,51,44
782,63,64,55,47,48,56,54,7,15,23
788,3,4,12,1,2,9,10,17,18,39
798,63,64,50,58,42,49,57,56,55,43
805,39,40,47,38,31,45,46,7,15,23
812,30,21,6,14,22,35,36,52,43,59
828,51,50,58,43,59,35,49,57,42,41
841,5,13,7,15,23,6,14,22,21,8
