,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
3,7,8,15,16,23,24,32,31,40,48
4,7,8,15,16,23,24,32,5,13,31
16,33,3,1,2,9,10,17,18,4,12
23,54,38,56,53,37,30,46,55,29,61
34,20,28,36,4,12,37,11,19,27,35
38,61,54,62,56,63,64,55,53,30,46
44,56,63,64,55,54,61,62,60,50,53
56,48,7,8,15,16,23,24,32,47,31
64,3,4,12,1,2,9,10,17,18,49
82,11,19,20,27,28,3,4,12,1,2
108,53,61,54,62,56,63,64,55,49,57
111,21,5,13,29,7,8,15,16,23,24
114,51,49,57,43,59,41,50,58,27,35
126,20,28,36,4,12,1,2,9,10,17
131,49,57,41,50,58,25,26,27,42,51
138,25,26,27,34,35,33,1,2,9,10
163,33,29,21,1,2,9,10,17,18,5
164,3,21,5,13,4,12,29,11,19,20
165,49,57,50,58,34,35,42,51,33,43
174,59,60,51,52,49,57,35,36,44,3
201,30,39,6,14,22,38,31,21,45,5
204,27,41,43,53,49,57,11,19,20,25
205,33,1,2,9,10,17,18,11,19,25
213,7,8,15,16,23,24,32,31,40,48
222,42,34,35,36,52,50,58,43,59,6
232,49,57,36,52,59,50,58,60,37,20
252,49,57,50,58,34,35,36,42,51,33
265,33,1,2,9,10,17,18,49,57,11
275,1,2,9,10,17,18,11,19,20,25
282,3,4,12,1,2,9,10,17,18,11
286,5,13,3,21,33,41,4,12,6,14
288,62,56,63,64,55,54,61,53,33,30
293,49,57,27,35,52,43,59,3,42,51
294,3,4,12,1,2,9,10,17,18,11
297,34,35,36,42,49,57,33,43,1,2
329,30,6,14,22,7,8,15,16,23,24
341,35,36,43,3,4,12,42,11,19,20
342,61,51,38,59,49,57,54,53,45,39
345,30,6,14,22,7,8,15,16,23,24
356,60,44,52,51,59,53,61,43,49,57
373,44,51,43,59,41,11,19,20,27,28
384,33,1,2,9,10,17,18,11,19,25
389,1,2,9,10,17,18,4,12,11,19
398,51,60,43,59,49,57,11,19,20,27
418,30,6,14,22,61,59,49,57,40,7
420,34,35,36,37,33,29,1,2,9,10
426,59,60,51,52,61,44,53,54,43,62
432,30,41,42,6,14,22,34,35,21,33
433,11,19,20,27,28,35,36,3,4,12
441,42,43,41,50,58,34,35,36,44,52
449,56,63,64,55,48,47,40,54,7,8
451,7,8,15,16,23,24,32,31,40,48
463,59,50,58,51,49,57,53,61,60,42
464,59,50,58,34,52,60,42,51,43,61
482,40,7,8,15,16,23,24,32,39,48
505,43,41,11,19,20,27,28,35,36,44
519,1,2,9,10,17,18,11,19,25,26
529,56,63,64,55,62,50,58,61,54,48
547,31,5,13,7,8,15,16,21,23,24
548,60,53,52,61,59,54,45,62,44,37
569,1,2,9,10,17,18,11,19,25,26
579,3,1,2,9,10,17,18,4,12,21
592,1,2,9,10,17,18,11,19,20,25
603,5,13,21,6,14,22,42,29,3,45
632,11,19,3,33,4,12,1,2,9,10
638,33,4,12,1,2,9,10,17,18,11
653,4,12,5,13,20,28,36,3,33,21
659,33,1,2,9,10,17,18,11,19,20
661,59,60,51,50,58,52,43,49,57,61
669,7,8,15,16,23,24,32,6,14,22
702,53,43,54,11,19,20,27,28,35,36
703,27,35,33,11,19,20,25,26,28,34
719,52,49,57,36,44,42,43,59,41,50
727,59,60,52,51,53,54,61,50,58,55
732,1,2,9,10,17,18,11,19,20,25
746,5,13,21,3,1,2,9,10,17,18
750,7,8,15,16,23,24,32,31,40,48
751,61,60,62,59,56,63,64,52,53,55
764,5,13,6,14,22,21,30,29,7,8
765,33,1,2,9,10,17,18,41,11,19
784,11,19,20,27,28,3,4,12,51,43
820,3,4,12,11,19,20,27,28,35,36
822,4,12,3,1,2,9,10,17,18,11
827,60,61,52,59,53,54,62,44,51,43
848,51,60,59,44,52,43,61,49,57,11
850,6,14,22,5,13,30,49,57,21,7
