,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
5,8,16,24,32,56,7,15,23,64,31
7,63,64,56,55,53,52,41,42,54,21
20,21,29,20,28,36,37,45,19,27,44
35,41,42,43,63,17,18,20,28,33,34
36,17,18,20,28,36,1,2,9,10,19
49,53,61,62,63,54,64,56,55,59,60
53,17,18,33,34,1,2,9,10,19,25
63,63,64,56,55,7,15,23,8,16,24
72,64,56,49,50,57,58,63,53,61,59
89,17,18,33,34,1,2,9,10,19,25
102,56,55,63,54,64,7,15,23,8,16
115,43,20,28,35,36,19,27,44,52,3
120,17,18,33,34,1,2,9,10,19,25
121,64,56,8,16,24,32,40,48,21,29
125,53,61,62,63,54,64,56,55,49,50
128,41,42,43,17,18,20,28,33,34,35
130,62,63,54,64,56,55,17,18,20,28
139,7,15,23,30,56,8,16,24,31,32
145,61,62,63,59,60,64,56,52,55,53
146,1,2,9,10,3,4,11,12,17,18
158,49,50,57,58,64,56,8,16,24,32
159,54,31,22,62,6,7,14,15,23,38
172,20,28,36,59,60,30,19,27,44,52
194,17,18,1,2,9,10,19,25,26,3
226,20,28,36,19,27,44,52,3,4,11
227,43,27,63,7,15,23,41,42,64,30
242,21,29,37,45,5,13,30,22,6,7
258,5,13,22,6,7,14,15,23,41,42
277,53,61,62,63,54,64,56,55,49,50
291,59,60,52,51,53,61,62,54,44,55
301,56,55,63,52,41,42,54,64,7,15
319,61,62,55,53,63,54,64,59,60,56
333,20,28,35,36,19,27,62,63,3,4
337,30,22,6,7,14,15,23,38,46,8
344,7,15,23,8,16,24,31,32,5,13
360,17,18,20,28,36,59,60,53,61,1
366,17,18,20,28,33,34,35,36,1,2
368,59,60,52,53,61,62,63,54,64,56
371,53,61,62,63,54,64,56,55,49,50
372,17,18,20,28,36,59,60,53,61,1
376,17,18,20,28,36,1,2,9,10,19
383,1,2,3,4,5,6,7,8,9,10
394,17,18,20,28,36,1,2,9,10,19
395,33,34,41,42,25,26,43,49,50,57
400,17,18,33,34,1,2,9,10,19,25
409,7,15,23,8,16,24,31,32,22,6
414,41,42,43,49,50,57,58,63,33,34
435,17,18,1,2,9,10,19,25,26,3
438,20,28,36,19,27,44,3,4,11,12
452,60,52,53,61,62,59,54,44,55,37
456,19,37,17,18,20,28,36,40,48,64
459,49,50,57,58,25,26,27,41,42,30
471,41,42,54,22,56,6,7,14,15,23
484,53,61,60,62,52,54,55,37,45,5
495,53,61,62,63,54,64,56,55,49,50
497,53,61,62,63,54,64,56,55,49,50
504,20,28,36,59,60,19,27,44,52,3
506,53,61,62,63,59,60,54,64,56,52
510,7,15,23,8,16,24,31,32,5,13
549,5,13,6,14,1,2,9,10,8,16
594,41,42,43,8,16,24,32,40,48,17
610,22,6,7,14,15,23,8,16,24,31
618,6,14,43,27,5,13,3,4,11,12
627,17,18,20,28,36,1,2,9,10,19
633,7,15,23,5,13,8,16,24,31,32
649,43,51,20,28,35,36,59,60,19,27
667,5,13,22,6,7,14,15,23,41,42
679,52,63,41,42,64,56,55,43,7,15
681,5,13,3,4,11,12,21,29,6,14
683,17,18,1,2,9,10,19,25,26,3
689,7,15,23,5,13,8,16,24,31,32
700,40,48,56,55,54,64,8,16,24,32
715,17,18,45,53,61,1,2,9,10,19
724,43,51,20,28,35,36,59,60,19,27
742,41,42,43,17,18,20,28,33,34,35
744,60,52,59,45,53,61,62,44,54,51
749,3,4,11,12,1,2,9,10,19,17
781,3,4,11,12,1,2,9,10,19,5
793,20,28,35,36,19,27,3,4,11,12
814,41,42,25,26,27,30,49,50,57,58
818,5,13,19,22,43,3,4,11,12,21
823,17,18,20,28,36,1,2,9,10,19
831,17,18,1,2,9,10,19,25,26,3
843,64,56,63,8,16,24,32,40,48,55
849,43,51,53,61,62,63,20,28,35,36
