,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
33,20,28,36,4,12,11,19,27,35,44
54,41,43,27,35,49,57,42,51,33,59
75,4,12,20,28,21,5,13,3,29,11
84,61,30,46,6,14,22,38,48,47,40
86,4,12,20,28,36,3,1,2,9,10
90,31,21,30,6,14,22,5,13,7,8
91,1,2,9,10,17,18,11,19,20,25
95,11,19,20,27,28,35,36,33,3,4
119,27,41,43,53,49,57,11,19,20,25
122,42,34,35,36,52,50,58,43,59,6
133,3,4,12,1,2,9,10,17,18,11
143,1,2,9,10,17,18,4,12,11,19
155,40,7,8,15,16,23,24,32,39,48
162,3,1,2,9,10,17,18,4,12,21
179,1,2,9,10,17,18,11,19,20,25
200,1,2,9,10,17,18,11,19,20,25
206,40,7,8,15,16,23,24,32,39,29
209,30,35,36,43,6,14,22,21,3,41
216,11,19,20,27,28,3,1,2,9,10
236,37,49,57,34,35,36,42,29,21,45
246,33,1,2,9,10,17,18,11,19,20
251,30,7,8,15,16,23,24,32,21,6
254,3,1,2,9,10,17,18,4,12,11
259,11,19,20,27,28,35,36,3,33,4
267,3,4,12,21,11,19,20,27,28,35
284,49,57,51,43,59,50,58,30,6,14
295,33,1,2,9,10,17,18,11,19,20
302,59,61,62,45,53,51,54,34,52,38
310,49,57,50,58,42,51,43,59,54,62
318,49,57,61,50,58,54,62,56,63,64
325,21,30,6,14,22,29,5,13,7,8
346,59,60,50,58,61,34,35,36,52,42
363,51,60,33,59,49,57,1,2,9,10
367,6,14,22,30,5,13,7,8,15,16
377,21,7,8,15,16,23,24,32,30,29
385,7,8,15,16,23,24,32,31,5,13
391,52,59,60,44,49,57,51,43,50,58
392,1,2,9,10,17,18,11,19,20,25
402,30,21,6,14,22,5,13,40,7,8
407,56,63,64,55,61,62,53,54,51,50
412,44,45,30,46,51,20,28,36,52,6
413,49,57,59,50,58,52,60,42,51,43
430,5,13,52,31,3,59,21,4,12,1
461,1,2,9,10,17,18,11,19,25,26
462,21,5,13,30,6,14,22,29,3,4
476,34,35,36,49,57,42,33,43,41,50
477,59,52,51,60,43,49,57,11,19,20
489,11,19,20,27,28,35,36,3,33,43
490,43,41,11,19,20,27,28,35,36,44
496,5,13,3,6,14,22,21,1,2,9
513,51,49,57,43,59,41,50,58,27,35
518,3,43,11,19,34,35,36,4,12,42
533,5,13,4,12,20,28,36,21,6,14
541,3,4,12,11,19,1,2,9,10,17
545,61,53,54,60,62,59,49,57,56,63
546,45,37,5,13,46,29,53,6,14,22
553,49,57,50,58,42,51,43,59,34,35
580,56,63,64,55,62,61,54,53,50,58
587,45,44,52,51,53,59,29,61,21,5
590,43,35,36,44,49,57,42,51,3,4
602,33,25,26,34,1,2,9,10,17,18
617,1,2,9,10,17,18,11,19,20,25
630,5,13,3,21,4,12,6,14,22,11
642,59,52,51,54,61,60,62,44,53,46
646,43,49,57,42,51,27,35,44,41,50
648,30,4,12,6,14,22,3,1,2,9
677,11,19,20,27,28,29,3,21,43,59
692,63,64,56,62,55,61,53,54,50,58
693,59,60,51,52,49,57,44,61,43,50
697,56,63,64,55,62,61,53,54,50,58
698,55,56,54,48,63,64,62,47,40,46
701,30,46,6,14,22,38,48,47,61,40
704,44,52,49,57,53,60,45,62,61,51
710,63,64,62,56,61,55,53,54,50,58
726,49,57,51,59,41,50,58,42,61,60
730,1,2,9,10,17,18,11,19,20,25
734,7,8,15,16,23,24,32,51,45,44
736,6,14,22,7,8,15,16,23,24,32
739,11,19,20,27,28,35,36,3,43,4
741,7,8,15,16,23,24,32,31,6,14
756,42,41,50,58,43,34,35,49,57,51
761,60,59,53,51,61,54,52,45,62,55
770,7,8,15,16,23,24,32,31,40,48
835,41,25,26,27,33,1,2,9,10,17
839,33,49,57,51,11,19,25,26,27,34
