,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
3,63,64,56,7,8,15,16,23,24,32
4,20,28,19,27,36,3,4,11,12,44
16,1,2,9,10,3,4,11,12,17,18
23,21,29,5,13,22,30,20,28,37,45
34,36,37,45,44,20,28,43,21,29,22
38,53,61,54,62,63,64,56,55,21,29
44,53,61,49,50,57,58,54,62,63,64
56,56,55,54,63,64,7,8,15,16,23
64,42,43,34,35,36,52,53,44,41,49
82,3,4,11,12,20,28,5,13,1,2
108,53,61,54,62,63,64,56,55,41,49
111,21,29,5,13,17,18,20,28,37,45
114,43,51,59,27,35,41,49,50,57,58
126,36,44,49,50,57,58,42,37,45,17
131,25,26,27,41,49,50,57,58,42,17
138,33,41,25,26,27,34,35,42,54,63
163,62,63,64,56,55,21,29,5,13,37
164,21,29,5,13,20,28,43,37,45,19
165,49,50,57,58,42,53,61,43,51,59
174,51,59,60,35,36,52,44,62,20,28
201,31,38,46,45,39,44,47,22,30,51
204,41,43,53,27,35,42,54,63,64,56
205,17,18,33,1,2,9,10,19,25,26
213,17,18,20,28,21,29,63,64,53,41
222,36,44,42,17,18,20,28,43,37,45
232,22,30,6,7,8,14,15,16,23,24
252,36,37,21,29,22,30,17,18,20,28
265,53,61,54,62,63,64,56,55,21,29
275,53,41,21,29,54,63,64,56,5,13
282,41,42,17,18,20,28,33,43,1,2
286,41,54,56,42,55,17,18,20,28,33
288,62,63,64,56,55,54,21,29,53,61
293,43,44,42,27,35,36,52,41,49,50
294,1,2,9,10,41,3,4,11,12,42
297,42,43,34,35,36,52,53,44,41,49
329,22,30,6,7,8,14,15,16,23,24
341,43,35,36,52,44,42,20,28,51,59
342,53,61,51,59,60,54,62,45,52,49
345,56,7,8,15,16,23,24,32,17,18
356,60,52,44,53,61,51,59,54,62,45
373,44,53,61,20,28,51,59,60,19,27
384,17,18,33,1,2,9,10,19,25,26
389,1,2,9,10,3,4,11,12,17,18
398,20,28,19,27,36,7,8,15,16,23
418,61,49,50,57,58,62,63,64,56,42
420,1,2,9,10,36,5,13,6,14,3
426,51,59,60,52,44,43,45,35,36,53
432,42,41,49,50,57,58,56,43,55,34
433,53,61,54,62,63,64,56,55,20,28
441,21,29,5,13,17,18,20,28,37,45
449,54,62,63,64,56,55,22,30,53,61
451,63,64,27,35,56,7,8,15,16,23
463,49,50,51,57,58,59,53,61,42,54
464,34,49,50,57,58,42,17,18,33,43
482,7,8,15,16,23,24,32,31,40,48
505,20,28,43,51,59,60,19,27,35,36
519,17,18,1,2,9,10,19,25,26,3
529,63,64,41,49,50,57,58,25,26,27
547,54,21,29,31,38,46,5,13,22,30
548,44,37,45,17,18,20,28,60,53,61
569,17,18,1,2,9,10,19,25,26,3
579,1,2,9,10,5,13,3,4,11,12
592,21,29,5,13,17,18,20,28,37,45
603,36,37,45,42,44,21,29,22,30,53
632,19,3,4,11,12,17,18,20,28,33
638,17,18,33,1,2,9,10,19,25,26
653,1,2,9,10,5,13,3,4,11,12
659,17,18,20,28,1,2,9,10,19,25
661,36,22,30,6,7,8,14,15,16,23
669,5,13,21,29,6,7,8,14,15,16
702,20,28,43,19,27,35,36,52,53,3
703,27,35,20,28,33,43,41,19,25,26
719,36,44,42,17,18,20,28,43,37,45
727,44,51,59,60,36,52,49,50,57,58
732,17,18,20,28,1,2,9,10,19,25
746,17,18,20,28,21,29,1,2,9,10
750,21,29,5,13,17,18,20,28,37,7
751,62,63,64,56,55,20,28,43,51,59
764,37,45,21,29,36,22,30,5,13,6
765,41,42,53,17,18,20,28,33,43,54
784,62,63,64,56,55,20,28,43,51,59
820,35,36,20,28,43,19,27,34,52,37
822,1,2,9,10,3,4,11,12,17,18
827,53,61,60,54,62,37,45,52,44,55
848,51,59,60,52,44,45,53,61,20,28
850,22,30,6,7,8,14,15,16,23,24
