,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
10,43,59,60,35,36,44,52,54,42,51
30,40,8,16,24,32,7,15,23,39,48
37,34,35,36,42,33,43,41,50,58,1
40,29,20,28,36,21,5,13,37,33,4
41,25,26,27,33,1,2,9,10,17,18
47,21,30,5,13,6,14,22,29,7,15
50,54,56,55,30,46,6,14,22,38,47
79,1,2,9,10,17,18,11,19,20,25
97,3,4,12,11,19,20,27,28,35,36
123,42,34,35,36,41,33,43,3,30,21
137,31,21,7,15,23,39,30,5,13,8
156,43,59,35,36,44,52,49,57,42,51
160,42,41,43,49,57,34,35,36,44,33
167,33,1,2,9,10,17,18,41,11,19
173,49,57,51,43,59,50,58,35,36,44
183,61,54,62,63,56,64,55,53,30,46
184,1,2,9,10,17,18,11,19,20,25
199,39,40,47,48,7,15,23,8,16,24
202,44,51,43,59,41,11,19,20,27,28
203,33,4,12,1,2,9,10,17,18,11
210,33,1,2,9,10,17,18,11,19,25
225,30,21,6,14,22,5,13,29,3,7
229,3,4,12,11,19,1,2,9,10,17
230,41,53,42,33,43,54,29,1,2,9
233,55,31,47,59,7,15,23,39,56,48
248,51,44,52,59,60,36,49,57,45,43
262,6,14,22,5,13,30,7,15,23,21
263,45,37,61,46,54,60,38,53,42,62
271,49,57,59,41,50,58,61,42,51,60
289,25,26,27,33,1,2,9,10,17,18
308,33,1,2,9,10,17,18,11,19,20
320,49,57,60,50,58,1,2,9,10,17
321,29,21,1,2,9,10,17,18,5,13
326,60,52,59,54,49,57,62,61,44,41
334,49,57,50,58,3,59,4,12,1,2
347,30,21,52,41,6,14,22,38,5,13
361,8,16,24,32,7,15,23,40,31,21
388,50,58,42,51,43,59,34,35,36,44
406,60,51,43,59,49,57,11,19,20,27
410,7,15,23,39,40,47,48,8,16,24
417,3,1,2,9,10,17,18,4,12,11
422,20,28,44,52,4,12,60,41,53,54
444,8,16,24,32,7,15,23,40,48,31
445,59,11,19,20,27,28,35,36,52,3
446,41,43,49,57,27,35,42,51,3,33
458,49,57,42,34,35,36,41,50,58,3
460,51,50,58,43,59,49,57,27,35,42
469,1,2,9,10,17,18,11,19,20,25
498,43,35,36,44,42,41,11,19,20,27
501,60,52,44,59,53,61,51,50,58,45
508,35,36,44,37,47,48,43,46,38,49
515,49,57,50,58,1,2,9,10,17,18
520,25,26,27,49,57,33,41,50,58,1
522,60,59,54,52,56,51,53,55,61,43
538,60,61,52,54,62,59,53,45,46,37
540,11,19,20,27,28,3,51,4,12,60
555,54,59,53,61,51,60,45,52,62,55
556,60,53,59,61,49,57,52,41,50,58
576,30,7,15,23,6,14,22,8,16,24
605,49,57,50,58,34,35,36,42,51,33
616,49,57,34,35,33,43,59,42,51,41
619,20,28,36,4,12,1,2,9,10,17
622,51,49,57,43,59,50,58,35,36,44
626,60,52,59,49,57,44,51,50,53,58
639,54,62,63,56,64,61,55,30,46,6
657,61,5,13,6,14,22,53,21,45,30
658,41,42,49,57,33,43,50,58,25,26
662,42,41,50,58,43,49,57,25,26,27
666,5,13,21,29,6,14,22,7,15,23
686,5,13,21,6,14,22,29,3,4,12
699,1,2,9,10,17,18,11,19,20,25
706,7,15,23,8,16,24,31,32,6,14
711,40,48,8,16,24,32,30,7,15,23
717,1,2,9,10,17,18,11,19,20,25
762,21,45,5,13,37,30,6,14,22,29
773,1,2,9,10,17,18,11,19,25,26
775,1,2,9,10,17,18,11,19,20,25
776,3,4,12,11,19,1,2,9,10,17
786,4,12,20,28,36,3,11,19,27,35
787,59,62,49,57,51,52,61,50,58,43
792,49,57,27,51,43,59,60,41,50,53
794,6,14,22,30,7,15,23,3,8,16
810,52,59,36,44,49,57,51,60,50,58
816,29,21,5,13,59,49,57,1,2,9
825,40,48,8,16,24,32,7,15,23,39
830,1,2,3,4,5,6,7,8,9,10
