,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
1,11,19,25,26,27,3,4,12,33,1
9,43,59,60,35,36,44,52,54,42,51
24,40,7,8,15,16,23,24,32,39,31
25,7,8,15,16,23,24,32,31,40,39
28,40,48,7,8,15,16,23,24,32,39
55,7,8,15,16,23,24,32,31,21,40
58,1,2,9,10,17,18,3,33,4,12
69,45,52,46,38,59,47,29,54,53,21
83,27,35,41,33,43,11,19,20,25,26
87,43,41,11,19,20,27,28,35,36,44
92,5,13,31,21,6,14,22,7,8,15
94,40,7,8,15,16,23,24,32,39,31
104,61,60,54,62,53,59,56,63,64,55
106,34,35,36,42,33,43,41,50,58,1
110,3,11,19,25,26,27,4,12,30,21
113,20,28,4,12,1,2,9,10,17,18
149,1,2,9,10,17,18,11,19,25,26
152,21,3,5,13,29,4,12,11,19,20
157,1,2,9,10,17,18,54,11,19,20
161,1,2,9,10,17,18,11,19,20,25
187,29,20,28,36,21,5,13,37,33,4
217,34,35,36,21,3,5,13,37,42,4
255,30,6,14,22,21,7,8,15,16,23
261,1,2,9,10,17,18,11,19,25,26
269,33,41,1,2,9,10,17,18,29,21
283,30,6,14,22,38,29,40,21,7,8
298,33,1,2,9,10,17,18,11,19,20
305,20,28,36,4,12,11,19,27,35,44
306,25,26,27,33,1,2,9,10,17,18
336,41,33,1,2,9,10,17,18,11,19
340,4,12,20,28,36,3,33,41,1,2
352,11,19,20,27,28,29,3,21,1,2
358,21,5,13,30,6,14,22,29,40,37
375,50,58,59,49,57,52,42,51,43,60
390,51,62,53,43,59,56,63,64,61,45
396,3,41,4,12,11,19,20,27,28,35
397,1,2,9,10,17,18,11,19,20,25
401,1,2,9,10,17,18,11,19,20,25
419,54,56,55,30,46,6,14,22,38,48
424,49,57,51,43,59,41,50,58,27,35
429,49,57,50,58,34,35,36,42,51,60
450,3,30,4,12,6,14,22,11,19,20
454,29,21,45,20,28,36,44,5,13,37
467,52,53,59,61,49,57,20,28,36,44
474,7,8,15,16,23,24,32,31,40,48
478,49,57,62,63,64,60,50,53,58,61
483,50,58,59,49,57,42,51,34,35,43
488,1,2,9,10,17,18,11,19,25,26
493,41,43,27,35,49,57,42,51,33,59
528,1,2,9,10,17,18,11,19,20,25
534,3,1,2,9,10,17,18,4,12,11
552,33,1,2,9,10,17,18,11,19,20
560,49,57,41,50,58,42,51,33,43,59
562,40,7,8,15,16,23,24,32,39,30
563,41,33,1,2,9,10,17,18,11,19
586,56,63,64,55,48,47,40,7,8,15
598,3,4,12,11,19,20,27,28,35,36
599,59,52,60,51,61,49,57,44,41,50
600,50,58,34,35,36,42,51,60,33,43
604,11,19,20,27,28,3,4,12,1,2
607,45,37,48,47,40,49,57,7,8,15
621,1,2,9,10,17,18,42,11,19,20
663,41,42,33,43,1,2,9,10,17,18
665,63,64,56,55,62,50,58,49,57,59
673,52,59,51,44,3,41,43,4,12,60
680,5,13,6,14,22,21,30,3,29,7
694,4,12,20,28,21,5,13,3,29,11
707,49,57,42,43,41,50,58,1,2,9
712,1,2,9,10,17,18,11,19,20,25
723,7,8,15,16,23,24,32,31,48,47
754,3,1,2,9,10,17,18,4,12,11
760,6,14,22,40,7,8,15,16,23,24
766,62,55,56,63,64,61,54,59,53,51
795,42,34,35,36,41,33,43,3,21,30
797,61,30,46,6,14,22,38,48,47,40
799,49,57,50,58,45,37,42,51,43,59
801,4,12,20,28,36,3,1,2,9,10
809,49,57,50,58,42,51,43,59,1,2
813,33,1,2,9,10,17,18,11,19,25
834,31,21,30,6,14,22,5,13,7,8
837,1,2,9,10,17,18,11,19,20,25
845,36,4,12,20,28,35,44,52,43,59
846,11,19,20,27,28,35,36,33,3,4
851,7,8,15,16,23,24,32,5,13,31
