,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
14,40,7,8,15,16,23,24,32,39,31
15,61,60,54,62,53,59,56,63,64,55
21,1,2,9,10,17,18,54,11,19,20
39,50,58,59,49,57,52,42,51,43,60
42,1,2,9,10,17,18,11,19,20,25
57,3,1,2,9,10,17,18,4,12,11
62,41,33,1,2,9,10,17,18,11,19
66,50,58,34,35,36,42,51,60,33,43
68,45,37,48,47,40,49,57,7,8,15
99,20,28,36,4,12,37,11,19,27,35
109,20,28,36,4,12,1,2,9,10,17
129,5,13,3,21,33,41,4,12,6,14
140,60,44,52,51,59,53,61,43,49,57
142,33,1,2,9,10,17,18,11,19,25
147,59,60,51,52,61,44,53,54,43,62
171,33,1,2,9,10,17,18,11,19,20
175,53,43,54,11,19,20,27,28,35,36
188,60,61,52,59,53,54,62,44,51,43
189,51,60,59,44,52,43,61,49,57,11
192,21,5,13,3,30,29,1,2,9,10
228,29,21,5,13,37,53,61,45,33,30
237,49,57,34,35,36,33,59,50,58,1
243,5,13,21,6,14,22,29,30,37,3
249,49,57,59,60,50,58,52,42,51,43
250,7,8,15,16,23,24,32,31,40,39
253,41,20,28,36,44,42,4,12,33,43
256,59,51,50,53,58,61,60,49,57,52
281,41,33,42,25,26,27,34,35,43,1
300,59,60,51,52,62,53,44,61,43,50
307,30,6,14,22,7,8,15,16,23,24
311,1,2,9,10,17,18,11,19,25,26
312,40,7,8,15,16,23,24,32,39,31
324,1,2,9,10,17,18,11,19,20,25
332,5,13,21,29,4,12,20,28,3,1
353,6,14,22,30,7,8,15,16,23,24
355,25,26,27,41,33,1,2,9,10,17
364,49,57,50,58,60,42,51,43,59,34
379,39,47,31,40,46,48,55,56,63,64
387,53,61,1,2,9,10,17,18,54,11
428,48,41,47,40,7,8,15,16,23,24
431,35,36,51,49,57,43,59,50,58,11
436,43,59,54,42,51,53,41,50,58,35
439,49,57,41,50,58,42,51,33,43,59
448,30,3,21,6,14,22,5,13,11,19
457,42,41,43,34,35,36,44,33,50,58
487,20,28,36,44,52,4,12,51,43,59
492,35,36,43,11,19,20,27,28,34,44
502,25,26,27,33,41,1,2,9,10,17
503,3,21,1,2,9,10,17,18,4,12
512,33,1,2,9,10,17,18,11,19,25
517,59,49,57,60,61,51,52,50,58,43
542,5,13,21,45,37,29,6,14,22,4
557,49,57,50,58,59,42,51,43,60,41
567,7,8,15,16,23,24,32,29,31,30
568,6,14,22,5,13,30,31,21,7,8
581,40,48,7,8,15,16,23,24,32,39
585,7,8,15,16,23,24,32,31,48,47
589,49,57,41,50,58,42,51,33,43,59
597,33,1,2,9,10,17,18,4,12,11
606,27,51,49,57,43,59,41,50,58,11
609,1,2,9,10,17,18,42,11,19,25
611,4,12,20,28,3,11,19,27,21,5
634,60,53,44,52,61,43,59,41,11,19
655,63,64,56,55,62,50,58,54,61,53
670,33,1,2,9,10,17,18,40,11,19
674,7,8,15,16,23,24,32,31,40,39
676,7,8,15,16,23,24,32,31,40,39
678,47,43,46,44,38,45,42,51,39,48
688,21,5,13,29,45,30,41,4,12,37
714,59,52,49,57,51,43,60,50,58,35
725,59,51,60,44,52,43,61,49,57,45
728,21,5,13,3,29,1,2,9,10,17
729,11,19,20,27,28,35,36,43,3,1
731,21,3,5,13,4,12,1,2,9,10
763,21,5,13,30,6,14,22,29,3,4
774,61,52,62,53,59,56,63,64,60,55
778,21,29,5,13,4,12,37,3,45,30
783,11,19,20,27,28,3,4,12,1,2
796,52,59,45,37,49,57,36,44,51,29
800,60,49,57,41,50,53,58,61,42,51
802,7,8,15,16,23,24,32,5,13,31
815,5,13,6,14,22,21,7,8,15,16
819,6,14,22,7,8,15,16,23,24,32
821,5,13,21,29,7,8,15,16,23,24
833,43,3,4,12,42,41,11,19,20,27
