,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
2,11,19,25,26,27,3,4,12,33,1
8,1,2,9,10,17,18,3,33,4,12
31,30,6,14,22,38,29,40,21,7,8
32,33,1,2,9,10,17,18,11,19,20
43,1,2,9,10,17,18,11,19,20,25
48,29,21,45,20,28,36,44,5,13,37
74,5,13,6,14,22,21,30,3,29,7
76,49,57,42,43,41,50,58,1,2,9
78,7,8,15,16,23,24,32,31,48,47
88,49,57,50,58,42,51,43,59,1,2
98,54,38,56,53,37,30,46,55,29,61
112,25,26,27,34,35,33,1,2,9,10
117,59,60,51,52,49,57,35,36,44,3
118,30,39,6,14,22,38,31,21,45,5
124,49,57,50,58,34,35,36,42,51,33
127,1,2,9,10,17,18,11,19,20,25
150,42,43,41,50,58,34,35,36,44,52
153,59,50,58,51,49,57,53,61,60,42
181,7,8,15,16,23,24,32,31,40,48
198,30,6,14,22,21,5,13,29,3,7
208,5,13,21,29,6,14,22,7,8,15
215,61,51,60,62,59,53,45,27,44,52
218,49,57,20,27,28,51,43,59,4,12
224,42,41,34,35,36,33,43,1,2,9
276,31,7,8,15,16,23,24,32,39,47
280,49,57,60,59,50,58,52,42,51,53
290,4,12,20,28,36,3,11,19,27,35
296,51,60,43,59,49,57,11,19,20,27
313,33,1,2,9,10,17,18,4,12,41
327,33,1,2,9,10,17,18,49,57,11
328,33,1,2,9,10,17,18,11,19,20
354,1,2,9,10,17,18,11,19,20,25
369,5,13,11,19,20,27,28,29,3,21
374,59,34,35,49,57,42,51,33,43,41
378,61,53,54,59,60,62,50,58,56,63
381,51,59,50,58,60,44,52,43,49,57
386,59,61,51,54,50,58,62,53,60,55
416,60,61,49,57,51,59,50,53,58,54
423,21,5,13,29,37,3,30,1,2,9
425,59,60,53,61,54,52,62,51,45,55
437,33,1,2,9,10,17,18,11,19,20
440,1,2,9,10,17,18,49,57,42,11
442,59,52,49,57,60,41,50,58,42,51
443,33,1,2,9,10,17,18,49,57,11
453,1,2,9,10,17,18,11,19,25,26
470,7,8,15,16,23,24,32,31,5,13
494,61,54,62,56,63,64,55,53,30,46
507,59,50,58,51,43,49,57,53,61,60
509,43,41,11,19,20,27,28,35,36,44
514,5,13,6,14,22,21,45,37,30,7
524,11,19,20,27,28,35,36,44,52,51
526,1,2,9,10,17,18,42,11,19,20
544,7,8,15,16,23,24,32,31,40,6
559,59,51,52,49,57,53,61,60,50,58
565,41,42,49,57,33,43,59,50,58,25
570,1,2,9,10,17,18,11,19,20,25
571,40,7,8,15,16,23,24,32,39,48
573,21,5,13,30,6,14,22,29,61,45
574,33,1,2,9,10,17,18,41,11,19
577,49,57,42,43,41,50,58,34,35,36
578,34,35,36,33,1,2,9,10,17,18
582,6,14,22,5,13,30,21,7,8,15
595,7,8,15,16,23,24,32,48,40,31
620,1,2,9,10,17,18,11,19,20,25
624,59,50,58,52,42,51,60,43,49,57
625,34,35,36,52,49,57,42,33,43,59
629,40,7,8,15,16,23,24,32,39,31
637,35,36,49,57,51,3,43,59,4,12
643,5,13,4,12,21,3,29,11,19,20
644,40,48,7,8,15,16,23,24,32,39
651,56,63,64,54,55,62,61,46,53,45
652,3,1,2,9,10,17,18,21,4,12
660,21,5,13,30,6,14,22,29,4,12
668,7,8,15,16,23,24,32,31,40,39
713,49,57,41,50,58,42,51,53,33,43
743,37,21,5,13,29,34,35,36,45,3
767,40,7,8,15,16,23,24,32,39,31
771,49,57,51,30,46,6,14,22,38,43
780,33,41,1,2,9,10,17,18,11,19
789,21,5,13,27,35,29,30,3,6,14
790,7,8,15,16,23,24,32,31,40,6
791,59,60,52,53,51,61,62,49,57,1
811,51,30,46,43,59,6,14,22,38,48
824,52,60,59,44,51,45,53,61,50,58
838,30,6,14,22,21,7,8,15,16,23
