,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
12,7,8,15,16,23,24,32,5,13,31
26,3,4,11,12,19,25,26,27,1,2
45,43,51,59,60,30,35,36,52,6,14
51,7,8,15,16,23,24,32,40,48,31
67,7,8,15,16,23,24,32,31,56,6
73,63,64,56,21,29,53,55,7,8,15
77,63,64,56,21,29,53,55,7,8,15
85,1,2,9,10,17,18,3,4,11,12
101,54,62,63,64,56,55,28,53,61,1
103,45,52,53,38,46,44,41,31,39,47
105,43,51,59,35,53,61,27,41,49,50
107,31,45,52,7,8,15,16,23,24,32
132,21,29,7,8,15,16,23,24,32,40
136,49,50,57,58,42,53,61,43,51,59
141,28,1,2,9,10,17,18,20,36,3
166,41,28,43,3,4,11,12,19,25,26
168,53,61,54,62,63,64,56,55,41,49
170,1,2,9,10,17,18,33,34,3,4
180,21,29,5,13,37,45,28,30,20,36
182,54,62,63,64,56,55,28,53,61,1
197,1,2,9,10,17,18,20,3,4,11
211,21,29,38,46,31,39,47,5,13,37
214,53,61,49,50,57,58,54,62,63,64
219,20,36,3,4,11,12,19,27,44,28
235,36,37,45,30,44,42,6,14,22,21
239,31,6,14,22,36,5,13,37,45,21
245,1,2,9,10,17,18,3,4,11,12
247,21,29,41,5,13,37,45,30,42,6
257,21,29,5,13,37,45,30,6,14,22
260,28,21,29,1,2,9,10,17,18,20
268,28,43,20,35,36,52,3,4,11,12
270,41,33,34,35,25,26,27,42,28,43
279,1,2,9,10,17,18,20,33,3,4
315,1,2,9,10,17,18,20,3,4,11
322,21,29,28,43,5,13,37,45,30,20
331,21,29,5,13,37,45,30,6,14,22
338,41,49,50,57,58,42,53,61,43,51
350,62,63,64,56,53,61,43,51,55,59
403,28,7,8,15,16,23,24,32,40,48
405,1,2,9,10,17,18,20,33,3,4
411,41,42,53,28,43,54,63,64,56,1
415,54,56,30,55,6,14,22,53,61,21
421,49,50,57,58,37,45,30,42,6,14
427,43,35,36,52,30,44,42,6,14,22
447,49,50,57,58,37,45,30,42,6,14
465,53,61,54,62,63,64,56,55,41,49
475,7,8,15,16,23,24,32,40,48,31
480,49,50,57,58,54,42,56,30,6,14
481,1,2,9,10,17,18,33,34,3,4
486,27,41,43,20,33,35,5,13,42,3
531,43,51,59,60,35,36,52,53,61,44
543,21,29,5,13,37,45,30,6,14,22
551,28,21,29,1,2,9,10,17,18,20
554,1,2,9,10,17,18,33,34,3,4
561,21,29,28,5,13,37,30,1,2,9
572,30,6,14,22,7,8,15,16,23,24
584,63,64,56,53,55,41,54,42,21,29
593,28,5,13,1,2,9,10,17,18,20
601,63,64,56,55,62,53,61,7,8,15
612,20,3,4,11,12,19,27,28,1,2
614,53,61,51,59,60,54,62,52,55,44
615,1,2,9,10,17,18,20,3,4,11
623,49,50,57,58,37,45,30,42,6,14
628,63,64,36,56,37,7,8,15,16,23
640,42,43,34,35,36,52,53,44,41,49
641,41,42,28,43,1,2,9,10,17,18
650,49,50,57,58,63,64,42,56,43,51
656,7,8,15,16,23,24,32,31,36,42
664,28,21,29,20,36,5,13,37,45,30
675,36,44,49,50,57,58,42,37,45,30
684,7,8,15,16,23,24,32,21,29,31
691,6,14,22,7,8,15,16,23,24,32
695,7,8,15,16,23,24,32,40,48,31
709,55,62,63,64,56,61,51,59,41,49
716,42,43,37,45,30,34,35,36,52,6
722,51,59,60,52,53,61,44,54,62,55
733,1,2,3,4,5,6,7,8,9,10
748,30,42,6,14,22,7,8,15,16,23
769,51,59,60,52,44,43,45,35,36,53
772,49,50,57,58,42,43,51,59,60,34
779,1,2,9,10,17,18,33,34,3,4
829,45,21,29,53,38,46,52,31,39,47
832,21,29,5,13,37,45,30,6,14,22
842,3,4,11,12,19,28,43,1,2,9
