,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
10,59,60,52,54,56,43,51,55,22,30
30,7,8,15,16,23,24,32,31,40,48
37,17,18,1,2,9,10,19,25,26,28
40,21,29,31,38,46,37,45,39,47,5
41,34,33,35,41,42,1,2,9,10,25
47,53,21,29,54,63,64,37,45,56,5
50,54,56,22,30,55,6,7,8,14,15
79,5,13,1,2,9,10,6,14,21,29
97,19,3,11,20,27,17,18,4,12,1
123,41,42,21,29,37,45,5,13,22,30
137,54,53,61,55,52,56,17,18,33,59
156,59,60,53,61,52,54,62,63,64,56
160,17,18,33,5,13,1,2,9,10,19
167,17,18,1,2,9,10,19,25,26,28
173,53,61,54,62,63,64,56,43,51,55
183,5,13,17,18,33,1,2,9,10,19
184,34,17,18,33,35,54,62,63,64,1
199,40,48,37,45,39,47,7,8,15,16
202,51,44,59,60,31,38,46,19,28,36
203,28,36,20,4,12,17,18,21,29,1
210,17,18,1,2,9,10,19,25,26,5
225,21,29,37,45,5,13,22,30,6,7
229,3,11,4,12,1,2,9,10,19,20
230,53,41,42,54,63,64,56,34,43,55
233,59,60,51,44,52,54,62,45,55,31
248,44,28,36,45,20,52,51,4,12,31
262,63,64,5,13,56,21,29,6,7,8
263,60,53,61,37,45,44,52,54,62,17
271,49,50,57,58,59,53,61,41,42,54
289,41,42,34,43,49,50,57,58,33,35
308,17,18,1,2,9,10,19,25,26,3
320,5,13,6,14,1,2,9,10,3,11
321,21,29,37,45,5,13,22,30,6,7
326,60,52,53,61,59,54,62,44,55,37
334,53,61,54,62,63,64,56,17,18,21
347,45,54,31,38,46,53,61,22,30,55
361,21,29,7,8,15,16,23,24,32,63
388,1,2,3,4,5,6,7,8,9,10
406,43,51,53,61,35,59,60,54,62,63
410,37,45,40,48,39,47,21,29,44,7
417,17,18,1,2,9,10,19,25,26,28
422,44,28,36,45,20,52,4,12,17,18
444,7,8,15,16,23,24,32,31,40,48
445,59,60,19,28,36,3,11,20,27,44
446,43,35,41,42,3,11,27,34,51,49
458,53,61,54,62,63,64,56,17,18,21
460,27,43,51,49,50,57,58,35,59,19
469,1,2,9,10,3,11,41,42,4,12
498,3,11,4,12,1,2,9,10,19,5
501,44,52,60,45,20,37,38,46,53,61
508,19,3,11,20,27,17,18,37,4,12
515,17,18,33,1,2,9,10,19,25,26
520,49,50,57,58,33,53,61,25,26,41
522,59,60,54,56,52,55,53,61,43,51
538,60,53,61,52,54,62,59,55,37,45
540,62,63,64,56,43,51,55,35,59,60
555,54,55,62,53,61,59,60,56,51,63
556,53,61,54,62,63,64,56,55,59,60
576,7,8,15,16,23,24,32,34,25,26
605,1,2,3,4,5,6,7,8,9,10
616,53,43,54,63,64,41,42,56,35,59
619,28,36,20,44,52,4,12,41,42,21
622,43,51,53,61,35,59,60,54,62,63
626,60,52,53,61,59,54,62,44,55,51
639,21,29,37,45,5,13,22,30,6,7
657,53,61,54,62,63,64,56,55,21,29
658,49,50,57,58,41,42,34,43,51,33
662,49,50,57,58,53,61,41,42,54,62
666,21,29,37,28,36,5,13,22,30,54
686,17,18,21,29,37,45,1,2,9,10
699,17,18,1,2,9,10,19,25,26,28
706,63,64,56,55,53,61,21,29,7,8
711,63,64,28,36,56,7,8,15,16,23
717,34,17,18,33,35,21,29,54,63,64
762,21,29,37,45,5,13,22,30,28,36
773,17,18,1,2,9,10,19,25,26,3
775,17,18,1,2,9,10,19,25,26,3
776,3,11,43,4,12,35,5,13,1,2
786,4,12,3,11,20,52,5,13,1,2
787,59,60,53,61,43,51,49,50,57,58
792,43,51,49,50,57,58,53,61,35,59
794,41,42,34,43,17,18,33,35,1,2
810,44,52,59,60,45,28,36,20,4,12
816,53,61,54,62,63,64,56,21,29,37
825,35,34,43,54,63,64,41,42,27,56
830,1,2,3,4,5,6,7,8,9,10
