,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
33,28,43,20,35,36,52,3,4,11,12
54,27,43,41,20,33,35,3,4,11,12
75,21,29,28,5,13,37,45,20,36,30
84,1,2,3,4,5,6,7,8,9,10
86,30,6,14,22,42,7,8,15,16,23
90,45,52,21,29,44,38,46,53,31,39
91,1,2,3,4,5,6,7,8,9,10
95,28,20,36,3,4,11,12,19,21,27
119,43,41,35,27,42,53,28,51,59,54
122,36,42,44,6,14,22,7,8,15,16
133,1,2,9,10,17,18,20,33,41,3
143,1,2,9,10,17,18,33,34,3,4
155,28,7,8,15,16,23,24,32,40,48
162,1,2,9,10,17,18,20,3,4,11
179,28,1,2,9,10,17,18,20,36,41
200,28,1,2,9,10,17,18,20,33,34
206,21,29,28,20,36,5,13,37,30,3
209,43,20,35,36,52,53,5,13,37,45
216,28,20,36,3,4,11,12,19,21,27
236,5,13,37,45,1,2,9,10,17,18
246,1,2,9,10,17,18,20,33,3,4
251,56,55,63,64,7,8,15,16,23,24
254,1,2,9,10,17,18,33,3,4,11
259,20,3,4,11,12,19,27,28,1,2
267,36,37,28,21,29,30,6,14,22,20
284,43,51,59,60,30,20,35,36,52,6
295,28,54,62,63,64,56,1,2,9,10
302,53,61,51,59,60,45,34,52,49,50
310,49,50,57,58,42,53,61,43,51,59
318,36,44,49,50,57,58,37,45,42,30
325,30,6,14,22,41,7,8,15,16,23
346,53,61,54,62,63,64,56,55,41,49
363,31,5,13,6,14,22,28,51,59,60
367,6,14,22,7,8,15,16,23,24,32
377,21,29,5,13,37,45,7,8,15,16
385,5,13,7,8,15,16,23,24,32,21
391,60,52,44,53,61,43,51,59,54,62
392,28,1,2,9,10,17,18,20,36,3
402,21,29,28,5,13,37,45,30,1,2
407,63,64,56,55,62,53,61,43,51,59
412,44,51,59,60,36,52,38,46,45,31
413,36,44,49,50,57,58,37,45,42,30
430,52,44,42,31,43,51,59,60,45,34
461,1,2,9,10,17,18,3,4,11,12
462,36,44,28,43,37,45,20,35,52,30
476,1,2,9,10,17,18,20,36,3,4
477,62,63,64,56,55,28,43,51,59,60
489,28,20,36,3,4,11,12,19,21,27
490,53,61,28,43,51,59,60,54,62,63
496,36,6,14,22,44,42,7,8,15,16
513,43,51,59,60,35,52,38,40,46,48
518,3,4,11,12,19,1,2,9,10,17
533,43,20,35,36,52,5,13,42,3,4
541,3,4,11,12,19,1,2,9,10,17
545,36,44,49,50,57,58,37,45,42,30
546,37,45,44,36,52,6,14,22,5,13
553,36,44,49,50,57,58,37,45,30,6
580,63,64,56,49,50,57,58,62,61,55
587,51,59,60,52,53,61,44,54,62,45
590,36,44,37,45,28,43,51,59,60,30
602,33,34,25,26,41,1,2,9,10,17
617,1,2,3,4,5,6,7,8,9,10
630,20,5,13,3,4,11,12,19,27,28
642,51,59,60,52,53,61,44,49,50,57
646,44,43,49,50,51,57,58,59,60,38
648,30,6,14,22,1,2,9,10,17,18
677,53,61,21,29,54,62,63,64,56,5
692,63,64,56,62,55,61,53,41,49,50
693,51,59,60,52,44,53,61,43,54,62
697,63,64,56,55,62,53,61,41,49,50
698,55,56,54,62,63,64,40,48,53,61
701,53,61,49,50,57,58,54,62,63,64
704,60,52,44,53,61,43,51,59,54,62
710,62,63,64,61,56,49,50,57,58,53
726,51,59,41,49,50,57,58,25,26,27
730,28,1,2,9,10,17,18,20,36,3
734,60,52,61,37,45,44,62,6,14,22
736,7,8,15,16,23,24,32,43,31,63
739,36,44,28,43,37,45,20,35,52,30
741,6,14,22,7,8,15,16,23,24,32
756,41,33,25,26,27,42,43,1,2,9
761,51,59,60,53,61,45,52,54,62,44
770,41,7,8,15,16,23,24,32,31,6
835,41,33,25,26,27,42,43,1,2,9
839,3,4,11,12,19,25,26,27,28,1
