,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
12,7,8,15,16,23,24,32,31,40,48
26,11,19,25,26,27,3,4,12,33,1
45,43,59,60,35,36,44,52,54,42,51
51,40,7,8,15,16,23,24,32,39,31
67,7,8,15,16,23,24,32,31,40,39
73,40,48,7,8,15,16,23,24,32,39
77,7,8,15,16,23,24,32,31,21,40
85,1,2,9,10,17,18,3,33,4,12
101,33,1,2,9,10,17,18,11,19,20
103,45,52,46,38,59,47,29,54,53,21
105,27,35,41,33,43,11,19,20,25,26
107,5,13,31,21,6,14,22,7,8,15
132,40,7,8,15,16,23,24,32,39,31
136,61,60,54,62,53,59,56,63,64,55
141,34,35,36,42,33,43,41,50,58,1
166,3,11,19,25,26,27,4,12,30,21
168,20,28,4,12,1,2,9,10,17,18
170,1,2,9,10,17,18,11,19,25,26
180,21,3,5,13,29,4,12,11,19,20
182,1,2,9,10,17,18,54,11,19,20
197,1,2,9,10,17,18,11,19,20,25
211,29,20,28,36,21,5,13,37,33,4
214,61,59,60,50,53,58,54,62,52,45
219,59,60,52,51,49,57,43,50,58,35
235,30,6,14,22,21,7,8,15,16,23
239,5,13,21,29,4,12,20,28,36,6
245,1,2,9,10,17,18,11,19,25,26
247,33,41,1,2,9,10,17,18,29,21
257,30,6,14,22,38,29,40,21,7,8
260,33,1,2,9,10,17,18,11,19,20
268,20,28,36,4,12,11,19,27,35,44
270,25,26,27,33,1,2,9,10,17,18
279,41,33,1,2,9,10,17,18,11,19
315,4,12,20,28,36,3,33,41,1,2
322,11,19,20,27,28,29,3,21,1,2
331,21,5,13,30,6,14,22,29,40,37
338,50,58,59,49,57,52,42,51,43,60
350,51,62,53,43,59,56,63,64,61,45
403,3,41,4,12,11,19,20,27,28,35
405,1,2,9,10,17,18,11,19,20,25
411,1,2,9,10,17,18,11,19,20,25
415,54,56,55,30,46,6,14,22,38,48
421,49,57,50,58,34,35,36,42,51,60
427,3,30,4,12,6,14,22,11,19,20
447,29,21,45,20,28,36,44,5,13,37
465,52,53,59,61,49,57,20,28,36,44
475,7,8,15,16,23,24,32,31,40,48
480,50,58,59,49,57,42,51,34,35,43
481,1,2,9,10,17,18,11,19,25,26
486,41,43,27,35,49,57,42,51,33,59
531,51,49,57,60,43,59,50,58,35,36
543,1,2,9,10,17,18,11,19,20,25
551,3,1,2,9,10,17,18,4,12,11
554,1,2,9,10,17,18,11,19,25,26
561,33,1,2,9,10,17,18,11,19,20
572,49,57,41,50,58,42,51,33,43,59
584,40,7,8,15,16,23,24,32,39,30
593,41,33,1,2,9,10,17,18,11,19
601,56,63,64,55,48,47,40,7,8,15
612,3,4,12,11,19,20,27,28,35,36
614,59,52,60,51,61,49,57,44,41,50
615,50,58,34,35,36,42,51,60,33,43
623,45,37,48,47,40,49,57,7,8,15
628,56,63,64,34,35,36,55,40,54,30
640,1,2,9,10,17,18,42,11,19,20
641,41,42,33,43,1,2,9,10,17,18
650,63,64,56,55,62,50,58,49,57,59
656,5,13,6,14,22,21,30,3,29,7
664,4,12,20,28,21,5,13,3,29,11
675,49,57,42,43,41,50,58,1,2,9
684,7,8,15,16,23,24,32,31,48,47
691,3,1,2,9,10,17,18,4,12,11
695,6,14,22,40,7,8,15,16,23,24
709,62,55,56,63,64,61,54,59,53,51
716,42,34,35,36,41,33,43,3,21,30
722,51,60,59,44,52,43,49,57,53,45
733,61,30,46,6,14,22,38,48,47,40
748,4,12,20,28,36,3,1,2,9,10
769,59,60,51,52,44,50,58,43,35,36
772,49,57,50,58,42,51,43,59,1,2
779,33,1,2,9,10,17,18,11,19,25
829,31,21,30,6,14,22,5,13,7,8
832,1,2,9,10,17,18,11,19,20,25
842,11,19,3,1,2,9,10,17,18,4
