,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
2,19,3,11,4,12,17,18,25,26,27
8,1,2,9,10,17,18,25,26,3,11
31,1,2,3,4,5,6,7,8,9,10
32,17,18,25,26,27,28,1,2,9,10
43,41,42,43,33,34,35,17,18,25,26
48,49,50,57,58,36,52,44,42,37,45
74,42,36,43,44,41,49,50,57,58,34
76,49,50,57,58,36,44,42,37,45,43
78,7,8,15,16,23,24,32,31,40,48
88,49,50,57,58,42,43,51,59,34,35
98,27,22,30,19,20,5,13,6,7,8
112,41,33,34,35,17,18,25,26,27,28
117,51,59,35,60,36,52,43,49,50,57
118,45,31,38,46,44,39,47,22,30,49
124,36,49,50,57,58,34,35,37,17,18
127,41,42,43,22,30,6,7,8,14,15
150,41,17,18,25,26,27,28,1,2,9
153,51,59,49,50,57,58,60,45,53,61
181,7,8,15,16,23,24,32,31,40,48
198,49,50,57,58,42,54,56,43,51,59
208,7,8,15,16,23,24,32,31,40,48
215,60,61,52,51,59,44,62,45,53,55
218,61,28,20,36,52,62,63,64,21,29
224,41,33,17,18,25,26,27,1,2,9
276,31,39,47,42,45,7,8,15,16,23
280,49,50,57,58,42,43,51,59,34,35
290,36,28,35,20,37,21,29,44,43,27
296,43,51,59,35,60,27,28,19,20,36
313,4,12,1,2,9,10,3,11,17,18
327,17,18,25,26,27,28,1,2,9,10
328,33,17,18,25,26,27,1,2,9,10
354,41,42,43,33,34,35,17,18,25,26
369,43,3,11,41,4,12,35,5,13,27
374,51,59,49,50,57,58,60,52,44,42
378,49,50,57,58,42,53,61,43,51,59
381,60,51,59,52,44,45,53,61,43,49
386,51,59,49,50,57,58,60,45,53,61
416,51,59,49,50,57,58,60,53,61,52
423,42,36,43,41,49,50,57,58,44,7
425,51,59,60,45,53,61,52,31,38,46
437,41,17,18,25,26,27,28,22,30,6
440,42,43,41,49,50,57,58,33,34,35
442,61,62,63,64,56,55,41,49,50,57
443,1,2,3,4,5,6,7,8,9,10
453,41,33,34,17,18,25,26,1,2,9
470,41,56,55,7,8,15,16,23,24,32
494,17,18,25,26,27,28,1,2,9,10
507,53,61,43,51,59,49,50,57,58,35
509,43,51,59,35,60,27,28,19,20,36
514,60,37,45,53,61,52,43,51,59,49
524,52,43,51,59,44,41,35,60,45,53
526,41,21,29,42,5,13,37,45,53,43
544,41,5,13,42,1,2,9,10,3,11
559,51,59,52,60,44,45,53,61,36,43
565,41,42,43,33,34,35,17,18,25,26
570,1,2,9,10,41,3,11,33,34,35
571,7,8,15,16,23,24,32,31,40,48
573,22,30,6,7,8,14,15,16,23,24
574,41,17,18,25,26,27,28,1,2,9
577,42,17,18,25,26,27,1,2,9,10
578,17,18,25,26,27,28,1,2,9,10
582,42,43,41,49,50,57,58,22,30,6
595,7,8,15,16,23,24,32,31,40,48
620,41,42,43,7,8,15,16,23,24,32
624,63,64,56,55,7,8,15,16,23,24
625,42,1,2,9,10,36,43,41,49,50
629,7,8,15,16,23,24,32,31,40,48
637,35,36,43,51,59,49,50,57,58,34
643,33,34,35,19,20,36,4,12,43,22
644,7,8,15,16,23,24,32,31,40,48
651,21,29,5,13,37,45,53,61,22,30
652,36,34,35,42,17,18,25,26,27,28
660,20,36,5,13,37,45,43,21,29,44
668,7,8,15,16,23,24,32,31,40,48
713,53,61,60,62,54,55,52,44,37,45
743,34,35,42,37,36,43,41,49,50,57
767,63,64,56,7,8,15,16,23,24,32
771,22,30,21,29,6,7,8,14,15,16
780,41,17,18,25,26,27,28,1,2,9
789,27,28,19,20,36,43,3,11,21,29
790,7,8,15,16,23,24,32,31,40,48
791,51,59,60,52,44,45,53,61,31,38
811,27,28,19,20,36,3,11,21,29,44
824,60,52,45,44,53,61,51,59,37,38
838,7,8,15,16,23,24,32,31,40,48
