,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
6,64,56,8,16,24,32,40,48,63,41
13,31,7,15,23,45,44,52,8,16,24
18,53,61,62,63,54,64,56,55,49,50
61,63,64,56,55,53,54,61,41,42,52
70,41,42,43,53,63,28,34,35,36,54
80,7,15,23,8,16,24,31,32,39,40
81,61,55,62,63,64,59,53,56,49,50
144,28,36,7,15,23,20,44,8,16,24
154,34,59,60,1,2,9,10,17,18,33
169,1,2,9,10,17,18,33,3,4,11
178,59,60,44,52,54,38,46,51,55,45
185,43,51,53,61,62,63,28,35,36,59
186,28,35,36,20,3,4,11,12,19,21
190,6,14,22,7,15,23,8,16,24,31
196,7,15,23,8,16,24,31,32,39,40
207,3,4,11,12,19,28,36,7,15,23
212,3,4,11,12,19,28,36,1,2,9
220,49,50,57,58,59,41,42,54,56,55
240,53,61,62,63,59,60,54,64,56,52
241,8,16,24,32,40,48,41,42,64,56
244,62,63,54,64,56,55,28,34,35,36
266,3,4,11,12,19,28,34,35,36,1
273,28,36,1,2,9,10,17,18,20,44
274,21,29,37,45,53,28,36,5,13,30
285,28,36,1,2,9,10,17,18,20,44
299,62,63,54,64,56,55,53,61,28,34
303,5,13,1,2,9,10,17,18,20,33
304,59,43,51,49,50,57,58,61,62,63
309,7,15,23,8,16,24,31,32,39,40
314,3,4,11,12,19,43,28,34,35,36
316,8,16,24,32,43,7,15,23,31,40
323,28,36,20,44,3,4,11,12,19,21
339,28,36,1,2,9,10,17,18,20,3
351,28,36,1,2,9,10,17,18,20,44
357,30,6,14,22,7,15,23,38,46,8
359,28,36,1,2,9,10,17,18,20,44
362,1,2,9,10,17,18,30,3,4,11
365,28,36,1,2,9,10,17,18,20,44
370,53,61,62,63,54,64,56,55,59,60
382,28,36,1,2,9,10,17,18,20,44
393,53,61,62,63,54,64,56,55,49,50
404,53,61,62,63,59,60,54,64,56,52
455,34,1,2,9,10,17,18,33,3,4
466,49,50,57,58,53,61,59,62,63,41
472,30,6,14,22,59,7,15,23,38,46
479,1,2,9,10,17,18,3,4,11,12
485,54,56,55,59,60,53,61,52,62,63
500,62,63,28,34,35,36,54,64,56,1
511,8,16,24,32,40,48,64,56,7,15
516,43,51,49,50,57,58,35,59,53,61
521,20,3,4,11,12,19,27,28,36,5
523,59,60,52,53,61,62,54,55,51,44
527,34,1,2,9,10,17,18,33,3,4
536,21,29,37,45,53,61,28,36,59,60
537,5,13,31,45,1,2,9,10,17,18
558,63,28,34,35,36,54,64,56,1,2
566,5,13,52,6,14,22,43,21,29,7
583,5,13,21,29,6,14,22,28,36,7
596,60,44,52,53,61,62,54,37,45,55
608,28,36,1,2,9,10,17,18,20,3
613,43,51,49,50,57,58,35,59,53,61
631,5,13,31,7,15,23,1,2,9,10
647,43,63,7,15,23,41,42,64,30,28
654,34,1,2,9,10,17,18,33,3,4
682,43,51,53,61,62,63,28,35,36,59
687,3,4,11,12,19,1,2,9,10,17
690,7,15,23,30,28,36,21,29,8,16
705,59,60,53,61,62,52,54,51,55,63
718,21,29,37,5,13,30,28,34,35,36
735,3,4,11,12,19,1,2,9,10,17
740,7,15,23,5,13,28,36,21,29,8
745,64,56,52,41,42,53,63,43,54,28
752,1,2,9,10,17,18,3,4,11,12
753,28,36,59,60,5,13,6,14,22,20
755,52,31,59,60,45,7,15,23,44,43
757,43,51,49,50,57,58,34,35,59,33
758,62,63,28,34,35,36,54,64,56,1
759,61,45,62,60,44,52,55,38,46,39
782,55,63,37,54,64,52,56,39,40,47
788,38,46,31,39,47,30,21,29,6,14
798,63,41,42,64,56,55,53,49,50,57
805,45,44,39,47,37,38,46,52,31,40
812,53,63,52,54,64,43,21,29,56,55
828,27,43,51,49,50,57,58,30,28,35
841,7,15,23,5,13,8,16,24,31,32
