0,htl,sna,twi,brk,NetA,nub,zen,Doc3,eve,oc
0,zfh1,Mes2,Mdr49,Doc2,Antp,croc,tsh,zen2,kni,ken
19,1337,1341,1375,1377,1378,1379,1382,935,897,936
23,2160,2161,2426,2427,2429,2431,2464,1139,1101,1140
25,28,32,34,35,36,37,38,2933,76,110
42,1322,1056,1132,1017,1055,2932,158,1079,1078,1041
45,1103,1105,1106,1142,1144,1180,1181,1157,1195,1196
53,737,739,769,772,773,774,775,855,893,892
55,646,607,569,3016,644,570,606,531,608,605
61,835,836,873,874,912,1140,758,1936,1935,1897
100,1671,1708,1709,1746,1520,1558,758,2943,1253,1215
102,1025,1102,1026,1063,1101,1064,1139,1100,1062,987
117,1043,1075,1077,1078,1079,1080,1081,1083,1122,1045
118,2515,2516,2553,2477,2514,2552,2478,2554,2479,2592
119,1396,1426,1009,1013,1015,1016,1045,1313,1275,1312
123,1389,1429,1466,1009,1013,1015,1016,1699,1698,1737
145,1520,1558,2199,2200,2201,2236,2237,1443,1481,1405
159,1140,1026,1102,835,836,873,874,1403,1441,1365
170,758,950,988,1671,1708,1709,1746,1253,1252,1290
182,1978,1939,2016,1940,1903,1902,1941,1901,2960,1979
184,1520,1519,1481,1557,1443,1518,1556,1480,3030,1482
185,835,873,872,834,795,833,871,796,910,832
192,341,377,379,413,414,415,416,570,569,3016
197,1009,1013,1015,1016,1045,1047,1048,1199,1237,1161
198,445,481,482,484,520,521,522,672,633,595
200,2485,2561,2598,2600,2599,2562,2523,2560,2524,2939
207,1389,1429,1466,1009,1013,1015,1016,2028,2066,1990
211,737,739,769,772,773,774,775,2820,2782,2783
232,36,2937,16,30,33,22,24,14,18,11
237,1446,1445,1483,1484,1485,1521,1522,1712,1674,1673
251,1434,3004,1358,1396,1359,1397,1320,1321,1319,1282
263,1446,1141,1179,1103,1105,1106,1142,1981,1943,1980
273,1427,1433,1434,1435,1464,1470,1615,1118,1080,1156
280,1048,1049,1050,1010,973,1011,972,935,1012,934
