0,htl,sna,twi,brk,NetA,nub,zen,Doc3,eve,oc
0,zfh1,Mes2,Mdr49,Doc2,Antp,croc,tsh,zen2,kni,ken
14,1165,1166,1167,1168,1197,1199,1200,2003,2041,2078
37,454,417,415,455,530,493,492,456,494,531
39,758,950,988,607,645,646,683,947,948,986
64,1389,1429,1466,1009,1013,1015,1016,2147,2109,2146
78,1107,1071,1108,1070,1032,1146,1033,1110,1109,1069
89,977,979,1011,1012,1014,1046,1317,665,627,628
92,148,150,152,184,2957,151,185,2935,263,340
99,1459,1460,1495,1533,2182,2293,1003,1150,1111,1112
101,2567,2605,2606,2607,2648,2569,2608,713,750,712
107,136,61,99,137,63,292,92,10,2976,12
116,1360,1398,1322,3008,1359,1436,1246,2608,2570,2571
126,251,408,3009,120,121,122,123,48,50,2981
129,1009,1013,1015,1016,1045,1047,1048,1235,1197,1273
134,758,950,988,607,645,646,683,2238,2200,3001
138,2627,2664,2625,2626,2663,2665,2702,2662,2587,2624
139,835,836,873,874,912,605,794,1556,2970,1518
144,1009,1013,1015,1016,1045,1047,1048,593,630,631
163,1671,1708,1709,1746,1520,1558,758,2970,1556,1557
165,1746,1708,1745,1707,1783,1669,1784,1744,1670,1821
176,2439,2475,2477,2478,2513,2514,2515,2601,2640,2563
177,2567,2605,2606,2607,2648,977,979,1394,1395,1357
194,1389,1429,1466,1009,1013,1015,1016,1205,1243,1242
196,1072,1073,1071,1110,2936,3007,1109,1148,1186,1033
199,763,2433,2471,2509,2548,2585,2586,2365,2326,2364
206,535,497,574,572,536,534,573,496,537,612
208,341,377,379,413,414,415,416,264,302,265
215,1203,2967,1241,1242,1280,1279,1204,1318,1240,1243
223,1009,1013,1015,1016,1045,1047,1048,1616,1654,1578
240,189,187,188,226,264,227,224,228,225,262
242,541,579,310,347,384,387,422,691,653,692
245,977,979,1011,1012,1014,1046,1317,1588,1626,1589
252,1026,1102,758,950,988,1140,1401,1139,1101,3014
262,1389,1429,1466,1425,1431,1468,1995,1688,1650,1651
270,1028,1027,991,989,1066,1029,1104,1067,1065,1105
274,981,1665,1703,1741,448,449,450,904,905,867
