"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","SP5L","TA","OSR1","WNT11"
"","CHD","SNAI1A","ADMP","MIXL1","BMP4","BMP7A","NOTO","TBX16","CST3","WNT8A"
"","AXIN2","FOXD5","SZL","CDX4","NDR2","VENT","APLNRB","FOXD3","GATA5","SEBOX"
"","OTX1A","LHX1A","GATA2A","FOXI1","BMP2B","FGF8A","ID3","HER1","OTX1B","FOXB1A"
10,52,45,46,38,54,61,59,53,47,29
30,9,1,10,2,13,11,5,33,41,3
37,29,28,21,27,19,20,11,35,3,13
40,61,53,51,62,59,45,54,63,43,64
41,40,28,41,36,30,32,39,23,24,15
47,30,22,35,43,14,28,6,36,3,20
50,23,24,15,32,16,7,31,8,30,40
79,3,41,18,28,17,12,4,19,10,20
97,3,33,10,2,9,1,12,4,34,11
123,36,49,57,52,37,35,34,50,42,58
137,61,51,62,38,54,59,53,49,57,55
156,43,35,41,44,36,28,42,27,19,20
160,60,61,52,53,45,37,44,59,62,54
167,13,21,5,22,14,29,6,30,45,37
173,14,6,15,16,7,8,23,24,32,22
183,22,21,14,6,13,5,29,30,23,37
184,41,33,34,35,17,18,28,36,42,25
199,40,39,32,23,24,15,16,48,7,8
202,49,51,57,60,59,50,58,43,52,45
203,23,40,15,24,16,32,7,8,39,31
210,29,37,21,36,13,28,5,30,38,22
225,50,58,33,42,59,56,41,49,35,57
229,18,17,26,28,25,9,10,1,2,19
230,28,27,19,20,11,18,29,17,26,3
233,22,21,14,13,6,30,5,29,23,24
248,29,48,21,47,30,46,37,40,38,22
262,35,43,59,27,41,33,49,57,51,34
263,3,13,21,5,12,4,10,2,9,1
271,49,57,50,58,41,51,42,59,43,33
289,41,26,27,25,33,30,22,38,34,14
308,56,55,54,48,37,46,30,47,29,38
320,36,37,45,21,28,44,13,29,20,5
321,33,41,34,35,17,18,36,25,28,26
326,21,28,29,27,3,20,19,12,11,4
334,15,16,7,8,23,24,32,31,40,48
347,49,57,42,50,58,43,41,34,35,44
361,56,55,48,32,23,24,15,16,47,7
388,30,22,3,19,21,12,14,4,35,6
406,50,58,34,35,42,59,36,60,43,49
410,49,52,57,34,35,36,42,59,50,58
417,49,50,57,58,61,46,62,51,30,38
422,45,37,38,36,44,29,52,21,53,46
444,21,30,29,22,23,24,15,16,32,7
445,19,11,33,3,12,35,34,4,28,36
446,15,16,23,24,7,8,32,31,40,30
458,49,57,18,17,28,50,26,58,25,9
460,51,59,61,52,54,53,45,44,60,55
469,29,21,37,28,36,18,30,17,38,22
498,36,44,28,43,27,41,19,20,29,11
501,10,2,9,1,11,18,17,3,12,4
508,49,57,50,58,33,34,35,41,25,26
515,28,27,19,20,11,35,3,18,41,36
520,18,17,26,27,19,10,20,25,9,1
522,30,38,36,22,37,14,6,40,39,32
538,31,13,5,14,21,6,23,15,24,16
540,35,51,49,36,57,28,27,60,59,19
555,63,64,56,62,55,59,50,58,51,49
556,52,60,59,45,37,61,53,44,62,46
576,51,59,49,57,50,58,44,43,27,52
605,40,23,24,48,15,16,32,7,8,39
616,15,16,7,8,23,24,32,40,31,12
619,45,37,53,60,54,61,21,52,46,30
622,15,16,23,24,7,8,32,31,22,40
626,14,21,6,13,5,29,22,15,16,23
639,19,20,12,11,4,28,18,17,27,3
657,21,28,18,36,29,17,3,30,42,20
658,51,52,59,61,44,60,53,50,58,62
662,41,17,18,28,42,25,9,26,1,10
666,18,17,28,26,36,27,25,10,19,9
686,23,24,48,15,16,32,7,8,31,47
699,15,16,23,24,7,8,32,31,35,40
706,55,63,64,62,61,56,54,60,53,47
711,15,16,23,24,7,8,32,31,22,40
717,49,57,50,58,33,41,34,51,25,26
762,50,58,49,51,57,42,59,61,63,53
773,62,54,63,64,56,61,53,55,50,58
775,15,16,7,23,8,24,32,31,30,22
776,41,42,43,33,34,29,35,45,21,37
786,37,30,36,44,22,38,40,21,45,14
787,17,18,25,28,9,26,1,10,2,19
792,61,62,53,54,63,64,49,57,55,52
794,35,41,43,27,49,57,33,34,51,42
810,37,13,45,21,5,14,6,29,22,40
816,10,2,9,1,11,3,18,17,12,4
825,29,21,40,37,30,27,23,24,48,15
830,28,13,36,5,12,21,4,20,3,29
