"","EVE1","SOX3","VED","BAMBIA","VOX","HES6","WNT11","OSR1","SP5L","SNAI1A"
"","TA","BMP4","MIXL1","CHD","NOTO","ADMP","BMP7A","FOXD5","TBX16","CST3"
5,15,16,23,39,24,40,7,8,31,32
7,15,16,23,24,7,8,31,13,32,21
20,21,13,29,12,20,5,19,3,28,4
35,34,33,26,41,18,25,17,10,35,9
36,12,18,3,26,33,10,4,17,25,2
49,42,41,33,59,53,43,49,34,57,52
53,33,26,18,25,17,9,10,1,41,2
63,55,56,63,64,62,54,61,47,48,46
72,55,56,63,64,61,62,53,60,54,50
89,33,26,41,18,34,25,17,9,1,10
102,23,31,24,32,47,48,15,16,39,7
115,21,13,12,5,29,20,3,19,4,28
120,33,41,26,34,18,38,10,25,17,54
121,15,16,23,24,7,8,31,32,14,39
125,33,49,57,34,25,17,26,9,1,18
128,26,3,18,12,25,17,4,10,9,1
130,61,62,54,55,63,53,56,64,60,46
139,15,16,23,24,47,7,8,48,31,32
145,30,46,39,22,38,40,47,14,48,6
146,36,37,26,34,38,18,10,25,17,9
158,55,56,63,61,64,62,54,50,60,58
159,53,54,61,55,45,62,46,56,37,38
172,60,61,59,51,50,62,58,52,53,49
194,17,25,9,1,18,26,10,2,19,27
226,27,28,19,20,29,26,11,18,10,25
227,15,16,7,8,39,40,23,24,13,5
242,61,53,49,62,57,54,45,60,25,26
258,22,14,30,23,24,6,15,16,31,32
277,34,50,35,58,51,33,42,36,49,43
291,60,50,58,59,49,52,57,51,62,42
301,31,32,33,23,24,26,34,15,18,16
319,62,54,53,61,55,56,63,60,64,46
333,27,28,19,20,26,11,18,12,43,25
337,46,38,47,45,39,48,40,55,37,56
344,15,16,23,7,24,8,31,14,32,22
360,26,25,17,18,9,1,10,2,27,19
366,42,46,43,38,34,54,47,52,49,48
368,61,53,60,62,54,59,55,56,52,63
371,50,58,61,60,51,42,62,59,54,49
372,60,61,49,59,62,57,52,54,25,17
376,25,17,9,1,26,18,10,2,27,19
383,41,33,42,34,25,26,17,9,43,1
394,18,26,17,25,9,10,1,2,19,27
395,33,41,25,17,9,1,26,34,18,10
400,49,42,57,50,58,41,34,43,54,51
409,15,16,23,24,7,8,31,13,32,21
414,15,16,7,8,23,24,31,14,32,6
435,50,58,49,59,57,51,52,42,44,34
438,27,28,19,20,36,11,12,38,26,18
452,54,53,60,55,43,56,62,46,52,59
456,47,48,46,38,39,40,55,56,45,63
459,49,57,34,25,36,17,26,9,1,18
471,22,30,14,21,39,6,38,13,40,23
484,39,47,40,48,31,46,32,55,23,56
495,49,57,50,58,51,42,59,61,34,53
497,49,50,57,58,41,51,53,61,42,33
504,44,60,59,53,36,51,43,52,35,61
506,50,60,58,59,49,57,52,51,62,61
510,15,16,23,24,7,8,31,14,32,22
549,13,21,5,14,22,29,6,15,16,30
594,34,26,18,25,17,9,10,35,33,1
610,23,39,24,40,15,16,31,47,48,32
618,12,20,3,19,4,11,27,21,28,13
627,26,41,18,25,17,9,10,27,33,44
633,15,16,7,8,23,24,31,14,32,6
649,61,54,62,60,55,56,53,51,63,46
667,22,30,21,14,13,23,6,31,24,5
679,18,10,33,26,41,2,12,17,9,20
681,14,6,22,13,5,30,21,15,16,29
683,33,25,17,9,1,26,18,10,41,2
689,23,15,24,16,31,32,7,22,8,14
700,47,48,63,64,55,62,56,31,32,61
715,31,23,32,24,15,30,16,22,21,7
724,43,35,51,44,36,42,49,34,57,52
742,29,26,18,21,25,13,10,17,9,5
744,62,54,61,60,46,55,59,56,63,53
749,12,3,11,4,19,20,27,10,28,18
781,13,38,21,33,5,35,41,54,46,14
793,27,28,19,20,26,11,18,12,25,3
814,26,18,10,2,25,17,12,27,9,19
818,22,30,14,21,13,23,6,24,5,31
823,26,33,18,25,17,10,9,1,27,41
831,26,18,25,17,10,9,1,27,2,19
843,39,47,40,48,31,32,23,24,55,56
849,43,35,44,41,27,28,51,19,36,33
