"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","SP5L","WNT11","OSR1","SNAI1A"
"","TA","MIXL1","CHD","BMP4","ADMP","TBX16","NOTO","FOXD5","BMP7A","WNT8A"
33,27,28,35,19,33,20,36,11,12,26
54,43,29,41,45,37,33,35,21,27,28
75,21,13,12,20,5,19,4,3,28,11
84,41,33,46,54,38,47,55,42,30,48
86,26,18,33,34,10,2,25,17,12,9
90,22,30,14,23,31,24,32,6,15,21
91,25,26,17,9,18,1,10,33,2,27
95,27,28,19,20,36,11,12,26,18,33
119,43,35,41,27,33,44,28,19,36,20
122,38,34,30,46,22,36,39,14,37,40
133,3,12,10,4,18,33,2,26,9,17
143,26,18,10,25,17,9,1,27,33,2
155,39,23,40,31,24,47,32,48,15,16
162,18,10,26,2,17,9,25,1,12,3
179,26,25,18,17,9,1,33,10,2,27
200,18,17,9,25,10,26,1,2,33,19
206,38,39,30,40,22,29,14,47,31,48
209,30,22,38,35,46,37,14,33,21,6
216,27,28,19,20,11,26,18,12,10,3
236,37,36,49,26,33,34,57,18,10,25
246,33,25,17,9,1,26,18,34,10,41
251,15,16,23,24,7,8,14,31,22,32
254,18,10,33,26,2,17,9,25,12,1
259,27,28,19,20,36,11,12,26,18,3
267,12,21,3,20,13,19,4,27,28,11
284,51,43,49,52,57,35,59,50,44,27
295,33,25,17,34,26,9,1,18,10,49
302,62,61,54,38,63,55,64,56,46,30
310,49,57,50,58,51,42,59,61,34,43
318,44,46,38,47,48,36,42,30,45,22
325,22,14,21,30,23,6,13,24,15,16
346,34,33,35,42,50,41,59,58,36,26
363,49,60,50,57,58,41,61,51,42,33
367,30,22,38,46,39,14,40,54,47,6
377,15,16,23,24,7,8,13,31,21,32
385,15,16,7,8,23,24,14,31,6,32
391,43,59,52,51,60,44,35,49,42,57
392,25,17,9,26,1,18,10,2,27,19
402,22,14,30,23,6,24,39,40,38,15
407,55,56,63,64,61,47,48,62,54,51
412,30,22,46,29,38,45,31,14,32,6
413,49,57,44,42,50,59,36,58,43,41
430,21,13,22,14,5,12,30,6,4,3
461,26,18,25,17,9,10,27,1,2,19
462,22,14,21,30,13,6,12,29,5,23
476,33,26,34,25,36,18,17,9,1,10
477,52,59,51,60,43,44,49,35,57,27
489,27,28,19,20,36,11,33,26,12,18
490,51,43,59,52,35,44,49,60,27,57
496,18,26,10,2,17,25,22,9,30,1
513,51,43,59,52,44,60,35,27,28,49
518,12,3,19,4,20,11,27,36,28,21
533,14,22,12,6,3,30,13,4,21,20
541,12,19,20,3,27,28,4,11,18,26
545,61,54,62,60,46,53,45,37,38,49
546,45,38,37,46,30,47,22,29,48,14
553,49,57,42,44,41,36,50,34,45,58
580,55,56,63,64,61,54,62,53,60,47
587,45,37,29,46,51,38,47,21,48,13
590,51,36,44,49,57,50,12,43,35,3
602,33,25,17,9,1,26,34,18,10,41
617,25,17,9,26,1,18,33,10,2,27
630,12,4,3,13,5,11,21,14,20,19
642,62,61,60,54,59,55,63,51,52,56
646,60,51,49,44,57,27,59,28,36,19
648,22,14,30,18,6,10,26,2,23,17
677,29,27,28,53,19,20,21,11,41,62
692,63,64,55,62,56,61,54,60,53,59
693,60,59,52,51,49,61,57,50,58,43
697,55,56,63,64,61,54,62,59,52,50
698,55,56,47,48,63,64,61,54,62,46
701,46,38,47,48,30,39,40,22,54,14
704,51,49,60,57,50,59,63,43,58,62
710,62,63,64,54,61,55,56,53,60,46
726,41,25,26,17,9,1,18,33,10,44
730,26,18,25,17,10,9,1,27,2,19
734,31,32,23,24,62,46,30,15,16,47
736,15,16,39,23,40,24,7,47,8,48
739,36,27,28,35,19,20,44,11,26,12
741,22,14,30,21,23,6,24,13,15,16
756,42,41,34,43,33,35,50,44,36,58
761,53,61,54,62,55,56,63,45,60,64
770,39,47,40,31,48,38,32,23,24,15
835,25,17,9,1,26,18,10,33,2,27
839,51,27,44,60,28,19,62,20,49,46
