"","EVE1","SOX3","BAMBIA","VED","HES6","VOX","TA","OSR1","SP5L","WNT11"
"","MIXL1","CHD","SNAI1A","BMP4","ADMP","TBX16","NOTO","BMP7A","FOXD5","CST3"
"","AXIN2","WNT8A","VENT","CDX4","NDR2","FOXD3","SZL","APLNRB","LHX1A","SEBOX"
"","OTX1A","GATA5","GATA2A","FOXI1","FOXB1A","BMP2B","FGF8A","ID3","HER1","OTX1B"
1,15,23,16,24,7,8,32,31,40,48
9,33,34,35,17,18,36,28,59,25,9
24,61,62,53,59,54,63,64,60,50,58
25,59,60,52,49,57,51,44,50,36,58
28,21,13,29,5,22,28,36,14,6,37
55,51,49,57,60,59,50,43,58,52,35
58,18,17,26,19,25,10,9,1,2,33
69,40,36,39,32,23,24,15,16,7,48
83,51,60,59,52,44,61,53,49,57,43
87,59,60,51,52,50,58,44,43,61,49
92,11,3,12,19,4,10,2,9,18,1
94,48,47,40,39,32,23,24,15,16,31
104,11,27,3,19,20,10,2,9,1,12
106,21,29,13,5,30,22,23,24,15,16
110,49,57,25,26,27,50,58,41,17,18
113,29,33,21,41,37,35,34,36,28,18
149,35,36,28,27,19,20,53,29,11,43
152,23,24,32,15,16,7,31,8,40,63
157,18,17,26,19,10,25,9,2,1,11
161,17,18,25,9,1,26,10,2,19,11
187,12,4,3,10,2,9,1,11,13,5
217,44,52,51,45,36,59,50,58,37,46
255,43,35,44,36,42,45,37,34,41,28
261,23,24,63,64,32,15,16,7,8,31
269,49,57,33,34,35,50,58,17,61,18
283,35,51,49,57,27,59,43,50,58,33
298,28,41,44,20,52,42,21,12,43,36
305,25,26,27,33,34,35,17,18,28,36
306,17,18,25,28,9,1,26,10,2,27
336,54,61,53,62,60,52,55,59,51,45
340,50,58,42,43,49,57,51,34,35,59
352,15,16,23,24,7,8,13,32,5,14
358,9,1,10,2,11,17,18,3,12,25
375,30,29,38,22,21,28,14,36,6,18
390,23,48,24,32,15,16,7,8,31,47
396,9,10,1,2,11,3,12,18,4,17
397,53,54,56,55,61,41,62,45,29,63
401,61,51,59,44,60,43,52,62,54,53
419,35,36,44,43,51,52,34,42,28,59
424,63,64,56,62,61,55,54,50,53,58
429,33,34,17,18,41,25,9,26,1,10
450,29,21,30,22,23,32,24,15,16,28
454,55,56,48,47,63,64,40,39,54,46
467,27,28,26,19,20,25,11,35,18,3
474,37,35,34,42,29,36,45,21,41,43
478,41,49,57,42,50,58,43,33,34,52
483,49,57,50,58,41,51,42,59,43,33
488,34,18,17,36,26,19,25,10,9,1
493,14,6,15,16,23,24,7,8,32,22
528,59,52,61,51,53,60,50,58,43,62
534,21,30,29,13,37,5,22,40,23,15
552,20,21,12,4,13,28,5,29,19,3
560,62,61,54,63,64,59,56,53,49,57
562,13,21,5,37,22,36,29,14,6,30
563,21,30,45,37,40,43,22,32,23,39
586,41,25,26,27,33,49,57,42,17,18
598,43,42,35,59,44,41,36,28,60,49
599,33,34,35,51,18,36,17,28,59,49
600,3,10,2,9,1,12,4,11,18,17
604,19,11,18,3,17,12,27,26,4,20
607,28,20,21,12,4,18,36,29,17,3
621,3,12,4,11,19,10,20,2,27,9
663,15,16,7,8,23,24,32,21,40,31
665,48,47,40,32,23,24,39,15,16,31
673,31,23,24,32,15,16,39,7,8,22
680,13,18,5,21,17,19,20,27,10,26
694,3,21,12,4,11,28,14,6,13,5
707,11,3,12,27,26,4,19,10,25,9
712,15,16,7,8,23,24,32,31,21,40
723,27,29,13,33,5,26,21,19,20,25
754,21,13,5,14,6,29,30,22,37,23
760,56,30,63,64,40,37,55,54,21,53
766,62,63,64,61,50,58,59,54,60,45
795,54,56,61,62,55,63,46,64,53,30
797,13,5,12,14,21,4,6,28,3,29
799,17,18,25,9,26,1,10,2,19,33
801,36,20,44,43,12,13,4,28,5,52
809,45,46,37,43,38,22,35,21,14,36
813,60,52,59,61,49,51,57,53,44,50
834,49,52,57,42,59,17,18,44,36,28
837,36,28,44,43,27,19,20,41,29,11
845,28,20,3,19,27,21,12,11,4,18
846,28,10,9,1,2,20,12,4,11,18
851,41,42,43,33,49,57,34,35,46,30
