"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","OSR1","SP5L","TA","WNT11"
"","SNAI1A","CHD","BMP4","MIXL1","ADMP","NOTO","TBX16","BMP7A","FOXD5","CST3"
12,51,60,61,54,59,62,43,52,49,57
26,38,37,21,36,13,33,26,12,34,5
45,51,43,49,59,57,52,61,35,46,44
51,53,62,49,63,61,50,64,57,60,54
67,27,28,19,20,11,12,26,18,3,10
73,43,41,33,54,52,42,35,12,55,27
77,25,17,9,1,26,18,10,33,2,27
85,49,57,50,45,58,37,46,51,47,38
101,62,61,63,64,55,56,54,60,53,58
103,18,26,33,10,34,2,17,25,9,1
105,61,53,54,62,55,63,50,49,56,58
107,51,49,59,43,57,52,35,44,60,46
132,12,20,19,3,11,4,27,28,18,10
136,35,34,36,43,33,12,30,22,3,28
141,44,27,51,28,36,19,20,59,11,43
166,17,25,9,1,18,26,10,2,19,27
168,27,35,33,28,19,20,36,11,26,34
170,12,3,4,10,18,33,2,26,11,9
180,21,13,29,5,18,10,26,2,22,17
182,61,54,62,60,53,55,63,59,56,52
197,43,35,44,27,41,28,19,51,36,20
211,61,53,54,62,60,49,57,55,50,63
214,27,35,28,19,20,36,11,26,34,12
219,49,50,57,60,41,58,51,33,42,53
235,12,18,3,26,10,4,2,17,25,19
239,18,26,10,17,25,2,9,1,19,33
245,62,55,61,56,54,53,63,64,46,60
247,26,18,10,25,17,9,27,1,19,2
257,27,28,19,20,36,11,33,26,18,12
260,22,14,30,23,24,6,15,31,16,32
268,53,61,54,52,62,59,55,56,51,60
270,49,51,57,59,61,50,58,43,62,52
279,35,27,28,19,36,20,11,29,37,12
315,30,54,53,45,22,46,39,40,14,38
322,49,51,60,57,61,59,53,50,58,52
331,33,34,41,42,35,49,25,57,36,17
338,29,37,21,28,33,27,35,13,19,20
350,13,21,15,39,5,23,40,16,24,7
403,39,47,40,48,31,32,23,55,46,56
405,33,25,17,9,26,1,18,10,2,27
411,50,58,61,60,53,51,59,62,42,54
415,28,27,19,20,36,11,12,26,18,3
421,22,30,21,14,13,29,6,23,31,5
427,21,39,40,13,29,23,5,24,31,32
447,15,23,16,39,24,47,40,48,7,8
465,53,61,45,55,62,60,56,54,63,64
475,33,26,18,25,17,10,9,1,27,2
480,3,12,10,18,4,2,26,9,17,1
481,62,55,61,56,54,63,53,64,60,46
486,26,41,18,25,17,9,1,10,33,2
531,12,4,11,3,20,19,13,28,21,27
543,15,7,16,8,23,24,31,14,32,6
551,21,13,12,20,5,28,19,3,4,27
554,43,49,60,12,59,21,57,51,52,13
561,18,33,26,10,17,25,9,1,2,19
572,12,3,11,4,19,20,27,10,28,18
584,12,21,36,3,13,4,20,19,37,28
593,26,18,25,17,9,10,1,2,27,19
601,50,58,60,49,51,61,57,59,53,42
612,39,23,40,31,24,32,47,48,15,22
614,22,14,30,6,23,38,24,39,15,40
615,15,39,23,40,16,24,47,7,48,13
623,29,30,22,21,14,13,31,23,6,32
628,15,16,7,8,23,24,13,5,31,32
640,18,26,10,17,25,9,2,1,19,27
641,46,54,62,59,52,38,61,60,55,56
650,12,3,19,20,4,27,28,11,49,22
656,51,59,61,43,49,52,57,44,60,35
664,26,25,17,18,9,1,33,10,2,27
675,23,24,39,31,40,15,32,22,16,30
684,23,39,31,40,24,32,15,22,16,30
691,61,55,56,54,63,53,60,50,62,64
695,29,27,21,28,19,20,13,30,5,11
709,14,22,6,49,57,30,35,33,34,12
716,18,10,26,2,17,9,25,1,12,3
722,21,13,29,23,24,5,31,15,32,16
733,22,30,14,23,24,31,6,32,15,16
748,43,51,35,42,50,52,21,58,45,44
769,15,16,23,7,24,8,31,14,32,22
772,33,26,34,18,25,17,9,1,10,41
779,43,51,49,35,44,53,57,42,36,50
829,33,26,41,34,18,25,17,9,10,1
832,38,29,39,47,30,40,48,22,46,31
842,62,61,54,60,59,55,56,53,63,51
