"","EVE1","SOX3","VED","BAMBIA","VOX","HES6","WNT11","SP5L","OSR1","MIXL1"
"","SNAI1A","ADMP","FOXD5","BMP4","TA","CHD","NOTO","BMP7A","TBX16","CST3"
"","AXIN2","NDR2","WNT8A","CDX4","SZL","VENT","APLNRB","LHX1A","FOXD3","OTX1A"
"","GATA5","SEBOX","GATA2A","FOXI1","HER1","FOXB1A","FGF8A","BMP2B","OTX1B","ID3"
6,63,40,64,23,48,24,56,15,16,32
13,13,5,31,14,6,21,22,23,15,24
18,28,20,12,49,57,4,52,36,44,18
61,40,15,16,56,23,24,7,8,32,39
70,42,41,34,35,43,18,17,28,36,33
80,40,23,24,48,15,16,32,7,8,39
81,55,63,64,56,62,61,54,59,53,51
144,51,44,60,36,28,59,48,49,57,27
154,59,50,58,52,34,60,61,51,42,43
169,33,17,18,12,26,4,25,9,1,10
178,59,60,52,51,61,53,54,44,50,58
185,28,27,19,20,43,11,3,12,35,41
186,35,28,36,21,3,12,19,4,20,27
190,22,14,30,6,21,42,13,5,35,41
196,15,16,7,8,23,24,32,31,40,39
207,28,36,12,20,4,19,3,30,18,17
212,19,28,11,36,18,17,27,26,3,20
220,49,59,57,50,58,61,54,56,51,60
240,52,61,49,57,53,59,60,50,58,62
241,15,40,16,7,8,23,24,32,39,31
244,49,57,34,35,42,50,36,58,43,33
266,19,11,28,18,17,3,33,12,27,26
273,3,12,4,10,2,9,1,11,13,5
274,29,21,37,30,13,38,5,22,61,45
285,29,21,37,13,45,5,30,38,22,28
299,42,34,35,41,36,43,49,57,33,59
303,33,13,32,5,23,24,15,16,18,7
304,59,58,50,51,57,49,43,61,60,52
309,15,16,23,24,7,8,32,31,40,21
314,12,4,3,11,13,28,5,19,20,10
316,15,16,23,24,7,8,32,31,40,39
323,28,27,19,20,11,29,18,3,36,17
339,17,18,25,28,9,26,1,10,2,19
351,17,18,28,25,36,9,26,1,10,2
357,33,41,34,35,17,18,36,25,28,26
359,17,18,36,25,28,26,9,1,10,27
362,30,22,14,21,6,23,24,32,15,16
365,17,18,36,25,28,26,9,1,10,27
370,59,43,51,52,62,50,58,35,42,29
382,17,18,36,25,28,26,9,1,10,27
393,33,34,35,41,17,18,28,25,36,9
404,49,57,59,60,50,58,52,62,54,63
455,34,33,37,35,29,45,18,21,17,36
466,50,58,49,57,61,59,53,51,42,62
472,30,22,46,14,29,6,48,56,32,23
479,18,17,19,3,26,10,2,25,9,21
485,63,64,56,55,62,54,61,46,60,30
500,54,53,56,55,62,61,35,63,34,64
511,23,24,32,15,16,7,8,31,48,29
516,49,43,57,53,51,50,58,42,59,35
521,27,19,20,11,28,3,18,36,17,12
523,59,60,51,50,58,52,61,49,53,57
527,49,57,34,50,58,33,35,51,17,18
536,61,63,64,53,62,56,52,59,45,55
537,31,13,5,21,15,16,23,24,7,8
558,33,34,35,41,17,18,36,25,28,9
566,21,29,13,5,22,14,6,30,15,16
583,21,29,13,5,15,23,16,24,7,8
596,43,44,51,60,52,50,58,42,59,35
608,18,17,28,36,29,26,30,27,25,19
613,51,49,57,59,50,43,58,41,35,42
631,13,21,5,49,18,57,17,29,33,19
647,63,15,64,48,16,56,23,24,7,8
654,9,1,10,34,2,18,11,17,33,26
682,43,35,41,51,44,36,28,60,27,19
687,13,5,12,21,4,14,6,37,30,3
690,15,40,16,7,8,23,24,32,39,31
705,59,60,61,51,52,62,53,54,50,58
718,30,22,21,40,23,24,32,15,39,16
735,19,11,18,17,27,3,26,20,10,25
740,15,16,7,8,23,24,32,13,31,5
745,21,29,13,30,5,22,14,6,28,3
752,12,4,3,10,2,9,11,1,18,19
753,36,59,44,43,60,52,35,53,45,51
755,45,53,47,31,43,54,46,55,44,61
757,49,57,43,51,50,58,42,59,34,35
758,33,34,35,17,18,36,25,28,9,1
759,47,60,55,61,54,39,48,53,46,49
782,63,56,64,55,48,54,47,62,40,32
788,39,28,3,18,17,31,21,27,12,26
798,63,64,56,50,55,58,49,57,42,62
805,39,40,31,47,38,45,23,48,46,24
812,30,35,21,43,22,37,36,14,29,6
828,51,50,58,43,59,49,35,57,42,44
841,15,16,7,8,23,24,32,31,21,29
