"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","SP5L","OSR1","WNT11","TA"
"","SNAI1A","MIXL1","BMP4","NOTO","CHD","ADMP","TBX16","FOXD5","CST3","BMP7A"
3,60,61,54,52,62,59,55,56,53,51
4,16,15,8,39,7,40,24,23,31,14
16,33,34,26,25,36,17,18,9,1,10
23,26,18,29,25,17,9,1,10,2,37
34,17,18,9,10,25,1,26,2,33,19
38,22,30,14,21,39,38,6,40,13,23
44,45,53,61,37,29,46,54,62,21,47
56,18,26,10,17,25,9,1,2,19,27
64,12,19,27,3,20,28,4,11,18,26
82,34,33,41,30,42,35,22,14,49,39
108,22,30,21,14,13,23,6,24,31,5
111,52,59,51,60,50,49,43,57,58,61
114,42,41,49,34,33,57,43,54,35,46
126,25,17,9,1,26,18,10,33,2,27
131,51,59,49,50,57,52,58,43,60,44
138,61,54,62,55,56,53,46,63,47,64
163,33,41,25,17,9,34,1,26,18,10
164,15,16,39,40,23,7,24,47,8,48
165,44,27,28,36,19,20,43,11,26,41
174,49,59,57,25,26,17,61,9,1,18
201,18,26,17,25,10,9,1,33,2,19
204,22,30,14,21,13,23,6,24,5,31
205,12,3,11,19,4,20,27,10,28,18
213,53,54,41,55,33,42,56,34,63,43
222,47,46,48,62,61,55,56,63,54,64
232,44,36,43,49,51,45,35,57,60,27
252,23,15,24,16,31,32,7,8,22,14
265,46,54,61,62,55,56,60,38,53,63
275,41,60,54,33,61,53,49,42,55,57
282,26,18,25,17,10,9,1,27,2,19
286,33,25,26,17,18,9,1,10,2,27
288,34,49,33,57,35,42,41,25,36,50
293,33,26,18,25,29,17,10,9,1,2
294,60,59,62,54,49,52,61,57,55,50
297,26,18,10,25,17,9,2,1,12,27
329,30,22,21,33,14,13,38,6,26,18
341,23,24,15,16,31,32,7,22,8,14
342,50,58,51,42,59,43,34,52,49,60
345,51,60,59,43,52,49,44,57,35,27
356,15,16,23,39,24,47,40,48,7,8
373,18,26,10,2,17,25,9,12,1,3
384,41,26,25,17,18,9,1,33,44,10
389,23,24,15,16,31,32,7,8,22,29
398,27,28,19,20,36,11,26,12,18,3
418,41,12,43,27,3,28,33,4,35,19
420,30,22,49,33,26,57,14,18,34,10
426,51,44,27,28,59,50,58,19,36,20
432,33,26,34,18,25,38,17,9,10,1
433,43,35,44,42,36,34,41,51,27,52
441,60,59,50,52,58,51,61,53,44,62
449,47,46,48,39,40,38,51,49,57,31
451,49,57,34,50,33,58,35,42,51,36
463,33,41,25,17,34,26,9,18,1,10
464,60,59,52,54,62,51,61,53,55,63
482,61,62,54,60,55,63,56,53,64,59
505,43,35,27,28,41,44,19,20,36,51
519,61,53,62,54,60,59,45,55,63,51
529,60,59,49,61,57,52,53,50,58,62
547,15,16,23,7,24,8,31,10,32,18
548,49,57,34,50,58,33,35,42,51,36
569,35,52,37,49,59,33,36,57,34,51
579,26,34,33,18,10,25,17,9,27,35
592,43,51,44,35,49,36,42,57,50,59
603,60,49,59,57,50,58,52,62,51,61
632,46,47,38,54,48,45,30,22,29,39
638,22,30,14,54,61,53,6,39,46,40
653,49,57,41,60,50,58,33,42,51,34
659,50,51,58,62,42,49,57,59,63,43
661,22,14,30,23,24,6,15,16,31,32
669,21,30,13,22,29,14,5,37,31,23
702,25,17,9,1,26,18,10,2,27,19
703,7,8,15,16,23,24,31,6,32,14
719,23,39,24,40,15,16,31,47,32,48
727,33,25,17,26,9,18,1,10,41,2
732,30,22,45,39,46,40,38,14,37,47
746,17,25,9,1,18,26,10,2,19,27
750,26,18,25,17,9,10,1,49,2,57
751,12,3,4,11,19,20,13,27,21,28
764,12,4,11,3,20,19,27,28,10,35
765,54,62,46,30,59,22,61,55,14,6
784,51,60,59,49,43,57,52,50,61,53
820,22,14,30,23,24,6,15,31,16,32
822,36,34,26,49,18,57,25,17,10,35
827,29,49,57,21,59,62,26,45,13,52
848,20,29,39,19,33,40,11,28,27,23
850,33,25,17,34,9,26,1,18,41,10
