"","EVE1","SOX3","BAMBIA","VED","HES6","VOX","SP5L","OSR1","WNT11","TA"
"","CHD","SNAI1A","BMP4","NOTO","MIXL1","FOXD5","TBX16","ADMP","WNT8A","BMP7A"
"","AXIN2","CST3","VENT","CDX4","NDR2","SZL","LHX1A","FOXD3","APLNRB","OTX1A"
"","SEBOX","GATA5","FOXI1","GATA2A","FGF8A","FOXB1A","ID3","BMP2B","OTX1B","HER1"
14,23,40,24,15,16,32,7,8,39,31
15,54,61,56,53,55,62,60,63,59,64
21,62,54,63,64,56,55,61,53,17,18
39,50,58,59,49,52,57,51,61,53,42
42,10,2,9,1,11,3,18,17,12,19
57,18,17,28,3,10,19,26,2,27,20
62,41,18,17,28,26,36,25,9,10,1
66,36,17,18,26,27,25,9,1,19,10
68,45,37,48,47,40,39,32,23,24,15
99,20,28,36,27,19,12,11,37,4,18
109,28,36,20,29,18,44,17,21,12,27
129,13,41,21,5,22,33,14,6,35,34
140,44,60,52,51,53,59,43,61,41,54
142,33,34,41,17,18,25,26,9,1,10
147,59,60,51,52,61,62,54,53,44,55
171,17,18,28,25,36,9,1,26,10,2
175,53,54,43,63,64,52,56,35,55,36
188,61,60,52,62,53,59,54,55,51,63
189,51,60,59,52,44,61,43,49,57,62
192,21,29,30,22,13,5,14,6,28,37
228,29,21,37,13,45,5,30,38,36,22
237,34,35,36,49,57,33,42,59,50,30
243,13,5,21,29,22,14,6,30,37,20
249,49,57,59,60,50,58,52,51,42,62
250,15,16,23,24,7,8,32,31,40,14
253,41,44,36,28,20,42,61,49,57,43
256,59,61,53,51,50,58,62,60,49,57
281,41,33,42,34,35,43,25,26,27,17
300,59,60,51,52,62,61,53,54,63,64
307,30,22,21,14,32,6,23,24,15,16
311,18,17,26,19,10,25,9,1,2,33
312,15,40,16,23,24,7,8,32,39,31
324,18,17,26,28,25,9,10,1,27,19
332,21,13,29,5,28,20,12,22,4,37
353,22,14,30,32,6,23,24,15,16,21
355,33,26,25,27,41,17,18,9,1,10
364,49,57,50,58,60,51,42,59,43,52
379,39,47,31,40,48,32,23,24,15,16
387,28,18,17,26,27,25,9,19,1,20
428,48,47,40,30,46,39,32,23,24,15
431,36,35,28,44,37,43,27,19,20,11
436,43,41,54,42,59,53,35,56,50,61
439,49,57,17,44,18,36,25,28,26,9
448,14,30,6,21,22,29,3,13,28,5
457,42,41,43,44,36,9,1,10,2,34
487,36,52,44,28,20,51,59,43,12,4
492,35,36,43,34,42,44,28,37,27,19
502,26,25,27,33,63,41,34,64,35,30
503,21,30,50,35,58,34,22,29,42,3
512,9,1,10,2,11,17,18,3,33,25
517,59,49,57,60,51,61,52,63,50,64
542,21,13,45,5,37,29,22,14,53,6
557,49,57,50,58,42,59,41,43,51,34
567,29,41,18,17,13,21,30,5,27,20
568,14,22,6,13,5,30,21,29,31,12
581,40,23,48,24,56,32,15,16,39,7
585,32,23,24,15,16,31,7,48,8,56
589,49,57,50,58,41,51,42,61,59,43
597,10,2,9,1,12,4,11,18,17,3
606,49,57,51,59,27,50,58,43,41,35
609,9,1,10,2,17,11,18,26,3,25
611,28,20,21,12,29,4,27,3,19,13
634,44,60,61,53,52,59,36,45,28,43
655,63,64,56,55,62,61,54,53,50,58
670,35,33,34,29,40,30,28,41,36,18
674,15,7,16,8,23,24,32,31,40,39
676,15,16,7,8,23,24,32,31,63,64
678,47,51,46,43,48,39,38,45,42,59
688,21,29,41,13,5,30,45,37,22,40
714,59,43,49,52,57,51,35,53,42,44
725,59,51,61,60,52,62,49,57,63,53
728,21,29,13,5,30,41,28,18,17,3
729,28,36,27,19,20,35,43,11,44,18
731,3,13,5,12,4,10,2,9,11,1
763,21,30,22,29,14,13,6,5,42,37
774,61,52,62,53,59,54,63,64,56,60
778,21,29,13,5,12,4,3,28,37,11
783,28,27,19,20,36,11,18,17,3,12
796,45,37,44,36,29,52,43,59,21,49
800,60,49,57,50,58,61,17,44,18,36
802,15,23,16,24,7,8,32,31,21,22
815,15,16,23,24,7,8,32,31,21,22
819,15,16,7,8,23,24,32,31,22,14
821,21,29,13,5,23,24,15,16,32,7
833,43,42,35,41,28,36,44,3,12,27
