"","EVE1","SOX3","VED","BAMBIA","VOX","HES6","OSR1","SP5L","TA","WNT11"
"","ADMP","MIXL1","CHD","SNAI1A","BMP4","TBX16","NOTO","FOXD5","BMP7A","AXIN2"
"","CST3","WNT8A","SZL","CDX4","NDR2","VENT","SEBOX","APLNRB","LHX1A","FOXD3"
"","OTX1A","GATA5","GATA2A","FOXI1","BMP2B","ID3","FGF8A","HER1","OTX1B","FOXB1A"
11,35,41,43,27,33,34,42,36,28,26
17,3,11,12,14,21,4,6,30,19,10
19,17,18,25,9,1,26,10,2,19,11
22,17,18,25,9,26,1,10,2,27,19
27,30,22,14,21,6,23,24,32,15,16
29,9,10,1,2,11,18,17,3,25,26
46,49,57,34,35,42,36,50,58,43,33
52,50,58,59,49,57,51,42,34,35,43
59,17,18,28,25,36,26,9,1,10,2
60,49,57,17,18,36,44,28,50,58,25
65,59,52,41,51,44,60,61,42,54,49
71,41,42,43,33,34,35,44,17,36,18
93,36,52,35,43,59,28,44,60,21,61
96,15,16,23,24,7,8,32,31,21,22
100,54,56,55,53,61,46,41,30,29,38
116,49,57,50,58,51,34,35,42,59,43
134,34,35,49,57,42,36,50,43,58,33
135,30,22,14,21,6,23,24,32,15,16
148,30,22,14,41,6,42,35,21,34,43
151,63,48,64,56,47,40,39,55,32,23
176,35,27,33,34,41,28,36,43,26,19
177,36,44,42,52,41,43,28,49,57,12
191,21,30,22,29,14,6,13,5,37,23
193,63,56,64,55,54,62,48,47,61,40
195,33,18,17,26,25,9,27,1,10,19
221,30,23,24,15,16,32,7,22,8,31
223,17,18,28,41,36,25,9,1,26,10
231,51,60,59,43,49,57,52,35,50,58
234,53,52,61,54,59,60,55,62,63,64
238,36,21,12,14,4,28,6,30,44,13
264,50,58,59,49,57,51,34,35,42,36
272,43,35,41,42,27,34,49,57,36,28
278,34,35,42,36,43,41,33,37,18,17
287,36,35,34,28,18,17,3,33,42,27
292,53,54,56,41,55,42,61,43,33,34
317,7,15,8,16,23,24,32,31,40,22
330,21,30,22,29,14,46,6,13,28,36
335,53,45,61,54,60,59,62,55,51,37
343,59,52,44,60,36,61,51,53,43,45
348,28,27,19,20,52,51,35,11,29,3
349,28,51,60,27,19,20,59,43,11,3
380,17,18,25,26,9,1,10,2,19,11
399,10,9,1,2,11,18,17,28,3,26
408,18,17,28,26,27,25,10,19,9,1
434,49,57,52,53,44,61,36,28,50,58
468,3,12,4,11,19,10,2,9,1,18
473,41,21,33,34,35,13,29,5,3,42
491,21,29,13,30,5,22,23,24,32,15
499,35,36,33,38,27,19,20,34,54,43
525,44,50,58,52,60,36,61,49,57,45
530,63,40,64,55,48,39,56,47,23,54
532,3,11,12,4,13,5,19,10,2,9
535,39,31,15,40,16,23,24,7,8,32
539,21,29,28,30,13,37,5,27,3,19
550,15,31,16,23,24,7,8,32,39,40
564,15,16,23,24,7,8,32,31,22,14
575,18,17,26,25,9,1,10,2,19,33
588,63,64,56,62,55,61,54,32,23,24
591,15,16,23,24,7,8,32,31,63,64
635,43,41,49,57,51,35,42,59,50,27
636,51,35,61,53,59,36,63,50,64,58
645,7,15,8,16,23,24,32,31,40,48
671,22,15,23,16,24,7,8,14,32,6
672,28,3,21,12,19,4,20,27,11,29
685,33,41,52,34,35,17,18,36,25,28
696,51,62,61,60,59,55,54,63,64,50
708,15,23,16,24,7,8,32,31,40,48
720,49,57,51,50,58,59,43,52,35,44
721,18,17,26,25,9,1,10,19,2,11
737,43,27,19,20,35,42,11,36,44,3
738,21,30,29,22,14,6,13,5,37,28
747,63,64,56,55,62,61,54,48,32,23
768,15,40,16,7,8,23,24,32,39,31
777,7,8,15,16,23,24,32,31,48,40
785,21,28,29,20,12,4,13,5,18,37
803,26,25,12,18,17,4,28,41,27,19
804,22,21,14,30,6,29,23,24,15,32
806,63,64,56,55,48,47,54,40,62,39
807,21,13,28,5,29,20,3,19,27,22
808,22,14,13,6,21,5,30,23,32,24
817,61,60,59,51,53,62,52,55,54,63
826,41,48,47,42,40,29,39,32,23,24
836,15,16,23,7,24,8,13,32,5,31
840,21,13,5,37,29,22,45,36,14,23
844,28,20,12,11,4,36,3,19,27,52
847,15,16,23,24,7,8,32,30,31,40
