"","EVE1","SOX3","VED","BAMBIA","HES6","VOX","WNT11","TA","OSR1","SP5L"
"","MIXL1","BMP4","SNAI1A","NOTO","CHD","ADMP","TBX16","FOXD5","BMP7A","CST3"
"","AXIN2","WNT8A","APLNRB","SZL","VENT","CDX4","NDR2","SEBOX","FOXD3","LHX1A"
"","OTX1A","GATA5","GATA2A","BMP2B","FOXI1","ID3","FOXB1A","FGF8A","HER1","OTX1B"
2,27,26,19,25,11,18,3,17,12,20
8,10,2,9,1,3,18,17,11,12,19
31,30,29,38,22,21,14,33,37,6,40
32,17,18,28,25,36,9,26,1,10,2
43,17,18,25,28,26,9,1,10,2,19
48,29,45,37,21,36,28,44,30,42,22
74,21,13,22,5,14,29,6,23,24,15
76,49,57,42,17,44,18,36,50,28,58
78,15,16,23,24,7,8,32,31,48,22
88,49,57,42,43,50,58,34,35,41,17
98,54,38,56,63,30,55,64,46,36,62
112,34,35,33,26,25,27,42,41,43,17
117,59,60,51,52,49,35,57,44,36,50
118,30,38,22,21,45,14,39,37,6,36
124,49,57,36,50,58,34,35,51,17,37
127,41,18,17,28,33,26,25,10,9,27
150,42,36,44,43,41,34,35,45,37,17
153,59,50,58,51,61,49,57,53,60,52
181,16,15,8,7,24,23,32,31,40,39
198,30,22,21,14,29,6,13,32,5,23
208,21,13,5,29,23,24,15,32,16,7
215,61,62,60,51,53,59,54,45,52,46
218,49,57,51,59,50,28,58,27,43,20
224,33,42,41,34,35,43,18,17,36,26
276,31,22,32,39,23,24,15,16,7,47
280,49,57,60,59,50,58,52,61,51,53
290,28,36,20,21,12,29,4,27,3,19
296,51,60,59,49,57,61,43,63,52,64
313,10,9,2,1,12,11,4,18,17,33
327,18,17,28,26,36,25,9,10,1,27
328,33,17,18,25,9,1,26,10,2,27
354,17,18,28,41,25,26,9,1,10,27
369,13,11,5,14,29,6,28,3,21,12
374,34,35,42,59,41,43,49,57,33,51
378,61,62,54,63,64,53,56,59,60,55
381,51,59,50,58,60,52,49,57,43,44
386,61,62,59,54,51,58,50,55,53,63
416,61,60,49,57,51,62,53,59,50,54
423,21,29,13,5,37,30,22,28,45,18
425,62,59,61,53,60,54,52,55,51,63
437,28,36,18,27,17,26,19,20,10,25
440,49,57,18,17,26,25,27,9,10,1
442,41,42,59,43,33,52,49,57,34,35
443,33,41,34,35,17,18,36,25,28,26
453,18,17,26,25,10,9,1,19,2,33
470,15,16,7,23,8,24,32,31,40,21
494,61,46,62,30,29,38,54,45,22,63
507,59,50,58,51,61,49,57,53,43,60
509,43,35,41,51,44,36,28,27,19,20
514,22,14,13,6,21,45,5,30,37,32
524,35,52,51,28,36,44,27,19,59,20
526,42,41,34,35,43,18,29,17,28,36
544,15,16,23,7,24,8,32,14,31,6
559,59,51,61,52,49,57,53,60,50,58
565,41,49,57,42,59,50,58,43,33,52
570,10,9,1,2,11,18,17,28,29,3
571,15,40,16,7,8,23,24,32,39,31
573,21,30,29,22,45,13,5,37,14,46
574,18,17,28,36,41,26,27,25,19,10
577,42,41,17,18,36,44,43,49,57,26
578,36,34,35,18,17,28,33,26,27,25
582,22,14,6,30,21,13,5,23,15,24
595,16,15,7,8,23,24,32,48,40,31
620,17,18,41,28,25,9,1,26,10,2
624,59,50,58,52,60,51,42,43,49,57
625,9,36,1,10,2,49,57,52,11,34
629,40,56,23,24,55,15,16,32,7,39
637,35,36,43,49,51,57,34,42,3,59
643,21,13,29,5,22,20,37,19,12,4
644,40,24,23,48,16,15,32,7,8,39
651,63,64,56,62,55,61,54,53,46,38
652,21,28,18,36,29,17,19,3,20,27
660,21,13,29,5,30,20,22,12,4,14
668,16,15,23,24,7,8,32,31,40,39
713,49,57,50,58,41,51,61,42,53,59
743,37,21,29,35,45,34,13,5,50,36
767,23,40,24,15,16,32,7,8,39,31
771,49,57,51,48,47,59,40,46,30,50
780,17,18,28,41,36,25,9,26,1,10
789,21,29,13,30,5,27,22,37,35,14
790,15,7,16,8,23,24,32,31,22,40
791,59,60,62,61,52,53,51,49,57,54
811,46,30,38,22,14,51,48,6,27,47
824,52,60,59,51,61,44,53,62,45,54
838,21,30,29,22,23,24,15,16,32,7
