,TA,SOX3,WNT8A,BAMBIA,FOXD5,AXIN2,OTX1A,HER1,CHD,EVE1
,GATA2A,LHX1A,BMP4,SP5L,CST3,VOX,HES6,GATA5,BMP7A,LFT2
10,51,52,59,43,50,53,42,58,60,44
30,27,28,19,35,26,29,18,34,20,36
37,43,44,35,51,42,45,50,34,36,52
40,37,38,36,39,40,45,29,35,44,28
41,6,5,7,8,4,14,13,15,16,12
47,6,5,7,8,4,14,13,15,16,12
50,48,47,46,45,40,56,39,55,38,54
79,6,5,7,8,4,14,13,15,16,12
97,25,33,17,9,41,49,1,57,26,18
123,36,37,35,38,44,28,39,43,27,45
137,42,50,34,43,41,51,35,49,33,58
156,43,44,35,51,42,45,50,34,36,52
160,44,45,43,46,36,52,47,35,51,37
167,6,5,7,8,4,14,13,15,16,12
173,7,8,6,5,4,15,14,16,13,12
183,7,8,6,5,4,15,14,16,13,12
184,41,49,33,57,25,17,9,1,42,34
199,47,48,46,45,44,39,55,54,38,56
202,43,44,35,51,42,45,50,34,36,52
203,7,8,6,5,4,15,14,16,13,12
210,36,37,35,38,44,28,39,43,27,45
225,36,37,35,38,44,28,39,43,27,45
229,27,28,19,35,26,29,18,34,20,36
230,20,21,19,22,28,12,23,27,11,29
233,6,5,7,8,4,14,13,15,16,12
248,20,21,19,22,28,12,23,27,11,29
262,20,21,19,22,28,12,23,27,11,29
263,38,37,39,40,36,30,46,29,45,31
271,41,49,33,57,25,17,9,1,42,34
289,27,28,19,35,26,29,18,34,20,36
308,46,45,47,48,44,38,54,37,53,39
320,28,29,27,30,20,36,31,19,35,21
321,36,37,35,38,44,28,39,43,27,45
326,36,37,35,38,44,28,39,43,27,45
334,8,7,6,5,16,15,14,4,13,12
347,43,44,35,51,42,45,50,34,36,52
361,8,7,6,5,16,15,14,4,13,12
388,36,37,35,38,44,28,39,43,27,45
406,42,50,34,43,41,51,35,49,33,58
410,36,37,35,38,44,28,39,43,27,45
417,51,52,59,43,50,53,42,58,60,44
422,46,45,47,48,44,38,54,37,53,39
444,7,8,6,5,4,15,14,16,13,12
445,27,28,19,35,26,29,18,34,20,36
446,8,7,6,5,16,15,14,4,13,12
458,51,52,59,43,50,53,42,58,60,44
460,51,52,59,43,50,53,42,58,60,44
469,36,37,35,38,44,28,39,43,27,45
498,35,36,43,27,34,37,26,42,44,28
501,35,36,43,27,34,37,26,42,44,28
508,41,49,33,57,25,17,9,1,42,34
515,27,28,19,35,26,29,18,34,20,36
520,1,9,17,25,33,41,49,57,2,10
522,34,26,42,35,33,43,27,41,25,50
538,7,8,6,5,4,15,14,16,13,12
540,51,52,59,43,50,53,42,58,60,44
555,8,7,6,5,16,15,14,4,13,12
556,41,49,33,57,25,17,9,1,42,34
576,36,37,35,38,44,28,39,43,27,45
605,8,7,6,5,16,15,14,4,13,12
616,8,7,6,5,16,15,14,4,13,12
619,45,46,44,47,48,37,53,43,36,52
622,8,7,6,5,16,15,14,4,13,12
626,7,8,6,5,4,15,14,16,13,12
639,33,41,25,49,17,57,9,1,34,42
657,51,52,59,43,50,53,42,58,60,44
658,53,54,52,55,56,61,45,51,60,44
662,51,52,59,43,50,53,42,58,60,44
666,28,29,27,30,20,36,31,19,35,21
686,48,47,46,45,40,56,39,55,38,54
699,8,7,6,5,16,15,14,4,13,12
706,64,63,62,61,56,55,54,60,53,52
711,8,7,6,5,16,15,14,4,13,12
717,33,41,25,49,17,57,9,1,34,42
762,43,44,35,51,42,45,50,34,36,52
773,7,8,6,5,4,15,14,16,13,12
775,8,7,6,5,16,15,14,4,13,12
776,29,30,28,31,32,21,37,27,20,36
786,21,22,20,23,24,29,13,19,28,12
787,28,29,27,30,20,36,31,19,35,21
792,44,45,43,46,36,52,47,35,51,37
794,41,49,33,57,25,17,9,1,42,34
810,7,8,6,5,4,15,14,16,13,12
816,33,41,25,49,17,57,9,1,34,42
825,8,7,6,5,16,15,14,4,13,12
830,21,22,20,23,24,29,13,19,28,12
