,TA,SOX3,CST3,BAMBIA,FOXD5,NDR2,AXIN2,CHD,OTX1A,BMP4
,EVE1,HER1,WNT8A,GATA2A,VOX,SP5L,VENT,HES6,NDR1,FGF8A
5,7,8,6,5,4,15,14,16,13,12
7,7,8,6,5,4,15,14,16,13,12
20,36,37,35,38,44,28,39,43,27,45
35,6,5,7,8,4,14,13,15,16,12
36,20,21,19,22,28,12,23,27,11,29
49,20,21,19,22,28,12,23,27,11,29
53,6,5,7,8,4,14,13,15,16,12
63,7,8,6,5,4,15,14,16,13,12
72,63,64,62,61,60,55,54,56,53,52
89,1,9,17,25,33,41,49,57,2,10
102,7,8,6,5,4,15,14,16,13,12
115,35,36,43,27,34,37,26,42,44,28
120,33,41,25,49,17,57,9,1,34,42
121,7,8,6,5,4,15,14,16,13,12
125,27,28,19,35,26,29,18,34,20,36
128,11,12,3,19,10,13,18,2,4,20
130,34,26,42,35,33,43,27,41,25,50
139,7,8,6,5,4,15,14,16,13,12
145,43,44,35,51,42,45,50,34,36,52
146,34,26,42,35,33,43,27,41,25,50
158,38,37,39,40,36,30,46,29,45,31
159,7,8,6,5,4,15,14,16,13,12
172,41,49,33,57,25,17,9,1,42,34
194,27,28,19,35,26,29,18,34,20,36
226,11,12,3,19,10,13,18,2,4,20
227,7,8,6,5,4,15,14,16,13,12
242,43,44,35,51,42,45,50,34,36,52
258,7,8,6,5,4,15,14,16,13,12
277,43,44,35,51,42,45,50,34,36,52
291,51,52,59,43,50,53,42,58,60,44
301,38,37,39,40,36,30,46,29,45,31
319,46,45,47,48,44,38,54,37,53,39
333,27,28,19,35,26,29,18,34,20,36
337,45,46,44,47,48,37,53,43,36,52
344,7,8,6,5,4,15,14,16,13,12
360,25,33,17,9,41,49,1,57,26,18
366,33,41,25,49,17,57,9,1,34,42
368,46,45,47,48,44,38,54,37,53,39
371,51,52,59,43,50,53,42,58,60,44
372,42,50,34,43,41,51,35,49,33,58
376,27,28,19,35,26,29,18,34,20,36
383,34,26,42,35,33,43,27,41,25,50
394,25,33,17,9,41,49,1,57,26,18
395,35,36,43,27,34,37,26,42,44,28
400,34,26,42,35,33,43,27,41,25,50
409,7,8,6,5,4,15,14,16,13,12
414,7,8,6,5,4,15,14,16,13,12
435,43,44,35,51,42,45,50,34,36,52
438,41,49,33,57,25,17,9,1,42,34
452,45,46,44,47,48,37,53,43,36,52
456,7,8,6,5,4,15,14,16,13,12
459,35,36,43,27,34,37,26,42,44,28
471,6,5,7,8,4,14,13,15,16,12
484,55,56,54,53,52,47,63,46,62,64
495,41,49,33,57,25,17,9,1,42,34
497,27,28,19,35,26,29,18,34,20,36
504,41,49,33,57,25,17,9,1,42,34
506,27,28,19,35,26,29,18,34,20,36
510,7,8,6,5,4,15,14,16,13,12
549,5,6,4,7,8,13,3,12,14,15
594,20,21,19,22,28,12,23,27,11,29
610,7,8,6,5,4,15,14,16,13,12
618,21,22,20,23,24,29,13,19,28,12
627,20,21,19,22,28,12,23,27,11,29
633,7,8,6,5,4,15,14,16,13,12
649,41,49,33,57,25,17,9,1,42,34
667,7,8,6,5,4,15,14,16,13,12
679,21,22,20,23,24,29,13,19,28,12
681,21,22,20,23,24,29,13,19,28,12
683,20,21,19,22,28,12,23,27,11,29
689,7,8,6,5,4,15,14,16,13,12
700,7,8,6,5,4,15,14,16,13,12
715,7,8,6,5,4,15,14,16,13,12
724,33,41,25,49,17,57,9,1,34,42
742,1,9,17,25,33,41,49,57,2,10
744,46,45,47,48,44,38,54,37,53,39
749,20,21,19,22,28,12,23,27,11,29
781,5,6,4,7,8,13,3,12,14,15
793,51,52,59,43,50,53,42,58,60,44
814,6,5,7,8,4,14,13,15,16,12
818,7,8,6,5,4,15,14,16,13,12
823,28,29,27,30,20,36,31,19,35,21
831,35,36,43,27,34,37,26,42,44,28
843,7,8,6,5,4,15,14,16,13,12
849,51,52,59,43,50,53,42,58,60,44
