,WNT8A,SOX3,AXIN2,FOXD5,BAMBIA,TA,CHD,NDR1,OTX1A,EVE1
,GATA2A,LHX1A,CST3,BMP4,BMP7A,VOX,SP5L,HES6,HER1,VENT
,FOXB1A,GATA5,LFT2,SZL,OSR1,NOTO,OTX1B,FGF8A,GSC,MIXL1
,FOXI1,WNT11,ADMP,BMP2B,CDX4,TPH1B,NDR2,SNAI1A,TBX16,SEBOX
2,19,20,27,11,18,21,10,26,28,12
8,17,9,25,1,33,41,49,57,18,10
31,17,9,25,1,33,41,49,57,18,10
32,35,36,43,27,34,37,26,42,44,28
43,35,36,43,27,34,37,26,42,44,28
48,46,45,47,48,44,38,54,37,53,39
74,22,21,23,24,20,30,14,29,13,31
76,27,28,19,35,26,29,18,34,20,36
78,8,7,6,5,16,15,14,4,13,12
88,34,26,42,35,33,43,27,41,25,50
98,30,29,31,32,28,38,22,21,37,39
112,11,12,3,19,10,13,18,2,4,20
117,35,36,43,27,34,37,26,42,44,28
118,21,22,20,23,24,29,13,19,28,12
124,17,9,25,1,33,41,49,57,18,10
127,28,29,27,30,20,36,31,19,35,21
150,51,52,59,43,50,53,42,58,60,44
153,61,62,60,63,64,53,59,52,54,55
181,8,7,6,5,16,15,14,4,13,12
198,30,29,31,32,28,38,22,21,37,39
208,22,21,23,24,20,30,14,29,13,31
215,51,52,59,43,50,53,42,58,60,44
218,51,52,59,43,50,53,42,58,60,44
224,30,29,31,32,28,38,22,21,37,39
276,47,48,46,45,44,39,55,54,38,56
280,59,60,51,58,61,50,52,62,53,42
290,30,29,31,32,28,38,22,21,37,39
296,35,36,43,27,34,37,26,42,44,28
313,4,5,3,6,12,7,11,13,14,8
327,53,54,52,55,56,61,45,51,60,44
328,33,41,25,49,17,57,9,1,34,42
354,27,28,19,35,26,29,18,34,20,36
369,17,9,25,1,33,41,49,57,18,10
374,36,37,35,38,44,28,39,43,27,45
378,59,60,51,58,61,50,52,62,53,42
381,51,52,59,43,50,53,42,58,60,44
386,61,62,60,63,64,53,59,52,54,55
416,53,54,52,55,56,61,45,51,60,44
423,22,21,23,24,20,30,14,29,13,31
425,54,53,55,56,52,62,46,61,45,63
437,20,21,19,22,28,12,23,27,11,29
440,33,41,25,49,17,57,9,1,34,42
442,35,36,43,27,34,37,26,42,44,28
443,35,36,43,27,34,37,26,42,44,28
453,28,29,27,30,20,36,31,19,35,21
470,7,8,6,5,4,15,14,16,13,12
494,25,33,17,9,41,49,1,57,26,18
507,51,52,59,43,50,53,42,58,60,44
509,41,49,33,57,25,17,9,1,42,34
514,6,5,7,8,4,14,13,15,16,12
524,33,41,25,49,17,57,9,1,34,42
526,36,37,35,38,44,28,39,43,27,45
544,7,8,6,5,4,15,14,16,13,12
559,51,52,59,43,50,53,42,58,60,44
565,27,28,19,35,26,29,18,34,20,36
570,11,12,3,19,10,13,18,2,4,20
571,8,7,6,5,16,15,14,4,13,12
573,30,29,31,32,28,38,22,21,37,39
574,7,8,6,5,4,15,14,16,13,12
577,17,9,25,1,33,41,49,57,18,10
578,11,12,3,19,10,13,18,2,4,20
582,21,22,20,23,24,29,13,19,28,12
595,8,7,6,5,16,15,14,4,13,12
620,1,9,17,25,33,41,49,57,2,10
624,33,41,25,49,17,57,9,1,34,42
625,43,44,35,51,42,45,50,34,36,52
629,7,8,6,5,4,15,14,16,13,12
637,21,22,20,23,24,29,13,19,28,12
643,30,29,31,32,28,38,22,21,37,39
644,8,7,6,5,16,15,14,4,13,12
651,61,62,60,63,64,53,59,52,54,55
652,21,22,20,23,24,29,13,19,28,12
660,19,20,27,11,18,21,10,26,28,12
668,8,7,6,5,16,15,14,4,13,12
713,52,53,51,54,60,44,55,59,43,61
743,28,29,27,30,20,36,31,19,35,21
767,8,7,6,5,16,15,14,4,13,12
771,33,41,25,49,17,57,9,1,34,42
780,36,37,35,38,44,28,39,43,27,45
789,22,21,23,24,20,30,14,29,13,31
790,8,7,6,5,16,15,14,4,13,12
791,43,44,35,51,42,45,50,34,36,52
811,33,41,25,49,17,57,9,1,34,42
824,43,44,35,51,42,45,50,34,36,52
838,7,8,6,5,4,15,14,16,13,12
