,TA,SOX3,WNT8A,BAMBIA,FOXD5,AXIN2,NDR1,OTX1A,CHD,BMP4
,HER1,EVE1,VOX,GATA2A,CST3,SP5L,LHX1A,HES6,VED,NOTO
,VENT,LFT2,GATA5,CDX4,SZL,NDR2,SEBOX,GSC,OSR1,TBX16
,SNAI1A,FOXI1,ADMP,WNT11,BMP7A,MIXL1,FOXB1A,OTX1B,FOXD3,FGF8A
1,8,7,6,5,16,15,14,4,13,12
9,25,33,17,9,41,49,1,57,26,18
24,59,60,51,58,61,50,52,62,53,42
25,51,52,59,43,50,53,42,58,60,44
28,30,29,31,32,28,38,22,21,37,39
55,43,44,35,51,42,45,50,34,36,52
58,35,36,43,27,34,37,26,42,44,28
69,37,38,36,39,40,45,29,35,44,28
83,41,49,33,57,25,17,9,1,42,34
87,61,62,60,63,64,53,59,52,54,55
92,27,28,19,35,26,29,18,34,20,36
94,8,7,6,5,16,15,14,4,13,12
104,11,12,3,19,10,13,18,2,4,20
106,5,6,4,7,8,13,3,12,14,15
110,43,44,35,51,42,45,50,34,36,52
113,43,44,35,51,42,45,50,34,36,52
149,17,9,25,1,33,41,49,57,18,10
152,8,7,6,5,16,15,14,4,13,12
157,17,9,25,1,33,41,49,57,18,10
161,25,33,17,9,41,49,1,57,26,18
187,11,12,3,19,10,13,18,2,4,20
217,41,49,33,57,25,17,9,1,42,34
255,35,36,43,27,34,37,26,42,44,28
261,8,7,6,5,16,15,14,4,13,12
269,25,33,17,9,41,49,1,57,26,18
283,35,36,43,27,34,37,26,42,44,28
298,43,44,35,51,42,45,50,34,36,52
305,20,21,19,22,28,12,23,27,11,29
306,30,29,31,32,28,38,22,21,37,39
336,59,60,51,58,61,50,52,62,53,42
340,60,61,59,62,52,63,51,53,54,64
352,7,8,6,5,4,15,14,16,13,12
358,30,29,31,32,28,38,22,21,37,39
375,36,37,35,38,44,28,39,43,27,45
390,8,7,6,5,16,15,14,4,13,12
396,25,33,17,9,41,49,1,57,26,18
397,36,37,35,38,44,28,39,43,27,45
401,43,44,35,51,42,45,50,34,36,52
419,43,44,35,51,42,45,50,34,36,52
424,30,29,31,32,28,38,22,21,37,39
429,33,41,25,49,17,57,9,1,34,42
450,28,29,27,30,20,36,31,19,35,21
454,8,7,6,5,16,15,14,4,13,12
467,25,33,17,9,41,49,1,57,26,18
474,36,37,35,38,44,28,39,43,27,45
478,25,33,17,9,41,49,1,57,26,18
483,43,44,35,51,42,45,50,34,36,52
488,20,21,19,22,28,12,23,27,11,29
493,7,8,6,5,4,15,14,16,13,12
528,51,52,59,43,50,53,42,58,60,44
534,8,7,6,5,16,15,14,4,13,12
552,5,6,4,7,8,13,3,12,14,15
560,25,33,17,9,41,49,1,57,26,18
562,21,22,20,23,24,29,13,19,28,12
563,22,21,23,24,20,30,14,29,13,31
586,27,28,19,35,26,29,18,34,20,36
598,43,44,35,51,42,45,50,34,36,52
599,19,20,27,11,18,21,10,26,28,12
600,1,9,17,25,33,41,49,57,2,10
604,19,20,27,11,18,21,10,26,28,12
607,4,5,3,6,12,7,11,13,14,8
621,4,5,3,6,12,7,11,13,14,8
663,8,7,6,5,16,15,14,4,13,12
665,8,7,6,5,16,15,14,4,13,12
673,31,32,30,29,28,23,39,22,38,24
680,47,48,46,45,44,39,55,54,38,56
694,8,7,6,5,16,15,14,4,13,12
707,4,5,3,6,12,7,11,13,14,8
712,8,7,6,5,16,15,14,4,13,12
723,33,41,25,49,17,57,9,1,34,42
754,6,5,7,8,4,14,13,15,16,12
760,30,29,31,32,28,38,22,21,37,39
766,60,61,59,62,52,63,51,53,54,64
795,31,32,30,29,28,23,39,22,38,24
797,4,5,3,6,12,7,11,13,14,8
799,33,41,25,49,17,57,9,1,34,42
801,21,22,20,23,24,29,13,19,28,12
809,31,32,30,29,28,23,39,22,38,24
813,52,53,51,54,60,44,55,59,43,61
834,38,37,39,40,36,30,46,29,45,31
837,36,37,35,38,44,28,39,43,27,45
845,21,22,20,23,24,29,13,19,28,12
846,11,12,3,19,10,13,18,2,4,20
851,33,41,25,49,17,57,9,1,34,42
