,TA,SOX3,CST3,BAMBIA,FOXD5,NDR1,AXIN2,EVE1,CHD,GATA2A
,HER1,SP5L,WNT8A,VENT,BMP4,VOX,OTX1A,HES6,LFT2,GATA5
6,8,7,6,5,16,15,14,4,13,12
13,21,22,20,23,24,29,13,19,28,12
18,35,36,43,27,34,37,26,42,44,28
61,8,7,6,5,16,15,14,4,13,12
70,35,36,43,27,34,37,26,42,44,28
80,7,8,6,5,4,15,14,16,13,12
81,64,63,62,61,56,55,54,60,53,52
144,35,36,43,27,34,37,26,42,44,28
154,42,50,34,43,41,51,35,49,33,58
169,1,9,17,25,33,41,49,57,2,10
178,61,62,60,63,64,53,59,52,54,55
185,27,28,19,35,26,29,18,34,20,36
186,27,28,19,35,26,29,18,34,20,36
190,6,5,7,8,4,14,13,15,16,12
196,7,8,6,5,4,15,14,16,13,12
207,20,21,19,22,28,12,23,27,11,29
212,11,12,3,19,10,13,18,2,4,20
220,34,26,42,35,33,43,27,41,25,50
240,34,26,42,35,33,43,27,41,25,50
241,8,7,6,5,16,15,14,4,13,12
244,43,44,35,51,42,45,50,34,36,52
266,27,28,19,35,26,29,18,34,20,36
273,1,9,17,25,33,41,49,57,2,10
274,1,9,17,25,33,41,49,57,2,10
285,35,36,43,27,34,37,26,42,44,28
299,43,44,35,51,42,45,50,34,36,52
303,35,36,43,27,34,37,26,42,44,28
304,51,52,59,43,50,53,42,58,60,44
309,6,5,7,8,4,14,13,15,16,12
314,28,29,27,30,20,36,31,19,35,21
316,8,7,6,5,16,15,14,4,13,12
323,27,28,19,35,26,29,18,34,20,36
339,27,28,19,35,26,29,18,34,20,36
351,41,49,33,57,25,17,9,1,42,34
357,41,49,33,57,25,17,9,1,42,34
359,34,26,42,35,33,43,27,41,25,50
362,7,8,6,5,4,15,14,16,13,12
365,60,61,59,62,52,63,51,53,54,64
370,35,36,43,27,34,37,26,42,44,28
382,35,36,43,27,34,37,26,42,44,28
393,34,26,42,35,33,43,27,41,25,50
404,4,5,3,6,12,7,11,13,14,8
455,33,41,25,49,17,57,9,1,34,42
466,61,62,60,63,64,53,59,52,54,55
472,38,37,39,40,36,30,46,29,45,31
479,1,9,17,25,33,41,49,57,2,10
485,64,63,62,61,56,55,54,60,53,52
500,35,36,43,27,34,37,26,42,44,28
511,48,47,46,45,40,56,39,55,38,54
516,51,52,59,43,50,53,42,58,60,44
521,11,12,3,19,10,13,18,2,4,20
523,61,62,60,63,64,53,59,52,54,55
527,33,41,25,49,17,57,9,1,34,42
536,46,45,47,48,44,38,54,37,53,39
537,7,8,6,5,4,15,14,16,13,12
558,27,28,19,35,26,29,18,34,20,36
566,7,8,6,5,4,15,14,16,13,12
583,21,22,20,23,24,29,13,19,28,12
596,43,44,35,51,42,45,50,34,36,52
608,20,21,19,22,28,12,23,27,11,29
613,20,21,19,22,28,12,23,27,11,29
631,21,22,20,23,24,29,13,19,28,12
647,8,7,6,5,16,15,14,4,13,12
654,28,29,27,30,20,36,31,19,35,21
682,51,52,59,43,50,53,42,58,60,44
687,6,5,7,8,4,14,13,15,16,12
690,8,7,6,5,16,15,14,4,13,12
705,43,44,35,51,42,45,50,34,36,52
718,21,22,20,23,24,29,13,19,28,12
735,20,21,19,22,28,12,23,27,11,29
740,8,7,6,5,16,15,14,4,13,12
745,21,22,20,23,24,29,13,19,28,12
752,20,21,19,22,28,12,23,27,11,29
753,43,44,35,51,42,45,50,34,36,52
755,7,8,6,5,4,15,14,16,13,12
757,51,52,59,43,50,53,42,58,60,44
758,27,28,19,35,26,29,18,34,20,36
759,7,8,6,5,4,15,14,16,13,12
782,8,7,6,5,16,15,14,4,13,12
788,6,5,7,8,4,14,13,15,16,12
798,8,7,6,5,16,15,14,4,13,12
805,7,8,6,5,4,15,14,16,13,12
812,6,5,7,8,4,14,13,15,16,12
828,27,28,19,35,26,29,18,34,20,36
841,8,7,6,5,16,15,14,4,13,12
