,TA,SOX3,WNT8A,BAMBIA,FOXD5,OTX1A,AXIN2,NDR1,BMP4,HER1
,SP5L,CHD,HES6,CST3,GATA2A,EVE1,VOX,LFT2,FOXB1A,GATA5
,VENT,ID3,FGF8A,NDR2,ADMP,LHX1A,GSC,CDX4,OTX1B,NOTO
,MIXL1,TBX16,SZL,SEBOX,OSR1,FOXI1,WNT11,VED,BMP7A,NOG1
12,25,33,17,9,41,49,1,57,26,18
26,30,29,31,32,28,38,22,21,37,39
45,51,52,59,43,50,53,42,58,60,44
51,37,38,36,39,40,45,29,35,44,28
67,20,21,19,22,28,12,23,27,11,29
73,43,44,35,51,42,45,50,34,36,52
77,27,28,19,35,26,29,18,34,20,36
85,51,52,59,43,50,53,42,58,60,44
101,55,56,54,53,52,47,63,46,62,64
103,21,22,20,23,24,29,13,19,28,12
105,25,33,17,9,41,49,1,57,26,18
107,19,20,27,11,18,21,10,26,28,12
132,28,29,27,30,20,36,31,19,35,21
136,28,29,27,30,20,36,31,19,35,21
141,28,29,27,30,20,36,31,19,35,21
166,17,9,25,1,33,41,49,57,18,10
168,17,9,25,1,33,41,49,57,18,10
170,28,29,27,30,20,36,31,19,35,21
180,30,29,31,32,28,38,22,21,37,39
182,38,37,39,40,36,30,46,29,45,31
197,45,46,44,47,48,37,53,43,36,52
211,50,42,58,51,49,43,59,41,57,34
214,27,28,19,35,26,29,18,34,20,36
219,43,44,35,51,42,45,50,34,36,52
235,28,29,27,30,20,36,31,19,35,21
239,1,9,17,25,33,41,49,57,2,10
245,55,56,54,53,52,47,63,46,62,64
247,28,29,27,30,20,36,31,19,35,21
257,17,9,25,1,33,41,49,57,18,10
260,22,21,23,24,20,30,14,29,13,31
268,38,37,39,40,36,30,46,29,45,31
270,45,46,44,47,48,37,53,43,36,52
279,20,21,19,22,28,12,23,27,11,29
315,28,29,27,30,20,36,31,19,35,21
322,51,52,59,43,50,53,42,58,60,44
331,34,26,42,35,33,43,27,41,25,50
338,17,9,25,1,33,41,49,57,18,10
350,8,7,6,5,16,15,14,4,13,12
403,8,7,6,5,16,15,14,4,13,12
405,35,36,43,27,34,37,26,42,44,28
411,27,28,19,35,26,29,18,34,20,36
415,17,9,25,1,33,41,49,57,18,10
421,28,29,27,30,20,36,31,19,35,21
427,46,45,47,48,44,38,54,37,53,39
447,8,7,6,5,16,15,14,4,13,12
465,61,62,60,63,64,53,59,52,54,55
475,35,36,43,27,34,37,26,42,44,28
480,29,30,28,31,32,21,37,27,20,36
481,55,56,54,53,52,47,63,46,62,64
486,27,28,19,35,26,29,18,34,20,36
531,6,5,7,8,4,14,13,15,16,12
543,8,7,6,5,16,15,14,4,13,12
551,28,29,27,30,20,36,31,19,35,21
554,22,21,23,24,20,30,14,29,13,31
561,4,5,3,6,12,7,11,13,14,8
572,4,5,3,6,12,7,11,13,14,8
584,5,6,4,7,8,13,3,12,14,15
593,11,12,3,19,10,13,18,2,4,20
601,51,52,59,43,50,53,42,58,60,44
612,7,8,6,5,4,15,14,16,13,12
614,7,8,6,5,4,15,14,16,13,12
615,8,7,6,5,16,15,14,4,13,12
623,19,20,27,11,18,21,10,26,28,12
628,8,7,6,5,16,15,14,4,13,12
640,11,12,3,19,10,13,18,2,4,20
641,19,20,27,11,18,21,10,26,28,12
650,28,29,27,30,20,36,31,19,35,21
656,33,41,25,49,17,57,9,1,34,42
664,30,29,31,32,28,38,22,21,37,39
675,21,22,20,23,24,29,13,19,28,12
684,7,8,6,5,4,15,14,16,13,12
691,6,5,7,8,4,14,13,15,16,12
695,33,41,25,49,17,57,9,1,34,42
709,4,5,3,6,12,7,11,13,14,8
716,11,12,3,19,10,13,18,2,4,20
722,7,8,6,5,4,15,14,16,13,12
733,30,29,31,32,28,38,22,21,37,39
748,22,21,23,24,20,30,14,29,13,31
769,8,7,6,5,16,15,14,4,13,12
772,19,20,27,11,18,21,10,26,28,12
779,27,28,19,35,26,29,18,34,20,36
829,19,20,27,11,18,21,10,26,28,12
832,30,29,31,32,28,38,22,21,37,39
842,60,61,59,62,52,63,51,53,54,64
