,WNT8A,SOX3,FOXD5,TA,BAMBIA,SP5L,AXIN2,CHD,HER1,LHX1A
,LFT2,EVE1,CST3,GATA2A,NDR1,BMP7A,OTX1A,BMP4,VOX,SEBOX
,OTX1B,FOXB1A,SNAI1A,NOTO,VENT,OSR1,HES6,FOXI1,GSC,WNT11
,SZL,CDX4,ADMP,NDR2,MIXL1,NOG1,GATA5,FGF8A,LFT1,TPH1B
14,8,7,6,5,16,15,14,4,13,12
15,41,49,33,57,25,17,9,1,42,34
21,43,44,35,51,42,45,50,34,36,52
39,42,50,34,43,41,51,35,49,33,58
42,25,33,17,9,41,49,1,57,26,18
57,19,20,27,11,18,21,10,26,28,12
62,17,9,25,1,33,41,49,57,18,10
66,36,37,35,38,44,28,39,43,27,45
68,20,21,19,22,28,12,23,27,11,29
99,20,21,19,22,28,12,23,27,11,29
109,28,29,27,30,20,36,31,19,35,21
129,17,9,25,1,33,41,49,57,18,10
140,41,49,33,57,25,17,9,1,42,34
142,33,41,25,49,17,57,9,1,34,42
147,43,44,35,51,42,45,50,34,36,52
171,41,49,33,57,25,17,9,1,42,34
175,17,9,25,1,33,41,49,57,18,10
188,43,44,35,51,42,45,50,34,36,52
189,51,52,59,43,50,53,42,58,60,44
192,29,30,28,31,32,21,37,27,20,36
228,42,50,34,43,41,51,35,49,33,58
237,30,29,31,32,28,38,22,21,37,39
243,21,22,20,23,24,29,13,19,28,12
249,27,28,19,35,26,29,18,34,20,36
250,7,8,6,5,4,15,14,16,13,12
253,17,9,25,1,33,41,49,57,18,10
256,61,62,60,63,64,53,59,52,54,55
281,25,33,17,9,41,49,1,57,26,18
300,59,60,51,58,61,50,52,62,53,42
307,47,48,46,45,44,39,55,54,38,56
311,17,9,25,1,33,41,49,57,18,10
312,8,7,6,5,16,15,14,4,13,12
324,25,33,17,9,41,49,1,57,26,18
332,28,29,27,30,20,36,31,19,35,21
353,30,29,31,32,28,38,22,21,37,39
355,30,29,31,32,28,38,22,21,37,39
364,51,52,59,43,50,53,42,58,60,44
379,40,39,38,37,48,32,47,31,46,30
387,54,53,55,56,52,62,46,61,45,63
428,36,37,35,38,44,28,39,43,27,45
431,30,29,31,32,28,38,22,21,37,39
436,30,29,31,32,28,38,22,21,37,39
439,27,28,19,35,26,29,18,34,20,36
448,6,5,7,8,4,14,13,15,16,12
457,38,37,39,40,36,30,46,29,45,31
487,27,28,19,35,26,29,18,34,20,36
492,28,29,27,30,20,36,31,19,35,21
502,34,26,42,35,33,43,27,41,25,50
503,28,29,27,30,20,36,31,19,35,21
512,1,9,17,25,33,41,49,57,2,10
517,51,52,59,43,50,53,42,58,60,44
542,21,22,20,23,24,29,13,19,28,12
557,44,45,43,46,36,52,47,35,51,37
567,29,30,28,31,32,21,37,27,20,36
568,5,6,4,7,8,13,3,12,14,15
581,8,7,6,5,16,15,14,4,13,12
585,7,8,6,5,4,15,14,16,13,12
589,51,52,59,43,50,53,42,58,60,44
597,11,12,3,19,10,13,18,2,4,20
606,51,52,59,43,50,53,42,58,60,44
609,28,29,27,30,20,36,31,19,35,21
611,21,22,20,23,24,29,13,19,28,12
634,44,45,43,46,36,52,47,35,51,37
655,64,63,62,61,56,55,54,60,53,52
670,36,37,35,38,44,28,39,43,27,45
674,8,7,6,5,16,15,14,4,13,12
676,8,7,6,5,16,15,14,4,13,12
678,8,7,6,5,16,15,14,4,13,12
688,6,5,7,8,4,14,13,15,16,12
714,44,45,43,46,36,52,47,35,51,37
725,43,44,35,51,42,45,50,34,36,52
728,4,5,3,6,12,7,11,13,14,8
729,43,44,35,51,42,45,50,34,36,52
731,1,9,17,25,33,41,49,57,2,10
763,29,30,28,31,32,21,37,27,20,36
774,45,46,44,47,48,37,53,43,36,52
778,8,7,6,5,16,15,14,4,13,12
783,19,20,27,11,18,21,10,26,28,12
796,45,46,44,47,48,37,53,43,36,52
800,28,29,27,30,20,36,31,19,35,21
802,7,8,6,5,4,15,14,16,13,12
815,7,8,6,5,4,15,14,16,13,12
819,8,7,6,5,16,15,14,4,13,12
821,7,8,6,5,4,15,14,16,13,12
833,7,8,6,5,4,15,14,16,13,12
