,WNT8A,SOX3,FOXD5,BAMBIA,TA,AXIN2,SP5L,CHD,LHX1A,VENT
,OTX1A,EVE1,HER1,VOX,CST3,FOXI1,GATA5,BMP4,LFT2,FOXB1A
,NDR2,OTX1B,BMP7A,WNT11,NOTO,SZL,HES6,GSC,GATA2A,NDR1
,ADMP,OSR1,FGF8A,ID3,CDX4,TPH1B,MIXL1,SNAI1A,SEBOX,NOG1
11,27,28,19,35,26,29,18,34,20,36
17,30,29,31,32,28,38,22,21,37,39
19,33,41,25,49,17,57,9,1,34,42
22,20,21,19,22,28,12,23,27,11,29
27,30,29,31,32,28,38,22,21,37,39
29,19,20,27,11,18,21,10,26,28,12
46,43,44,35,51,42,45,50,34,36,52
52,43,44,35,51,42,45,50,34,36,52
59,30,29,31,32,28,38,22,21,37,39
60,17,9,25,1,33,41,49,57,18,10
65,36,37,35,38,44,28,39,43,27,45
71,30,29,31,32,28,38,22,21,37,39
93,43,44,35,51,42,45,50,34,36,52
96,7,8,6,5,4,15,14,16,13,12
100,45,46,44,47,48,37,53,43,36,52
116,30,29,31,32,28,38,22,21,37,39
134,27,28,19,35,26,29,18,34,20,36
135,30,29,31,32,28,38,22,21,37,39
148,37,38,36,39,40,45,29,35,44,28
151,46,45,47,48,44,38,54,37,53,39
176,19,20,27,11,18,21,10,26,28,12
177,38,37,39,40,36,30,46,29,45,31
191,6,5,7,8,4,14,13,15,16,12
193,8,7,6,5,16,15,14,4,13,12
195,36,37,35,38,44,28,39,43,27,45
221,7,8,6,5,4,15,14,16,13,12
223,17,9,25,1,33,41,49,57,18,10
231,51,52,59,43,50,53,42,58,60,44
234,37,38,36,39,40,45,29,35,44,28
238,30,29,31,32,28,38,22,21,37,39
264,36,37,35,38,44,28,39,43,27,45
272,30,29,31,32,28,38,22,21,37,39
278,28,29,27,30,20,36,31,19,35,21
287,28,29,27,30,20,36,31,19,35,21
292,41,49,33,57,25,17,9,1,42,34
317,8,7,6,5,16,15,14,4,13,12
330,36,37,35,38,44,28,39,43,27,45
335,53,54,52,55,56,61,45,51,60,44
343,51,52,59,43,50,53,42,58,60,44
348,43,44,35,51,42,45,50,34,36,52
349,35,36,43,27,34,37,26,42,44,28
380,19,20,27,11,18,21,10,26,28,12
399,28,29,27,30,20,36,31,19,35,21
408,45,46,44,47,48,37,53,43,36,52
434,27,28,19,35,26,29,18,34,20,36
468,11,12,3,19,10,13,18,2,4,20
473,33,41,25,49,17,57,9,1,34,42
491,21,22,20,23,24,29,13,19,28,12
499,30,29,31,32,28,38,22,21,37,39
525,36,37,35,38,44,28,39,43,27,45
530,40,39,38,37,48,32,47,31,46,30
532,4,5,3,6,12,7,11,13,14,8
535,7,8,6,5,4,15,14,16,13,12
539,11,12,3,19,10,13,18,2,4,20
550,7,8,6,5,4,15,14,16,13,12
564,7,8,6,5,4,15,14,16,13,12
575,1,9,17,25,33,41,49,57,2,10
588,8,7,6,5,16,15,14,4,13,12
591,8,7,6,5,16,15,14,4,13,12
635,44,45,43,46,36,52,47,35,51,37
636,38,37,39,40,36,30,46,29,45,31
645,8,7,6,5,16,15,14,4,13,12
671,7,8,6,5,4,15,14,16,13,12
672,11,12,3,19,10,13,18,2,4,20
685,28,29,27,30,20,36,31,19,35,21
696,45,46,44,47,48,37,53,43,36,52
708,8,7,6,5,16,15,14,4,13,12
720,51,52,59,43,50,53,42,58,60,44
721,19,20,27,11,18,21,10,26,28,12
737,43,44,35,51,42,45,50,34,36,52
738,7,8,6,5,4,15,14,16,13,12
747,64,63,62,61,56,55,54,60,53,52
768,8,7,6,5,16,15,14,4,13,12
777,8,7,6,5,16,15,14,4,13,12
785,4,5,3,6,12,7,11,13,14,8
803,4,5,3,6,12,7,11,13,14,8
804,21,22,20,23,24,29,13,19,28,12
806,8,7,6,5,16,15,14,4,13,12
807,22,21,23,24,20,30,14,29,13,31
808,22,21,23,24,20,30,14,29,13,31
817,63,64,62,61,60,55,54,56,53,52
826,30,29,31,32,28,38,22,21,37,39
836,8,7,6,5,16,15,14,4,13,12
840,21,22,20,23,24,29,13,19,28,12
844,4,5,3,6,12,7,11,13,14,8
847,8,7,6,5,16,15,14,4,13,12
