,TA,SOX3,CST3,BAMBIA,FOXD5,NDR1,AXIN2,OTX1A,EVE1,HER1
,FOXI1,CHD,BMP4,FOXB1A,VENT,SP5L,GATA5,HES6,VOX,LFT2
,SZL,WNT8A,OTX1B,NDR2,SEBOX,GSC,NOTO,GATA2A,FGF8A,BMP7A
,LHX1A,OSR1,CDX4,WNT11,ADMP,MIXL1,SNAI1A,TPH1B,NOG1,LFT1
33,25,33,17,9,41,49,1,57,26,18
54,33,41,25,49,17,57,9,1,34,42
75,28,29,27,30,20,36,31,19,35,21
84,36,37,35,38,44,28,39,43,27,45
86,21,22,20,23,24,29,13,19,28,12
90,30,29,31,32,28,38,22,21,37,39
91,17,9,25,1,33,41,49,57,18,10
95,36,37,35,38,44,28,39,43,27,45
119,41,49,33,57,25,17,9,1,42,34
122,29,30,28,31,32,21,37,27,20,36
133,20,21,19,22,28,12,23,27,11,29
143,19,20,27,11,18,21,10,26,28,12
155,8,7,6,5,16,15,14,4,13,12
162,19,20,27,11,18,21,10,26,28,12
179,38,37,39,40,36,30,46,29,45,31
200,33,41,25,49,17,57,9,1,34,42
206,30,29,31,32,28,38,22,21,37,39
209,30,29,31,32,28,38,22,21,37,39
216,34,26,42,35,33,43,27,41,25,50
236,19,20,27,11,18,21,10,26,28,12
246,33,41,25,49,17,57,9,1,34,42
251,7,8,6,5,4,15,14,16,13,12
254,30,29,31,32,28,38,22,21,37,39
259,20,21,19,22,28,12,23,27,11,29
267,27,28,19,35,26,29,18,34,20,36
284,36,37,35,38,44,28,39,43,27,45
295,35,36,43,27,34,37,26,42,44,28
302,7,8,6,5,4,15,14,16,13,12
310,51,52,59,43,50,53,42,58,60,44
318,17,9,25,1,33,41,49,57,18,10
325,21,22,20,23,24,29,13,19,28,12
346,35,36,43,27,34,37,26,42,44,28
363,51,52,59,43,50,53,42,58,60,44
367,22,21,23,24,20,30,14,29,13,31
377,8,7,6,5,16,15,14,4,13,12
385,7,8,6,5,4,15,14,16,13,12
391,41,49,33,57,25,17,9,1,42,34
392,36,37,35,38,44,28,39,43,27,45
402,36,37,35,38,44,28,39,43,27,45
407,8,7,6,5,16,15,14,4,13,12
412,43,44,35,51,42,45,50,34,36,52
413,49,41,57,33,25,17,9,1,50,42
430,30,29,31,32,28,38,22,21,37,39
461,11,12,3,19,10,13,18,2,4,20
462,30,29,31,32,28,38,22,21,37,39
476,25,33,17,9,41,49,1,57,26,18
477,28,29,27,30,20,36,31,19,35,21
489,43,44,35,51,42,45,50,34,36,52
490,25,33,17,9,41,49,1,57,26,18
496,17,9,25,1,33,41,49,57,18,10
513,51,52,59,43,50,53,42,58,60,44
518,19,20,27,11,18,21,10,26,28,12
533,6,5,7,8,4,14,13,15,16,12
541,29,30,28,31,32,21,37,27,20,36
545,51,52,59,43,50,53,42,58,60,44
546,7,8,6,5,4,15,14,16,13,12
553,51,52,59,43,50,53,42,58,60,44
580,64,63,62,61,56,55,54,60,53,52
587,52,53,51,54,60,44,55,59,43,61
590,43,44,35,51,42,45,50,34,36,52
602,11,12,3,19,10,13,18,2,4,20
617,33,41,25,49,17,57,9,1,34,42
630,4,5,3,6,12,7,11,13,14,8
642,62,61,63,64,60,54,53,55,56,52
646,52,53,51,54,60,44,55,59,43,61
648,30,29,31,32,28,38,22,21,37,39
677,19,20,27,11,18,21,10,26,28,12
692,64,63,62,61,56,55,54,60,53,52
693,46,45,47,48,44,38,54,37,53,39
697,8,7,6,5,16,15,14,4,13,12
698,8,7,6,5,16,15,14,4,13,12
701,11,12,3,19,10,13,18,2,4,20
704,45,46,44,47,48,37,53,43,36,52
710,64,63,62,61,56,55,54,60,53,52
726,43,44,35,51,42,45,50,34,36,52
730,36,37,35,38,44,28,39,43,27,45
734,7,8,6,5,4,15,14,16,13,12
736,7,8,6,5,4,15,14,16,13,12
739,28,29,27,30,20,36,31,19,35,21
741,7,8,6,5,4,15,14,16,13,12
756,33,41,25,49,17,57,9,1,34,42
761,55,56,54,53,52,47,63,46,62,64
770,8,7,6,5,16,15,14,4,13,12
835,1,9,17,25,33,41,49,57,2,10
839,19,20,27,11,18,21,10,26,28,12
