,TA,SOX3,CST3,BAMBIA,FOXD5,NDR2,AXIN2,CHD,OTX1A,BMP4
,EVE1,HER1,WNT8A,GATA2A,VOX,SP5L,VENT,HES6,NDR1,FGF8A
,FOXB1A,NOTO,LFT2,OSR1,BMP2B,LHX1A,GSC,GATA5,SZL,CDX4
,SNAI1A,SEBOX,MIXL1,FOXD3,WNT11,ADMP,TPH1B,FOXI1,ID3,LFT1
5,8,7,6,5,16,15,14,4,13,12
7,7,8,6,5,4,15,14,16,13,12
20,28,29,27,30,20,36,31,19,35,21
35,30,29,31,32,28,38,22,21,37,39
36,19,20,27,11,18,21,10,26,28,12
49,30,29,31,32,28,38,22,21,37,39
53,30,29,31,32,28,38,22,21,37,39
63,48,47,46,45,40,56,39,55,38,54
72,64,63,62,61,56,55,54,60,53,52
89,17,9,25,1,33,41,49,57,18,10
102,8,7,6,5,16,15,14,4,13,12
115,28,29,27,30,20,36,31,19,35,21
120,25,33,17,9,41,49,1,57,26,18
121,8,7,6,5,16,15,14,4,13,12
125,19,20,27,11,18,21,10,26,28,12
128,35,36,43,27,34,37,26,42,44,28
130,34,26,42,35,33,43,27,41,25,50
139,8,7,6,5,16,15,14,4,13,12
145,51,52,59,43,50,53,42,58,60,44
146,38,37,39,40,36,30,46,29,45,31
158,56,55,54,53,64,48,47,63,46,62
159,31,32,30,29,28,23,39,22,38,24
172,41,49,33,57,25,17,9,1,42,34
194,19,20,27,11,18,21,10,26,28,12
226,19,20,27,11,18,21,10,26,28,12
227,8,7,6,5,16,15,14,4,13,12
242,51,52,59,43,50,53,42,58,60,44
258,31,32,30,29,28,23,39,22,38,24
277,51,52,59,43,50,53,42,58,60,44
291,51,52,59,43,50,53,42,58,60,44
301,7,8,6,5,4,15,14,16,13,12
319,54,53,55,56,52,62,46,61,45,63
333,19,20,27,11,18,21,10,26,28,12
337,7,8,6,5,4,15,14,16,13,12
344,7,8,6,5,4,15,14,16,13,12
360,20,21,19,22,28,12,23,27,11,29
366,20,21,19,22,28,12,23,27,11,29
368,54,53,55,56,52,62,46,61,45,63
371,51,52,59,43,50,53,42,58,60,44
372,42,50,34,43,41,51,35,49,33,58
376,19,20,27,11,18,21,10,26,28,12
383,17,9,25,1,33,41,49,57,18,10
394,25,33,17,9,41,49,1,57,26,18
395,35,36,43,27,34,37,26,42,44,28
400,34,26,42,35,33,43,27,41,25,50
409,7,8,6,5,4,15,14,16,13,12
414,8,7,6,5,16,15,14,4,13,12
435,51,52,59,43,50,53,42,58,60,44
438,41,49,33,57,25,17,9,1,42,34
452,45,46,44,47,48,37,53,43,36,52
456,8,7,6,5,16,15,14,4,13,12
459,35,36,43,27,34,37,26,42,44,28
471,30,29,31,32,28,38,22,21,37,39
484,55,56,54,53,52,47,63,46,62,64
495,41,49,33,57,25,17,9,1,42,34
497,35,36,43,27,34,37,26,42,44,28
504,41,49,33,57,25,17,9,1,42,34
506,19,20,27,11,18,21,10,26,28,12
510,7,8,6,5,4,15,14,16,13,12
549,5,6,4,7,8,13,3,12,14,15
594,20,21,19,22,28,12,23,27,11,29
610,7,8,6,5,4,15,14,16,13,12
618,5,6,4,7,8,13,3,12,14,15
627,11,12,3,19,10,13,18,2,4,20
633,8,7,6,5,16,15,14,4,13,12
649,27,28,19,35,26,29,18,34,20,36
667,7,8,6,5,4,15,14,16,13,12
679,21,22,20,23,24,29,13,19,28,12
681,5,6,4,7,8,13,3,12,14,15
683,19,20,27,11,18,21,10,26,28,12
689,7,8,6,5,4,15,14,16,13,12
700,8,7,6,5,16,15,14,4,13,12
715,31,32,30,29,28,23,39,22,38,24
724,19,20,27,11,18,21,10,26,28,12
742,17,9,25,1,33,41,49,57,18,10
744,53,54,52,55,56,61,45,51,60,44
749,11,12,3,19,10,13,18,2,4,20
781,5,6,4,7,8,13,3,12,14,15
793,28,29,27,30,20,36,31,19,35,21
814,46,45,47,48,44,38,54,37,53,39
818,7,8,6,5,4,15,14,16,13,12
823,28,29,27,30,20,36,31,19,35,21
831,38,37,39,40,36,30,46,29,45,31
843,8,7,6,5,16,15,14,4,13,12
849,35,36,43,27,34,37,26,42,44,28
