,WNT8A,SOX3,FOXD5,TA,BAMBIA,CHD,AXIN2,HER1,OTX1A,EVE1
,FOXI1,LHX1A,VOX,CST3,BMP4,VENT,GATA5,HES6,NOTO,SZL
,OTX1B,FOXB1A,LFT2,NDR1,BMP7A,GSC,WNT11,GATA2A,SP5L,SEBOX
,NDR2,CDX4,NOG1,FOXD3,FGF8A,OSR1,ADMP,MIXL1,SNAI1A,TPH1B
3,51,52,59,43,50,53,42,58,60,44
4,8,7,6,5,16,15,14,4,13,12
16,17,9,25,1,33,41,49,57,18,10
23,27,28,19,35,26,29,18,34,20,36
34,11,12,3,19,10,13,18,2,4,20
38,30,29,31,32,28,38,22,21,37,39
44,53,54,52,55,56,61,45,51,60,44
56,11,12,3,19,10,13,18,2,4,20
64,36,37,35,38,44,28,39,43,27,45
82,36,37,35,38,44,28,39,43,27,45
108,29,30,28,31,32,21,37,27,20,36
111,27,28,19,35,26,29,18,34,20,36
114,30,29,31,32,28,38,22,21,37,39
126,43,44,35,51,42,45,50,34,36,52
131,35,36,43,27,34,37,26,42,44,28
138,36,37,35,38,44,28,39,43,27,45
163,41,49,33,57,25,17,9,1,42,34
164,8,7,6,5,16,15,14,4,13,12
165,43,44,35,51,42,45,50,34,36,52
174,36,37,35,38,44,28,39,43,27,45
201,19,20,27,11,18,21,10,26,28,12
204,27,28,19,35,26,29,18,34,20,36
205,11,12,3,19,10,13,18,2,4,20
213,35,36,43,27,34,37,26,42,44,28
222,53,54,52,55,56,61,45,51,60,44
232,43,44,35,51,42,45,50,34,36,52
252,7,8,6,5,4,15,14,16,13,12
265,46,45,47,48,44,38,54,37,53,39
275,42,50,34,43,41,51,35,49,33,58
282,25,33,17,9,41,49,1,57,26,18
286,35,36,43,27,34,37,26,42,44,28
288,36,37,35,38,44,28,39,43,27,45
293,43,44,35,51,42,45,50,34,36,52
294,59,60,51,58,61,50,52,62,53,42
297,36,37,35,38,44,28,39,43,27,45
329,30,29,31,32,28,38,22,21,37,39
341,8,7,6,5,16,15,14,4,13,12
342,28,29,27,30,20,36,31,19,35,21
345,35,36,43,27,34,37,26,42,44,28
356,8,7,6,5,16,15,14,4,13,12
373,19,20,27,11,18,21,10,26,28,12
384,36,37,35,38,44,28,39,43,27,45
389,8,7,6,5,16,15,14,4,13,12
398,27,28,19,35,26,29,18,34,20,36
418,30,29,31,32,28,38,22,21,37,39
420,30,29,31,32,28,38,22,21,37,39
426,51,52,59,43,50,53,42,58,60,44
432,28,29,27,30,20,36,31,19,35,21
433,27,28,19,35,26,29,18,34,20,36
441,45,46,44,47,48,37,53,43,36,52
449,36,37,35,38,44,28,39,43,27,45
451,49,41,57,33,25,17,9,1,50,42
463,19,20,27,11,18,21,10,26,28,12
464,51,52,59,43,50,53,42,58,60,44
482,45,46,44,47,48,37,53,43,36,52
505,19,20,27,11,18,21,10,26,28,12
519,53,54,52,55,56,61,45,51,60,44
529,51,52,59,43,50,53,42,58,60,44
547,8,7,6,5,16,15,14,4,13,12
548,43,44,35,51,42,45,50,34,36,52
569,46,45,47,48,44,38,54,37,53,39
579,20,21,19,22,28,12,23,27,11,29
592,43,44,35,51,42,45,50,34,36,52
603,51,52,59,43,50,53,42,58,60,44
632,44,45,43,46,36,52,47,35,51,37
638,22,21,23,24,20,30,14,29,13,31
653,51,52,59,43,50,53,42,58,60,44
659,43,44,35,51,42,45,50,34,36,52
661,7,8,6,5,4,15,14,16,13,12
669,21,22,20,23,24,29,13,19,28,12
702,4,5,3,6,12,7,11,13,14,8
703,7,8,6,5,4,15,14,16,13,12
719,8,7,6,5,16,15,14,4,13,12
727,19,20,27,11,18,21,10,26,28,12
732,5,6,4,7,8,13,3,12,14,15
746,19,20,27,11,18,21,10,26,28,12
750,17,9,25,1,33,41,49,57,18,10
751,4,5,3,6,12,7,11,13,14,8
764,6,5,7,8,4,14,13,15,16,12
765,33,41,25,49,17,57,9,1,34,42
784,20,21,19,22,28,12,23,27,11,29
820,6,5,7,8,4,14,13,15,16,12
822,36,37,35,38,44,28,39,43,27,45
827,30,29,31,32,28,38,22,21,37,39
848,8,7,6,5,16,15,14,4,13,12
850,27,28,19,35,26,29,18,34,20,36
