"","Ilp4","CG8147","tsh","fkh","dan","ImpE2","apt","knrl","Cyp310a1","CG43394"
"","Antp","ImpL2","D","Ama","kni","oc","noc","disco","nub","run"
"","fj","edl","bun","croc","twi","lok","aay","zfh1","Mes2","gt"
"","Btk29A","Traf4","sna","h","MESR3","Blimp-1","dpn","Ance","brk","CG11208"
"","CG14427","tkv","Mdr49","Kr","Doc2","odd","CG10479","hb","danr","ftz"
"","rau","htl","trn","Doc3","Nek2","cad","rho","ken","srp","toc"
"15","224","187","226","151","223","185","189","225","222","148"
"33","2994","1245","1206","1283","901","976","938","637","1169","634"
"54","197","158","346","230","308","271","229","310","193","195"
"59","1916","1882","1880","2104","2028","2061","1840","1923","1924","1873"
"65","467","465","426","387","430","389","431","434","469","433"
"82","1083","1315","1047","1199","1009","1119","1155","1156","1235","1274"
"98","2638","2939","2639","2636","2597","2678","2599","2637","2677","2674"
"103","1253","1329","1138","1330","1099","1292","1062","1063","1368","1102"
"127","2989","3030","1520","1214","1593","1897","1630","1557","1858","1252"
"133","1125","1123","1161","1082","1085","1047","1198","1084","1315","1200"
"149","1131","1055","1128","1091","1435","1436","1130","1125","1777","1129"
"156","1405","1406","1329","1367","1748","1444","1786","1785","1330","1783"
"181","34","37","72","107","114","74","32","2933","71","38"
"210","2781","2826","2820","2822","2813","2825","2785","2855","2895","2902"
"214","263","340","304","225","265","301","303","378","491","302"
"218","1214","1252","1327","1291","1213","1251","1215","1253","1330","1289"
"219","1053","1055","1243","1280","1283","2994","1282","1052","1315","1015"
"225","2104","2030","1917","2028","2102","1840","2180","2064","2182","2181"
"227","1237","1235","1274","2967","1205","1233","1271","1236","1270","1308"
"236","839","801","803","875","840","763","876","838","837","800"
"254","1010","1006","973","1316","1280","1273","1279","1275","1314","1008"
"257","2253","1347","2523","2524","2487","2485","2567","2484","2488","2606"
"260","1427","1504","1613","1732","1695","1472","1735","1962","1691","1690"
"267","682","607","643","684","605","565","644","3016","641","646"
"269","2646","2684","2647","2722","2644","2685","2609","2648","2682","2687"
"271","2695","2733","2770","2767","2730","2772","2734","2802","2728","2725"
"276","1181","1180","1903","954","1978","1217","2130","2960","2131","1218"
"277","640","3016","682","684","644","873","867","608","643","645"
"278","676","714","595","677","636","602","752","600","675","712"
"295","1402","1779","1683","1665","1722","1819","1685","1744","1820","1817"
"314","1442","1405","1098","1406","1063","1099","1402","1102","1292","1026"
"322","232","193","195","155","191","270","234","156","153","158"
"325","1230","1229","1188","1190","1226","1153","1194","1228","1155","1192"
"333","1313","1350","1082","1120","1009","1315","1388","1353","1348","1125"
"334","1736","1663","1741","1776","2945","1814","1815","2998","1738","1739"
"339","642","684","682","646","607","603","643","683","605","644"
"354","709","707","669","1053","703","671","1055","742","633","710"
"369","2581","2584","2618","2772","2543","2544","2356","1861","2579","2583"
"378","162","164","158","168","157","3012","134","163","206","154"
"412","341","417","380","494","454","378","570","376","340","492"
"420","1384","1422","1382","1383","2625","1385","1226","1152","1113","1151"
"424","684","988","760","1140","682","646","3016","644","798","2943"
"456","529","569","567","606","644","3016","528","608","570","568"
"473","1196","1159","1153","1385","1083","1123","1345","1160","1347","1424"
"502","38","107","34","75","37","31","144","32","74","111"
"510","1155","1153","1420","1074","1658","1423","1343","1694","1303","1615"
"538","878","875","838","914","801","1181","840","876","953","837"
"544","1181","1142","1180","1065","1179","1183","1332","1104","1255","1027"
"553","790","751","676","675","752","789","3029","713","714","677"
"556","1702","1740","1738","1093","1398","1739","1130","1700","1701","1736"
"569","1181","1180","1218","1409","1255","1408","1141","1369","1219","1142"
"577","891","926","887","697","733","737","699","1119","892","1156"
"578","1140","2943","1329","988","1330","1292","1175","1139","1212","1368"
"581","1239","2967","1316","1241","1279","1202","1238","1203","1204","1278"
"594","790","751","791","754","753","794","756","796","789","717"
"597","981","1855","2197","868","867","2943","831","2463","790","2273"
"601","2996","1253","988","3038","1631","1292","950","1558","759","1634"
"637","644","608","567","988","605","646","3016","873","874","341"
"641","1064","1063","758","1024","1062","1102","1025","986","1026","987"
"659","58","89","53","49","55","103","65","94","63","56"
"660","1120","1299","1159","1123","1424","1413","1181","1378","1160","1255"
"662","1049","1316","1279","1389","1351","1205","1312","1428","1315","1391"
"676","3030","2956","1671","1672","1668","1520","1709","1557","1824","1708"
"681","1026","1100","1330","1175","3014","1212","1368","1099","1216","1063"
"685","2641","2642","2680","2678","2681","2643","2603","2939","2640","2639"
"690","873","1177","836","912","1216","1212","1175","1558","1213","798"
"722","1433","1434","1700","1736","1701","1737","1738","1663","858","1121"
"732","988","758","2010","760","1520","759","2013","1672","2011","2956"
"733","922","884","883","920","881","921","1038","879","960","919"
"736","1017","1056","1016","1321","3025","979","1055","1018","942","1054"
"740","2569","2609","2648","2567","2606","2528","2529","2131","2565","2091"
"741","15","17","46","66","20","2937","32","13","26","69"
"766","1230","1229","1304","1264","1268","1192","1266","1225","1227","1191"
"774","577","615","616","652","650","614","613","588","2965","656"
"780","1252","1251","1214","1292","1329","1140","1291","1367","1213","1330"
"788","1100","1063","1026","1102","1138","1099","1097","1101","1064","1062"
"807","1125","1129","1128","2967","896","2941","1205","1202","1204","1203"
"808","2655","2689","2728","2540","2729","2508","2543","2502","2731","2544"
"814","1855","829","1777","1930","2081","791","2963","2155","2119","2193"
"818","1243","2994","1015","1278","1277","1276","1125","2967","1128","747"
"830","1257","1219","1027","1181","1255","1296","1179","1294","1220","1031"
"835","1218","1219","1180","1181","1256","1445","1257","1255","1370","1217"
"853","2781","2705","2826","2822","2779","2825","3018","2820","2663","2623"
"854","627","629","592","704","556","554","661","553","662","557"
"860","1286","1248","1556","2970","1596","1210","869","1668","1097","832"
"864","1253","3038","1292","1252","1140","1329","1291","1367","1175","1290"
"868","1108","1146","1104","1029","1070","1222","1184","1340","1073","1142"
"879","407","481","520","445","558","596","482","559","556","555"
"885","1140","1099","1178","1175","1292","1063","1212","1250","1102","1097"
"889","521","485","588","517","589","662","484","556","555","661"
"924","2881","2919","2845","2883","2917","2884","2875","2885","2876","2968"
"939","1291","1253","1292","1368","1364","988","1593","1401","1630","1709"
"943","3038","1292","1368","1330","1291","1364","1367","1329","1253","1099"
"944","1839","1685","1872","1916","1697","1691","2179","773","3029","2256"
"945","1384","1119","1458","2949","1081","1385","1077","1462","1613","1230"
"956","1123","1125","1050","1126","1089","1088","1315","1391","1051","1049"
"1009","1685","1686","1724","1683","1687","1760","1762","1763","1722","1725"
"1015","1405","1783","1708","1818","1746","1744","2203","2127","2165","2126"
"1017","3004","1052","1049","1053","1015","1055","1125","1397","1357","1359"
"1028","1088","1009","1051","1085","1084","1050","1013","1086","1052","969"
"1030","264","303","302","301","2935","263","225","265","266","304"
"1032","491","490","451","378","492","337","452","380","532","415"
"1033","263","380","341","304","340","376","342","378","303","301"
"1036","341","380","379","416","415","492","414","340","342","378"
"1039","721","681","794","680","679","2950","755","757","2161","719"
"1041","1094","3025","947","948","829","1025","1026","987","949","981"
"1045","1245","1055","1091","1282","1093","1054","1358","1361","1052","3004"
"1050","1057","1019","981","982","978","1092","3025","864","1020","1169"
"1087","1163","1695","1466","1155","1127","1160","1735","1734","1431","1697"
"1097","1193","1232","1153","1230","1228","1190","1268","1195","1150","1191"
"1099","74","34","37","30","38","32","114","36","35","107"
