,Ilp4,CG8147,tsh,fkh,dan,ImpE2,apt,knrl,Cyp310a1,CG43394
,Ama,Antp,edl,ImpL2,oc,disco,D,kni,bun,noc
,twi,croc,gt,fj,aay,zfh1,h,run,Mes2,nub
,lok,brk,Traf4,sna,Btk29A,Blimp-1,danr,MESR3,dpn,Ance
6,1195,1422,1383,1154,1420,1347,1191,1233,1153,1384
7,644,304,608,225,300,226,303,185,299,187
21,1112,1073,1113,1114,1071,1152,1146,1076,2936,1151
31,1384,1385,1116,1156,1121,2949,1075,1348,1120,1349
62,883,765,802,801,690,727,799,774,762,692
71,255,294,292,265,253,290,291,414,416,3009
75,1632,1671,1670,1708,1557,2989,2956,1634,1520,1668
77,2469,2467,3006,2428,2930,2431,2429,2470,2466,2465
80,2667,2665,2669,2666,2628,2707,3018,2703,2702,2744
94,1556,2970,1519,1555,1557,1558,1516,1594,1595,1250
104,529,568,492,528,532,491,494,493,489,451
105,225,300,189,227,184,222,2957,226,264,302
111,1189,1073,1150,1226,1228,1149,1109,1111,1075,1072
121,1161,1198,1086,1199,1236,1125,1163,1237,1160,1274
124,1219,1218,1181,1255,1257,1220,1180,1142,1294,1068
125,1270,1269,1196,1205,1274,1237,2980,1190,1235,1587
147,1163,1167,1129,1205,1202,1201,1203,1206,1168,1165
154,848,960,770,818,653,1877,966,823,767,862
164,1214,1252,1291,1253,1213,1215,1328,1290,1292,1254
172,341,416,415,454,494,529,414,379,492,377
189,1522,1219,1682,1333,1295,1445,1181,1218,1068,1257
190,1052,1013,1090,1015,1054,1051,1088,1050,1055,1086
226,2638,2678,2599,2639,2641,2939,2601,2679,2681,2637
229,1422,1347,1383,1384,1195,1345,1307,1386,1460,1385
258,1390,1276,1277,1392,1278,1391,1394,1164,1281,1352
283,362,247,325,285,326,400,286,2995,361,324
286,2941,1245,1169,864,1243,1131,787,1207,786,785
292,1160,1123,1466,1155,1163,1125,1086,1391,1427,1464
296,2949,1384,1116,1077,1118,1081,1155,1078,1153,1075
301,2949,1150,1075,1384,1111,1190,2936,1077,3007,1112
303,3014,1178,1139,1140,1063,1174,1329,1216,1098,1101
309,1252,1214,1253,1254,1291,1215,1290,3038,1251,1292
343,1916,2028,1991,2971,1990,2104,1956,1989,2068,2067
346,1140,1175,950,1213,874,1252,912,873,1212,1253
364,263,340,2935,303,342,338,301,265,378,302
365,2689,2729,2731,2727,2730,2725,2690,2695,2767,2768
375,1794,1833,1719,1914,1832,1793,1757,1834,1945,1795
377,416,415,341,454,414,379,377,418,494,417
381,1044,1006,1083,1007,1005,967,1045,1196,1047,1003
392,786,747,2941,748,824,749,823,711,675,787
393,1040,1075,1190,1037,1230,1150,1228,1270,1193,1192
403,775,811,812,809,699,807,844,814,737,735
417,1479,1518,1592,1593,1630,1556,1517,2970,1515,2944
430,518,481,552,515,480,555,590,482,513,553
431,1177,1174,1101,1139,1063,1102,1137,1025,1138,1250
443,1257,1255,1294,1522,1220,1447,1219,1217,1218,1597
447,492,454,453,341,377,490,494,455,417,379
453,1175,1099,1138,1250,1137,1212,1100,1098,1101,1178
458,1561,1560,1598,1524,3034,1559,1521,1294,1564,1527
463,1658,1661,1662,1663,1660,1734,1624,1626,1692,1733
466,801,876,802,837,840,803,916,727,726,879
472,1534,1685,1683,1914,1493,1568,1840,1038,1567,1001
475,1653,1345,1343,1385,1347,2255,2179,1307,1386,1384
501,1128,1091,1013,1085,1055,1052,1009,1084,1131,1129
516,162,164,168,122,125,3012,120,165,166,163
520,158,155,193,153,192,156,270,269,195,572
522,812,808,848,1120,774,773,737,966,735,805
533,478,403,443,479,476,401,438,439,365,367
562,2949,1384,1569,1648,1646,1649,1644,1342,1609,1150
572,1321,1168,904,827,866,3004,826,864,2962,1170
593,2253,1383,1426,2255,1428,2332,1429,1380,2039,1387
620,1083,1196,1049,1048,1123,1163,1125,1156,1086,1047
680,986,987,948,947,1251,1290,874,988,909,1252
686,813,774,847,808,775,811,924,697,810,926
694,481,443,482,407,517,445,483,596,518,559
698,1055,1092,1091,1052,1013,1054,1053,670,1015,633
705,1495,1687,1496,1724,1568,1494,1802,1534,1571,1533
737,1949,1988,1910,1948,2025,2026,1951,1907,2065,2027
744,1085,1084,1088,1087,1050,1048,1009,1082,1049,1051
756,2641,2682,2678,2645,2722,2685,2759,2676,2723,2601
758,1290,1251,1252,1253,3038,1328,1254,1287,1326,1214
767,1163,1122,1124,1129,1238,1167,1205,1201,1128,1164
791,1405,1367,1402,1443,1478,1746,1441,1708,1329,1744
795,1351,1313,1391,1428,1394,1120,1390,1353,1312,1088
798,946,909,910,871,872,908,869,985,1251,1254
803,896,897,821,898,864,861,819,860,822,857
810,2949,1075,1533,2936,1571,1608,1610,1572,1073,1606
812,212,251,175,364,2973,135,176,291,290,250
816,2712,2671,2670,2667,2792,2628,2669,2665,2707,2627
823,2943,1059,1402,1175,1212,1173,1292,1253,1401,1364
824,462,421,464,500,382,381,460,420,423,343
826,1228,1114,1152,1189,1195,1231,1269,1226,3035,1270
829,1243,1207,1312,2994,1244,938,1510,1549,896,1278
832,1200,1125,1201,1202,1238,2967,1165,1203,1237,1162
833,1069,1068,995,1378,1038,1033,1001,1031,1106,1530
843,1557,1290,1632,2989,1251,1670,1328,1634,2956,3030
848,917,1031,878,2986,880,915,841,1070,879,839
855,1445,1978,1940,1939,2960,1980,1941,1711,2016,2017
861,2332,2251,2483,2257,2484,2485,2250,2523,2524,2522
867,3030,1520,1634,1557,2956,1671,1672,1558,1668,1709
880,21,23,60,54,32,19,10,2937,28,2976
905,1096,1134,792,1138,832,1136,1137,1059,1133,1210
919,537,536,535,611,574,572,571,534,610,576
923,1269,1160,1163,1239,1162,1236,1305,1199,2967,1198
934,889,1115,1611,1610,1648,1573,1649,1572,1011,1658
937,1043,1081,1118,1042,1048,1080,1049,1078,1119,1079
959,1031,1070,1068,1032,1034,1028,951,955,1027,953
963,1228,1533,1189,1226,1073,1075,1111,1149,1112,3007
974,938,778,971,972,901,1012,815,709,1312,940
999,1691,1771,1692,2980,1236,1160,1425,1736,1157,1197
1004,1522,1561,1598,1560,1559,2016,3034,1521,1524,2018
1020,1364,1401,1325,983,1402,1288,1629,1553,831,1667
1037,2521,2598,2560,2478,2523,2600,2516,2601,2524,2485
1044,1671,1632,1708,1670,1557,2989,2956,1634,1520,1672
1048,1216,1175,1139,1213,3014,1026,1292,1063,1212,1140
1059,340,338,379,342,263,874,304,185,873,644
1065,896,822,859,2941,820,745,785,782,934,781
1072,1163,1160,1162,2967,1049,1083,1048,1125,1161,1166
1078,185,186,184,188,146,149,224,187,150,262
1082,1130,1245,1663,1055,1054,1168,1738,864,863,979
1112,1918,1958,1921,1922,1959,2070,1885,1997,2946,2034
1123,1291,1213,1214,1215,1328,1292,1253,1252,1329,1216
1143,1055,1206,2994,1052,1169,1013,1131,1129,1167,1282
1150,1162,1125,1163,1127,2967,1166,1161,1164,1199,1088
1152,794,831,755,719,757,798,756,683,721,681
1161,1940,2960,1941,1978,1750,1751,1483,1749,1713,1486
1176,1556,1519,2970,1557,1555,1594,1595,1516,1442,1481
1195,1086,1047,1083,1045,970,1237,1007,1124,1243,1274
1200,2982,2668,2633,2672,2635,2710,2632,2676,2639,2713
1203,1088,1050,1051,1090,1012,1353,1315,972,1319,971
1209,1270,1269,1230,1499,1231,1580,3035,1460,1306,1537
1213,835,683,794,836,719,798,757,756,874,760
1231,379,340,341,378,263,377,454,342,417,418
1232,379,340,341,342,415,263,2935,416,454,303
1236,438,247,362,324,437,286,478,475,401,476
1244,1384,1719,1228,1685,1226,1189,1683,1150,2023,2022
1256,2978,422,382,384,460,343,420,498,381,3011
1260,1200,1125,1163,1238,1237,1201,1274,1202,1235,2967
1293,896,820,928,892,859,822,891,784,853,824
