,Ilp4,CG8147,fkh,tsh,dan,ImpE2,CG43394,knrl,apt,Ama
,Cyp310a1,ImpL2,twi,kni,Antp,D,noc,oc,nub,bun
,fj,edl,Mes2,disco,run,aay,croc,sna,Btk29A,lok
,h,gt,zfh1,Blimp-1,Traf4,brk,dpn,CG11208,rau,Ance
1,59,176,57,93,136,61,134,94,95,214
2,821,2941,784,819,785,782,709,781,783,856
9,1032,1071,1033,1070,1147,1110,2936,1146,1148,1109
12,1163,1126,1127,1128,1089,1087,1162,1088,2977,1160
27,286,362,213,285,324,251,215,172,212,178
30,1413,1223,1451,1299,1450,1261,1259,1221,1228,1191
36,464,500,347,465,425,462,461,2978,611,427
41,988,1140,1178,1062,949,1367,950,794,912,798
51,2806,2810,2772,2804,2769,2811,2698,2766,2765,2809
56,214,252,139,177,172,175,145,174,212,173
58,1367,1405,1290,1402,1251,1440,1328,1252,1292,1671
69,1214,1292,1291,1252,1329,1253,1213,1215,1175,988
81,1128,1091,1160,1129,1163,1130,1168,1395,1092,1127
90,1138,1250,1137,1254,1061,1099,1211,1175,1102,946
95,1023,1706,1060,985,1708,798,1024,757,1710,720
115,1054,1013,1049,1055,1093,1245,1016,1048,1053,1017
130,1114,1080,1116,1115,1152,1076,1118,1081,1112,1043
131,1155,1040,1002,1001,1010,1078,1039,1077,1037,1046
143,849,741,815,852,809,3033,474,808,811,843
157,1252,1253,1175,1254,1292,1212,3038,1214,1290,2943
167,1059,1060,1136,1058,1096,1402,1401,1438,1363,1099
180,38,107,32,75,74,34,144,37,108,2937
209,1232,1193,1270,1231,1233,3035,1306,1234,1230,1190
212,338,2935,303,336,377,414,416,301,418,226
228,909,946,874,988,835,873,950,836,912,1249
264,834,946,869,833,908,1100,871,872,1173,909
275,1980,1982,1939,1979,1981,2022,1945,2205,1978,2244
304,415,416,414,492,644,3016,608,454,417,570
308,341,263,380,342,379,340,378,301,492,494
315,646,605,607,683,603,680,644,645,682,642
328,1144,1105,1071,1142,1065,1104,1146,1070,1103,1183
331,1214,1252,1291,1213,1292,1175,1329,1253,1328,1215
344,1367,1405,1402,1708,1443,1671,1746,1668,1478,1744
357,1252,1290,1292,1291,1251,1214,1329,1367,1253,1328
