,Ilp4,tsh,fkh,CG8147,ImpE2,dan,knrl,apt,kni,Cyp310a1
,CG43394,ImpL2,Ama,D,Antp,oc,fj,noc,nub,disco
,bun,twi,run,edl,gt,aay,Mes2,h,lok,Traf4
,zfh1,Blimp-1,sna,dpn,Btk29A,croc,Ance,danr,Kr,brk
4,53,89,88,125,91,162,57,85,49,126
16,2838,2919,2834,2881,2911,2840,2835,2907,2839,2921
20,459,382,572,384,685,343,537,727,420,458
22,1210,869,1248,1288,946,985,1286,1250,2943,1325
38,1177,1216,2943,3014,1026,1139,988,1063,1140,1102
57,1081,1083,1043,1118,1045,1119,1120,1196,1121,1156
68,2668,2635,2636,2939,2593,2670,2627,2594,2712,2592
91,88,93,46,162,95,94,89,57,84,53
109,1106,1068,1069,1104,1144,1065,1105,2936,1142,1143
132,71,2933,107,109,112,144,76,110,111,73
135,263,340,224,226,304,189,303,342,187,225
148,2678,2641,2677,2758,2760,2715,2759,2676,2939,2717
179,1174,1329,1177,1139,1178,1140,3014,1101,1102,1134
183,1661,1697,1662,1737,1659,1624,1738,1623,1696,1699
187,1013,1052,1015,1125,1053,1130,1129,1092,1169,1055
188,1010,1120,777,708,1123,1014,742,707,977,475
201,1052,1013,2994,1129,1015,1243,1090,2977,1207,1051
202,2208,2209,2362,2366,2179,2247,2292,2324,2332,2291
213,438,472,476,401,505,542,2958,475,434,435
222,680,641,603,643,678,642,679,639,716,682
233,2928,60,10,17,52,21,2974,12,81,15
238,1336,2988,1031,1069,1339,1110,1295,1261,1182,1109
248,3038,1364,2943,1289,1325,1405,1327,1290,1251,1367
250,1294,1333,1295,1256,1296,1255,1257,1179,1220,1372
255,1696,1695,1657,1698,1660,1433,1697,1619,1656,1735
268,188,225,300,226,224,190,227,228,304,189
281,1175,1212,1213,1176,1250,1253,1214,1254,1291,1285
282,3030,1520,1593,2989,1630,1709,1634,1557,2956,1291
288,1215,1214,1025,1139,1022,1063,1174,1292,1023,1021
298,1520,3030,1558,1633,1634,1557,1672,1594,2956,1595
300,1327,1289,1442,1213,1291,1520,1406,1214,1216,1558
310,2949,1190,1270,1075,1150,1384,1229,1230,1228,1189
317,1613,1685,1683,1037,1074,1153,1075,1916,1150,2936
318,1086,1047,1048,1083,1049,1009,1045,1085,1084,1124
329,1343,1345,1307,1116,1151,1384,1347,1076,1385,1533
335,1155,1691,1771,1994,2036,1995,1695,1767,1954,1733
358,3033,588,621,587,623,550,514,624,657,582
362,2938,642,684,646,565,567,719,683,603,680
367,1649,1648,1916,1646,1878,2971,1873,1643,1872,1644
387,2938,645,646,642,684,644,607,494,3016,683
396,1175,1212,835,836,1250,798,1099,756,645,1213
415,2880,2843,2882,2839,2847,2835,2881,2797,2841,2795
422,521,588,596,481,558,559,484,551,522,445
441,1978,1939,1980,1940,1941,1907,2960,2016,2017,2167
442,1083,1658,1650,1086,1695,1696,1697,1047,1045,1081
452,1213,1175,1212,1292,1214,1250,1216,1291,3014,1329
465,54,13,15,38,51,2937,10,12,55,2976
476,997,959,998,1228,996,1189,1226,957,1149,922
478,1195,1236,1198,1199,1271,1235,1161,967,1308,1160
484,1052,1090,1051,1013,1088,1050,1015,1282,2994,1245
500,1013,1088,1050,1052,1051,1090,1086,1054,1015,938
525,1253,1520,1252,2996,1634,3030,874,1672,2956,1596
526,1126,1087,1089,1013,1124,1052,1128,1088,1164,1050
530,134,364,436,404,291,323,433,367,129,362
539,1306,3035,1535,1305,1420,999,1497,1038,1153,1611
541,1522,1597,3034,1524,1560,1639,1521,1561,1447,1598
543,2788,2669,2785,2787,2667,2825,2707,2781,2822,2779
550,673,637,709,711,676,748,749,747,674,635
564,2641,2602,2678,2604,2601,2682,2599,2645,2680,2759
565,2804,2806,2810,2735,2765,2811,2984,2807,2769,2698
567,3014,1174,1098,1139,1216,1063,1026,1175,1330,1140
583,2715,2675,2713,2674,2754,2756,2676,2678,2717,2716
590,1175,1212,1250,2943,988,1558,1516,794,1177,1292
591,1879,1613,1878,1880,2949,1875,1918,2105,2971,1571
606,75,2933,112,109,224,71,183,107,38,111
612,812,773,882,774,807,810,777,770,809,741
628,985,988,946,2943,981,869,874,835,949,906
631,1443,1708,1671,1746,1478,1557,1668,1519,1744,1706
638,442,403,367,406,443,479,438,408,444,405
648,1327,1289,1364,1326,1325,1362,1286,1248,1328,1324
666,1215,1214,1252,1291,1213,1253,950,1328,874,1290
691,1063,1098,1102,1099,1026,1250,1175,1101,1213,1064
728,2956,1634,1748,1822,1672,1482,1785,1823,1786,3030
738,864,827,1130,787,863,826,790,828,786,862
748,1054,1016,1053,1017,1093,979,900,977,1130,940
799,1711,1980,1907,1942,1905,1712,1939,1673,1869,1943
800,1460,1537,1574,1499,1612,1502,1541,1193,1270,1542
802,1062,1063,1290,1098,1251,1023,1099,1367,1101,1252
811,1327,1291,1289,1215,1328,1214,1364,1253,1326,1404
821,1083,1697,1054,1049,1696,1055,1048,1698,1695,1093
839,596,595,559,521,561,558,486,588,624,485
851,1163,1128,1125,1091,1127,1130,1205,1129,1167,1126
858,1328,1214,909,1289,1291,874,1327,869,950,912
887,1039,1190,1042,1037,1075,1074,1115,1001,1000,1038
892,1063,1098,1096,1025,795,796,798,986,987,1101
897,304,225,227,300,226,302,189,187,264,303
911,2994,1206,1207,1243,1282,3004,1167,1205,1358,1245
915,1150,1417,1190,1685,1686,1683,1413,1687,1229,2952
925,1405,1402,1364,1326,1443,1325,1401,1290,1367,1365
928,1313,1351,1200,1349,1350,1504,1357,1388,1348,1277
935,1520,1558,1406,1709,1708,1444,1824,1482,1860,1634
936,32,38,34,74,28,37,73,35,22,114
942,566,527,489,529,488,604,453,526,450,487
994,1858,1897,1934,1819,2047,2050,2124,2048,2086,2046
1002,151,150,148,379,75,224,340,3013,114,341
1006,474,475,403,275,311,313,312,249,3032,349
1014,2370,2332,2445,2446,2484,2367,2291,2371,2331,2408
1016,422,425,462,464,460,347,463,500,465,383
1021,350,347,353,387,462,427,312,3032,348,313
1026,756,798,720,757,988,642,794,874,532,1140
1051,362,473,468,429,400,438,437,503,427,433
1068,1086,1011,1088,1050,1046,1051,1090,970,1390,1012
1079,1442,1480,1478,1250,1367,1329,1098,1176,1099,1405
1083,1685,1190,2949,1150,1645,1683,1613,1075,1568,1037
1095,1252,1520,3030,1290,1251,1634,1291,1557,1672,1558
1102,1115,1153,1190,1150,1113,1154,1155,1152,1077,1228
1103,2970,1556,1596,1593,1631,1669,1630,1671,1594,1557
1115,1840,1568,1839,1879,1229,1230,1994,2105,2028,1534
1118,1556,1593,1596,2970,1668,1630,985,1631,1671,1290
1122,1522,1483,3034,1447,1560,1598,1486,1521,1559,1561
1124,1173,1212,1630,1666,1175,1518,1593,1253,1478,1097
1135,802,805,807,844,769,2987,804,766,765,729
1137,416,341,415,380,414,379,377,418,417,494
