,Ilp4,CG8147,tsh,fkh,ImpE2,dan,knrl,apt,CG43394,Cyp310a1
,Ama,kni,ImpL2,Antp,twi,edl,D,disco,oc,bun
14,1395,1358,1435,2193,1429,1662,1432,1428,1321,1391
37,341,416,379,380,378,415,377,414,418,417
39,794,793,721,681,755,717,718,792,830,754
64,1533,2949,1384,1613,1304,1608,1571,1532,1495,1383
78,1074,1033,997,1032,998,1037,1070,999,921,961
89,475,437,936,705,706,667,668,669,974,742
92,378,570,379,380,2935,375,341,340,342,376
99,1342,1569,1414,1188,1607,1646,1375,1567,1648,1644
101,1245,1169,1131,1130,3004,1286,1093,1321,1248,1283
107,94,96,93,98,136,95,88,134,132,97
116,2160,2197,2161,2156,2198,2233,2200,2238,3001,2237
126,92,136,62,49,25,94,2973,96,176,134
129,1121,1155,1120,1196,1193,1160,1158,1384,1195,1348
134,1973,1935,3027,2012,1972,2011,1936,2010,1898,1937
138,2512,2511,2284,2510,2245,2433,2513,2550,2548,2471
139,873,911,949,874,912,950,988,2938,797,684
144,2941,935,777,933,932,972,973,900,971,1012
163,1519,1556,1479,2970,1557,3038,1517,1555,1594,1516
165,1252,1444,1482,1520,1406,1443,1558,1481,1519,1556
176,2178,2065,2213,2026,2137,2251,1986,2212,2250,2174
177,1662,1629,1591,1553,2119,1468,2193,1286,1431,2046
194,1203,1202,1201,2967,1165,1164,1204,1205,1163,1315
196,1226,1189,1228,1151,1227,1150,1190,1266,1149,1188
199,2553,2591,2592,2551,2629,2627,2593,2626,2630,2628
206,536,497,498,535,574,459,537,572,612,650
208,303,2935,301,304,416,338,299,415,414,377
215,1125,1087,1049,1200,1126,1088,1013,1124,1086,1050
223,1160,1123,1349,1348,1387,1386,1347,1424,1270,1385
240,265,263,301,303,185,340,264,224,226,225
242,2958,542,579,505,503,504,506,541,540,502
245,1173,1210,1248,1286,981,983,1174,831,829,907
252,1291,1253,1214,1215,3014,1252,1213,1329,1292,1328
262,1384,1466,1424,1387,1386,1385,1349,1422,1348,1347
270,1335,1069,1068,1375,1031,1030,989,1414,1106,1067
274,789,938,900,976,824,939,901,977,790,786
279,707,709,824,747,786,823,748,737,774,862
285,2161,1249,1177,2200,2160,2047,2201,1709,3001,2198
302,2030,2949,2028,1384,2066,1995,1383,1422,1685,1994
305,1709,1440,1747,1249,1822,1819,1858,1286,1856,1896
326,1907,1872,1983,1910,2021,1948,2020,1981,2024,2060
348,1557,1632,1821,1405,1670,1249,1367,1671,1708,1668
373,1160,1083,1045,1082,1123,1122,1084,1159,1085,1198
383,1120,1081,1043,1121,1119,1158,1157,1080,1118,1042
384,3014,1214,1216,1175,1213,1139,1252,1098,1253,1212
411,1384,1155,1193,1268,1230,2949,1192,1422,1304,1153
414,1444,1481,1443,1482,1520,1406,3030,1558,1405,1557
418,2030,1954,1995,2028,2066,1994,2183,2068,2067,2104
455,286,291,251,213,172,212,215,247,252,3009
462,91,46,94,49,89,52,53,86,92,96
494,1298,1335,1222,1297,1183,1375,1219,1296,1184,1258
496,676,677,790,754,639,753,789,792,679,675
515,2207,2206,2169,2167,2246,2168,2129,2243,2093,2130
542,1219,1218,1298,1179,1181,1180,1183,1143,1182,1294
546,889,925,926,924,1001,886,887,1000,848,847
547,397,394,355,317,393,354,353,316,432,392
555,1384,1459,1496,1533,1534,1495,2949,1268,1304,1230
571,2937,24,30,32,22,28,38,26,36,16
608,2860,3028,2790,2791,2749,2751,2826,2794,2792,2752
614,2065,1988,2026,2108,2102,2032,2031,2178,1993,2106
624,979,1014,941,1177,903,829,3029,865,830,1587
644,3004,1283,1321,1131,1130,1168,1169,1361,1323,1092
649,949,911,988,950,798,873,912,2943,985,1175
653,1177,1173,2943,1139,985,1215,1138,1174,949,1100
654,220,181,218,219,293,258,184,330,296,222
657,1253,1291,2943,1329,1292,1368,1330,1214,1213,1177
665,1155,1153,1193,1192,1115,1230,1154,1191,1190,1268
672,984,986,947,1062,1023,987,1022,1101,948,1024
714,292,145,3009,146,253,484,186,523,215,251
716,642,607,567,682,644,3016,643,604,569,603
739,459,425,461,498,499,497,533,496,463,536
745,229,46,89,47,88,81,53,345,41,387
746,139,140,176,141,2973,136,177,178,214,175
749,1290,3038,1251,2943,1288,1176,1367,1250,1254,1405
750,1405,1406,1367,1520,1557,1252,1290,3030,1558,1251
752,1116,1154,1077,1192,1193,1191,1078,1230,1117,1080
757,2943,1253,1175,1212,1368,1479,1288,1517,1213,1516
761,1210,1248,1286,1288,3038,1137,985,1249,1211,1138
768,981,977,976,939,978,938,940,901,1130,900
773,1214,1215,1213,3014,1177,1139,1174,1291,1178,1216
790,1205,1167,2994,1129,1206,1282,1128,3004,1091,1245
801,1081,1043,1119,1158,1042,1080,1157,1118,1155,1156
