,Ilp4,CG8147,tsh,fkh,dan,ImpE2,apt,knrl,Cyp310a1,CG43394
,Antp,ImpL2,D,Ama,kni,oc,noc,disco,nub,run
,fj,edl,bun,croc,twi,lok,aay,zfh1,Mes2,gt
,Btk29A,Traf4,sna,h,MESR3,Blimp-1,dpn,Ance,brk,CG11208
15,185,224,184,187,226,148,222,151,2957,189
33,1091,1167,1052,1206,1055,1129,2994,1168,1053,1205
54,276,280,240,241,239,312,242,319,201,272
59,1567,1569,1529,1570,1527,1531,1878,1566,1530,1564
65,503,465,502,430,463,464,431,467,466,504
82,1083,1196,1043,1155,1118,1119,1156,1045,1079,1081
98,2678,2638,2639,2679,2677,2637,2636,2680,2939,2681
103,1099,1253,1175,1329,1292,1176,1212,1254,1138,1368
127,2996,1520,3030,2956,1634,1593,1556,1671,2970,1596
133,973,2967,1276,1353,1201,1278,1164,1277,1238,1202
149,1086,1124,1391,1394,1087,1088,1090,1122,1055,1049
156,1405,1443,1367,1402,1478,1746,1708,1744,1441,1748
181,34,147,106,38,110,32,109,73,114,28
210,2781,2826,2855,2861,2822,2813,2865,2862,3028,2795
214,340,263,301,342,491,303,265,570,299,416
218,1289,1327,1328,1288,1326,1364,1366,1325,1404,1290
219,1090,1052,1051,1088,1013,1050,1049,1053,1015,1089
225,2064,1917,1913,2030,2102,2100,1914,2104,1949,2061
227,2941,784,901,902,785,978,863,970,1007,786
236,839,840,765,763,803,801,764,2987,917,725
254,973,971,1276,933,972,1277,974,1278,1012,1239
257,2179,2258,2253,2255,2332,2219,2216,1422,2257,2215
260,1427,1504,1538,1502,1503,1539,1426,1613,1690,1428
267,607,682,646,645,643,605,644,684,3016,565
269,2644,2643,2682,2603,2645,2722,2685,2646,2681,2684
271,2730,2729,2695,2690,2770,2984,2728,2735,2621,2581
276,1445,1255,1257,1220,1978,1483,1939,1940,1447,2960
277,943,905,867,873,3016,950,912,684,911,874
278,674,637,635,675,3029,676,714,787,786,709
295,1014,1347,1312,1346,1386,1321,1283,1307,1385,1345
314,1250,1402,1442,1328,1213,1175,1098,1212,1292,1063
322,158,155,156,153,193,192,157,270,197,194
325,1190,1228,1229,1230,1189,1153,1188,1226,1192,1150
333,1013,1086,1120,1124,1052,1313,1122,1054,1351,1083
334,1054,979,900,981,1020,1130,904,828,982,1014
339,646,607,684,683,642,644,3016,680,605,608
354,977,1053,975,937,746,744,1011,974,669,742
369,2581,2618,2579,2539,2691,2584,2731,1823,2543,2544
378,162,168,164,166,165,3012,125,129,163,134
412,492,415,416,491,341,494,414,454,380,455
420,2590,2591,1269,2630,1267,2628,2633,2668,2672,2557
424,760,794,757,798,755,756,831,717,988,2943
456,529,494,606,414,646,644,642,645,526,684
473,1271,1270,1196,1308,1234,1269,1232,1079,3035,1195
502,38,11,32,107,34,149,144,181,2937,146
510,774,925,962,1002,771,922,733,846,661,920
538,915,914,2986,913,953,952,951,878,917,1030
544,1179,1031,1149,1298,1146,1070,1226,1112,1186,1068
553,789,3029,790,751,826,828,791,864,753,792
556,1130,1440,1093,1286,1174,1248,1096,1245,1210,1329
569,1219,1218,1181,1106,1141,1257,1183,1255,1179,1069
577,891,928,699,929,968,890,697,737,2955,1119
578,1140,1178,1099,1097,1063,1026,797,1175,1139,3014
581,1088,1126,1392,1316,1050,1390,1051,1314,1089,1090
594,789,751,3029,787,788,792,790,864,752,826
597,1054,2225,900,977,2306,979,899,2268,2266,2224
601,1556,2970,1557,1555,1594,1520,1595,1671,1668,1706
637,988,986,1025,948,987,947,874,798,1251,909
641,947,948,986,987,1026,758,1024,795,1025,1064
659,60,21,48,10,51,49,89,58,55,2976
660,921,883,884,922,878,885,914,886,876,919
662,1049,1048,1011,1013,1047,1052,1315,1045,1053,1083
676,3030,2970,1520,1556,1633,1557,2996,1594,1558,1555
681,3014,1100,1099,1216,1175,1139,1330,1212,1140,1026
685,2602,2599,2641,2601,2487,2604,2639,2678,2529,2682
690,1213,1214,1291,874,950,873,1520,912,3030,1215
722,1395,1433,1358,1429,1434,1397,1124,1128,1087,1432
732,1140,1520,1556,2970,3030,1558,950,1633,874,912
733,963,1001,962,1040,1000,999,1038,1039,1036,997
736,2382,1093,1055,1283,1016,1018,1054,1131,1056,2041
740,2455,2342,2457,2489,2528,2494,2526,2374,2495,2530
741,58,89,53,132,95,136,60,96,46,49
766,1229,1230,1304,1268,1266,1193,1190,1227,1192,1191
774,616,615,614,652,577,656,651,613,3033,612
780,1176,1290,1251,1254,1252,1213,3038,1175,1250,1253
788,1099,1063,1138,1026,1140,1102,1137,1097,1176,1098
807,1052,1128,1013,1050,1091,1015,1051,1088,1129,1090
808,2581,2618,2239,2539,2579,2584,2543,2544,2735,2545
814,1130,1168,1815,3029,1093,826,1504,2079,1852,751
818,1243,1278,2994,1207,1281,1277,1244,1052,1276,901
830,2936,1149,1217,1031,1150,1220,1188,1146,1226,1223
835,1220,1257,1181,1256,1255,1218,1219,1221,1217,1258
853,2822,3028,2825,2787,2781,2790,2783,2785,2791,2751
854,704,702,925,699,824,668,747,665,748,629
860,1556,2970,1558,1097,1140,1102,1063,1026,1519,1821
864,1252,1214,1253,1254,1291,3038,1215,1290,1251,1292
868,1144,1146,1105,1142,1182,1145,1106,1104,1108,1179
879,445,483,407,482,446,484,520,443,408,558
885,1175,1140,1099,1212,1178,1250,1216,1139,1213,3014
889,521,485,517,481,559,518,596,524,556,561
924,2838,2835,2875,2834,2869,2877,2839,2874,2881,2840
939,1290,1251,3038,1253,1254,1252,1328,1288,1291,1214
943,1254,3038,1290,1252,1253,1251,1214,1023,1328,985
944,1037,1156,967,966,1119,1194,928,889,1081,1040
945,1270,1269,1193,1230,1119,1192,1194,1268,1229,1081
956,971,972,1012,1275,1314,1050,1008,1088,1352,1316
1009,1685,1645,1683,1568,1646,1684,2952,1648,1643,1686
1015,1557,1708,1671,1668,1632,1706,1670,1367,2970,1290
1017,1125,2977,1392,1088,1390,1049,1011,1090,1051,1050
1028,1013,1085,1087,1048,1049,1052,1084,1009,1088,1050
1030,301,303,184,263,2935,262,264,377,414,416
1032,874,340,873,912,950,342,263,379,2935,2938
1033,341,416,415,380,414,379,452,532,529,530
1036,341,379,380,414,416,494,417,415,418,454
1039,1059,1402,831,1062,1061,793,794,983,1060,832
1041,1016,1093,1130,3029,826,1055,979,751,1054,788
1045,1055,1091,1245,1130,1054,1093,1017,1052,1053,1016
1050,864,787,824,786,826,827,788,749,747,748
1087,1466,1160,1163,1162,1127,1119,1155,1427,1432,1464
1097,1078,1118,1042,1043,1039,1081,1003,1115,1114,1075
1099,38,74,37,114,36,71,30,32,2937,6
1104,1153,1041,1039,1115,1042,1078,1040,1193,1150,1075
1109,1114,1112,1116,1113,1073,1077,1151,1152,1075,1080
1114,686,647,3023,3026,954,916,725,688,879,687
1120,2621,2581,2693,2691,2730,2618,2729,2731,2654,2695
1121,1130,1205,1738,1168,1055,1054,1163,1814,1093,2967
1125,224,151,148,3013,189,304,2957,227,188,225
1134,766,767,729,768,769,728,805,734,731,762
1163,1290,1251,1252,1214,1254,1253,3038,1328,1291,1176
1169,1367,1290,1251,1025,1250,1254,3038,1292,1097,1059
1178,988,798,835,757,836,794,756,797,949,760
1187,3038,1555,1364,1594,1668,1595,1325,1706,1592,1596
1189,950,874,873,911,912,946,910,1215,909,869
