,Ilp4,CG8147,tsh,fkh,ImpE2,dan,apt,CG43394,Antp,knrl
,Cyp310a1,ImpL2,Ama,D,kni,noc,twi,disco,edl,bun
,oc,fj,zfh1,nub,run,aay,croc,gt,lok,Mes2
,Traf4,h,Blimp-1,Btk29A,sna,brk,dpn,Kr,CG11208,CG10479
3,1250,1516,1518,1253,1515,1254,1556,1099,1364,1325
24,831,755,868,792,677,983,835,679,870,1210
28,1099,1059,1136,1097,1098,1138,1250,1061,1176,1060
29,2641,2677,2715,2676,2678,2639,2758,2716,2717,2760
40,2548,2514,2324,2207,2243,2285,2286,2589,2287,2284
44,1109,880,842,1069,841,840,839,1029,1108,1067
49,1735,1695,1772,1697,1731,1773,1776,1810,1433,1808
60,172,362,247,285,403,367,438,404,401,400
79,1020,754,1323,1325,1364,1361,1324,717,1254,1518
86,1083,1045,1123,1047,1086,1081,1043,1078,1118,1120
87,158,156,425,155,125,164,193,465,118,79
106,1149,1188,1226,1225,1190,1224,1189,1264,1228,1222
108,3030,1520,1634,1557,2956,1671,1672,1632,2996,1668
114,172,210,134,207,245,244,247,249,171,206
122,1367,1405,1402,1251,1708,1783,1746,1823,1744,1743
142,1125,1052,1129,1091,1128,1088,1049,1050,1205,2967
161,1593,2989,1630,1557,1668,1480,1671,1632,1670,986
166,206,205,243,132,161,213,166,165,204,290
169,501,572,538,611,537,610,539,576,575,541
171,2714,2752,2715,2673,2713,2753,2751,2755,2749,2757
175,291,328,327,365,326,364,2995,289,362,247
186,1088,1050,1051,1052,1049,1013,1090,1048,1011,1015
193,1251,1025,1140,1290,1063,1367,1102,1252,1062,1178
231,1193,1270,967,3035,1153,1232,1190,1269,1271,1306
239,1482,3030,1557,1558,1444,1367,1520,1748,1708,1785
243,370,371,483,446,407,406,444,445,484,373
253,1214,1252,1292,1291,1253,1175,988,1213,1329,1025
284,1053,1091,1125,1129,1128,1052,1055,1167,1205,1130
289,269,195,193,270,234,197,232,155,153,233
307,1324,1052,1282,1362,1357,1358,1245,1735,1326,1323
312,379,341,414,416,377,418,415,494,417,454
316,1160,1159,1122,1083,1196,1124,1125,1047,1155,1086
323,773,769,845,807,805,806,801,799,803,990
324,683,642,646,415,684,416,414,645,565,492
327,1411,1452,1681,1677,1717,1683,1754,1719,1643,1679
350,1155,1081,1043,1118,1153,1077,1079,1119,1116,1193
353,1239,900,1130,1241,1014,1163,1055,1243,938,970
363,2935,342,339,340,301,341,304,492,377,416
380,1160,896,863,1093,824,928,823,862,1017,979
388,2936,1071,1112,1150,1109,1075,1073,1146,1070,1148
390,2288,2253,2209,2972,2329,2258,2244,2291,2990,2208
391,1558,3030,2956,1520,1823,1671,1634,1668,1672,1783
397,22,52,14,28,38,19,20,33,10,15
399,2941,707,709,744,671,669,710,777,747,782
408,136,94,176,2973,63,59,57,127,101,98
419,38,34,74,2937,14,20,37,3019,15,30
429,1708,2956,1709,1671,1634,1672,1822,1860,1520,1668
432,1130,1168,1205,1093,1167,1132,1055,1054,1166,1131
434,931,1506,934,1433,1470,1472,1469,1435,1467,1125
445,1091,1130,1055,1167,1205,1245,1131,1092,1127,1128
477,1115,1037,1196,1119,1130,1156,1054,1055,737,1245
493,505,580,579,774,541,501,576,738,848,537
513,500,499,459,571,457,458,425,463,460,687
521,1130,1055,1245,1359,1093,1056,3025,1016,1283,1018
527,1155,1194,1230,1190,1229,1228,1268,1192,1153,1189
532,1189,1228,1226,1227,1149,1192,1190,1266,1268,1304
552,1252,1253,1251,1556,3038,2970,1291,2996,1214,3030
568,2826,2822,2788,2828,2707,2744,2825,2669,2787,2751
573,514,550,477,471,513,583,437,478,516,622
580,1153,1155,2949,1190,1150,1077,1154,1075,1156,1037
589,2751,2749,2752,2744,2712,2792,2707,2668,2666,2669
603,1163,1127,1200,1162,1087,1125,1049,1124,1166,1130
610,556,551,397,626,324,444,558,622,322,359
626,1159,1122,1083,1119,1124,1195,1158,1160,1156,1157
629,1214,1252,1324,1289,1291,1327,1212,1175,1292,1250
634,824,826,827,786,752,3029,1130,789,863,788
640,492,493,494,455,454,456,453,417,415,416
647,1253,1291,1214,1252,1292,1328,1254,1368,1251,1213
658,2496,2233,2457,2498,2461,2455,2534,1994,2459,2532
668,2943,1292,988,874,1175,1213,912,873,1177,1212
670,1086,1049,1047,1013,1048,1009,1083,1085,1124,1045
675,683,646,642,684,3016,607,644,645,608,494
678,2581,2617,2615,2691,3002,2618,2655,2654,2768,2730
