,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
6,988,1292,1330,1368,1406,1444,3038,1482,1520,1558
7,225,304,303,340,2935,378,377,414,452,490
21,1071,1112,1111,1074,1033,1036,995,998,960,922
31,1532,1533,1494,1456,1495,1418,1380,2949,1342,1304
62,690,2509,728,2585,689,727,726,2987,766,729
71,818,380,341,379,416,415,342,453,780,741
75,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
77,2733,2693,2695,2655,2808,2692,2691,2690,2689,2769
80,2064,958,2026,920,882,844,1989,1951,843,881
94,2318,2356,2280,2394,2355,2393,3006,2930,2431,2430
104,414,451,489,452,526,525,563,600,599,636
105,75,32,28,35,74,37,26,66,24,22
111,1153,1155,1115,1191,1117,1079,1041,1003,965,927
121,1196,1153,1115,1191,1234,1158,1272,1310,1120,1082
124,1179,1181,1143,1105,1141,1067,1029,1219,1257,991
125,1270,1269,1307,1232,1194,1345,1383,1421,1459,1497
147,1128,1129,1090,1091,1053,1015,977,1052,1014,976
154,2599,2561,2598,2560,2559,2939,2597,2600,2596,2601
164,1252,1251,1290,1213,1175,1289,1327,1365,1403,1441
172,529,570,608,567,605,644,606,568,530,604
189,1027,1293,1255,1217,989,951,913,1065,1103,1141
190,1131,1091,1053,1169,1015,977,1129,1093,1055,1017
226,2637,2638,2636,2635,2634,2672,2633,2632,2631,2982
229,2421,2460,2458,2496,2457,2419,2456,2455,2454,2492
258,1885,1279,1317,1241,1923,1355,1847,1393,1431,1469
283,510,201,202,200,203,204,548,511,199,236
286,1586,2962,1624,1662,1700,1738,1776,2947,1814,1852
292,1160,1153,1115,1198,1191,1236,1274,1122,1312,1350
296,1077,1075,1113,1037,1151,1189,1227,2992,1265,1303
301,997,1264,1302,959,1035,1073,2936,3007,1149,1187
303,1860,1894,1822,1784,1746,1708,1932,2956,1898,1936
309,1252,1214,1290,1176,1138,1100,1062,1024,986,948
343,1644,1074,1682,1606,1568,1530,1492,1112,1111,1036
346,1288,182,1326,143,180,1364,103,1402,1440,1478
364,263,265,264,226,187,224,148,149,111,147
365,1709,1746,1747,1708,1784,1822,1785,1860,2956,1671
375,2064,925,2026,887,849,811,773,1989,1951,1988
377,414,66,26,24,22,452,28,32,35,74
381,1003,973,1011,965,927,1041,935,897,1079,1117
392,786,237,824,823,861,899,937,975,1013,1051
393,1167,1229,1228,1190,1205,1266,1304,1342,2949,1380
403,172,844,882,920,958,843,881,919,957,806
417,494,529,567,605,644,606,568,530,604,566
430,86,443,46,49,47,481,482,520,521,560
431,2619,2616,2579,2618,2656,2657,2732,2770,2731,2768
443,1255,1522,1484,1293,1217,1446,1408,1370,3034,1179
447,66,454,455,417,456,26,24,22,418,28
453,2659,2660,2735,2984,2734,2772,2810,2811,2999,2848
458,2015,2359,2397,2321,2931,2016,1978,2435,2434,2396
463,843,1661,1699,1623,1737,2945,1585,1547,1509,1471
466,685,686,724,725,763,687,649,3023,688,764
472,1001,974,1039,936,963,1012,1077,898,860,1115
475,1077,1343,1305,1267,1268,1230,1381,1419,1457,1495
501,1159,92,1121,1197,1235,1273,1311,1349,1387,1425
516,120,122,157,84,124,85,158,87,194,88
520,168,130,129,167,93,166,165,3012,164,163
522,849,1376,1338,1300,1414,1452,2975,1490,1528,1566
533,478,475,479,439,441,401,437,474,473,472
562,1644,1528,1490,2975,1452,1566,1414,1604,1642,1682
572,293,136,332,137,295,63,330,102,103,180
593,1380,1964,2949,1342,1304,1266,1418,1456,1494,1532
620,1091,1130,1053,1015,977,1092,1054,1129,1016,1168
680,379,341,380,416,415,342,453,492,490,491
686,847,811,849,885,923,961,887,925,999,773
694,407,409,3017,444,405,442,445,483,446,403
698,600,1246,1208,2932,1170,1132,1284,1094,1322,1360
705,997,1264,1302,959,1035,1073,2936,3007,1149,1187
737,1990,2032,2028,2070,2108,2107,2145,2183,1995,1957
744,1048,1049,1087,1125,1163,1201,1239,1086,1010,972
756,2246,2599,2939,2597,2596,2247,2284,2322,2360,2398
758,1251,1288,1326,1364,1402,1440,1478,1516,1554,1213
767,1113,1151,1075,1189,1227,2992,1265,1303,1341,1379
791,486,1140,1178,1216,1102,1064,1254,1026,988,950
795,1050,1051,1013,1088,1126,975,937,899,861,823
798,1596,1594,2970,1634,1672,1710,1748,1786,1824,1862
803,478,824,479,439,441,786,401,823,861,899
810,1075,2936,1113,3007,1149,1187,1225,1073,1035,997
812,216,136,137,63,102,103,180,143,182,98
816,2815,2667,2706,2666,2665,2953,2664,2668,2669,2707
823,1248,1286,1324,1210,1172,1362,1400,1134,1096,1058
824,2016,2018,2931,2015,2057,2019,2020,1982,1944,1906
826,1149,1189,1227,2992,1265,1303,1341,1379,1417,1187
829,900,728,862,690,938,976,1014,1052,1090,1128
832,1056,1018,980,1094,1132,1170,2932,1208,1246,1284
833,1965,2206,2167,2998,2205,1964,1926,1888,1850,1812
843,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
848,840,879,841,878,839,801,802,765,916,917
855,913,951,989,1027,1065,1103,1141,1179,1217,1255
861,2291,1613,1575,1537,1499,2292,2293,1461,1423,1385
867,379,2989,341,1632,380,416,415,342,1670,1555
880,2976,32,28,10,35,74,37,12,13,15
905,798,836,874,912,950,988,1026,1064,1102,1140
919,536,537,574,535,572,610,609,571,499,573
923,884,847,885,923,961,999,922,960,998,1036
934,889,1607,1569,1531,1645,1683,1493,1455,1417,1379
937,1049,1053,1091,1087,1015,977,1129,1125,1163,1201
959,955,956,917,993,1031,994,918,880,916,842
963,1174,1215,1177,1136,1098,3014,1139,1101,1063,1025
974,1039,2949,1342,1380,1304,1266,1418,1456,1494,1532
999,1153,1155,1115,1191,1117,1079,1041,1003,965,927
1004,991,1104,1142,1066,953,915,1029,1067,1105,1143
1020,1669,1706,1707,1668,1744,1782,1820,1858,1896,1745
1037,2478,2471,2433,2510,2511,2512,2475,2479,2517,2476
