,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
3,1438,66,1476,1514,1552,1590,1628,1666,1704,1742
24,219,2272,258,217,2310,2311,2235,2273,2312,2271
28,1438,1361,1323,1476,1514,1552,1590,1399,1285,1247
29,1831,1794,1832,1756,1793,3005,1755,1717,1679,1641
40,1978,2091,2130,2016,2931,2015,2093,2055,2056,2017
44,801,839,878,840,802,765,763,725,724,685
49,738,741,776,780,814,813,851,737,775,700
60,895,861,899,933,971,1009,1047,823,937,975
79,1323,1325,1361,1287,1249,1211,1363,1401,1439,1477
86,1043,1077,1081,1119,1005,1039,1001,963,1157,1195
87,46,61,86,49,60,100,64,104,67,47
106,1149,1189,1227,2992,1265,1303,1341,1379,1417,1187
108,263,265,264,226,187,224,148,149,111,147
114,403,172,440,402,210,442,405,444,3017,445
122,1708,1783,1821,1746,1745,1784,1822,1860,1859,1897
142,1205,1503,1465,1427,1389,1351,1313,1167,1541,1579
161,640,871,678,639,676,714,909,947,985,1023
166,517,443,518,516,515,480,477,476,481,482
169,496,533,534,495,497,536,574,535,572,610
171,2674,2675,2676,2639,2678,2982,2677,2713,2714,2715
175,365,440,402,404,403,2995,364,442,405,444
186,1049,1052,1087,1014,976,1090,1128,2977,1125,1163
193,2969,2691,2690,2769,2689,2692,2693,2655,2808,2733
231,1205,1167,1168,1130,1092,1054,1016,978,940,902
239,1558,1520,1482,1444,1406,1368,1330,1292,3038,1254
243,407,409,3017,444,405,442,445,483,446,403
253,1292,1330,1368,1406,1444,3038,1482,1520,1558,1254
284,517,588,518,516,515,550,549,586,480,477
289,229,205,230,191,192,153,193,194,158,157
307,1201,1167,1239,1205,1163,1125,1087,1049,1277,1315
312,341,342,379,380,416,415,453,492,490,491
316,1205,1196,1234,1167,1158,1272,1310,1120,1082,1044
323,2711,2631,2749,2788,2632,2633,2748,3028,2790,2791
324,645,683,607,722,644,605,606,568,530,567
327,1150,1146,1188,1108,1070,1032,1226,1264,1302,1340
350,1150,1153,1115,1188,1191,1226,1264,1302,1340,1378
353,478,3017,479,439,441,401,444,405,442,445
363,30,2937,36,38,16,14,11,6,4,2
380,2639,826,2678,2676,2675,2674,864,902,2982,2677
388,1153,1155,1115,1191,1117,1079,1041,1003,965,927
390,1153,1155,1115,1191,1117,1079,1041,1003,965,927
391,1634,1668,1706,1672,1744,1782,1820,1858,1896,1596
397,38,23,36,30,2937,21,19,54,52,51
399,400,478,479,439,441,401,442,405,444,3017
408,138,519,556,555,592,554,553,590,589,551
419,38,76,114,36,30,2937,73,37,74,35
429,1634,1668,1706,1672,1744,1782,1820,1858,1896,1596
432,828,789,866,904,942,980,1018,827,865,903
434,478,239,479,439,441,240,241,238,401,242
445,1091,1738,1700,1662,1624,1053,1586,1015,977,1129
477,1011,1048,973,935,897,1086,1010,972,934,896
493,884,1912,922,960,998,1036,1074,1112,1111,1150
513,723,725,724,685,763,762,761,799,837,875
521,1037,1074,1112,1111,1036,1075,1113,1151,1189,1227
527,1229,1230,1228,1190,1268,1267,1305,1343,1381,1419
532,1228,1202,1190,1164,1229,1240,1266,1304,1342,2949
552,1669,1706,1707,1668,1744,1782,1820,1858,1896,1745
568,2097,2555,2096,2095,2058,2556,2557,2595,2021,1983
573,481,517,482,518,516,515,520,521,480,477
580,1153,1155,1115,1191,1117,1079,1041,1003,965,927
589,2668,2677,2676,2639,2678,2675,2674,2982,2669,2713
603,704,668,703,630,593,631,632,594,665,706
610,587,521,625,520,482,481,624,585,626,627
626,1196,1153,1115,1191,1234,1158,1272,1310,1120,1082
629,1291,1292,1330,1253,1368,1406,1444,3038,1329,1367
634,517,556,518,555,516,515,592,554,553,480
640,108,109,144,106,105,107,31,70,142,65
647,1214,1253,1291,1329,1367,1405,1443,1481,1519,1557
658,1914,1875,2997,1951,1989,2026,2064,1988,1950,1913
668,874,2989,1632,912,950,836,1670,1555,1517,1479
670,1013,1082,1051,1120,1044,1158,1196,1234,1272,1310
675,645,683,607,722,644,605,606,568,530,567
678,988,949,987,1025,1063,1101,1139,3014,1177,1215
679,1175,1212,1250,1213,1251,1289,1327,1365,1403,1441
682,958,2064,2026,920,882,844,1989,1951,843,881
687,1013,1279,1317,1051,1241,1355,1393,1431,1469,1507
697,1620,2998,1658,1582,1544,1506,1468,1430,1392,1696
720,685,724,725,763,764,800,838,876,877,2986
724,1902,2130,1864,1826,1788,1750,1712,1674,1636,1598
735,1503,1202,1164,1465,1427,1389,1351,1313,1240,1541
753,1118,1119,1081,1043,1080,1042,1005,1156,1157,1195
764,1049,1011,1087,973,935,897,1125,1163,1201,1239
770,1154,1141,1192,1116,1179,1103,1065,1027,989,951
779,2247,2281,2246,2284,2322,2360,2398,2436,2207,2244
806,791,790,753,754,755,717,718,680,715,752
828,567,605,644,529,606,568,530,604,566,527
838,518,826,517,516,515,864,902,480,477,476
840,1592,1250,1212,1288,1326,1364,1402,1440,1478,1516
847,874,1215,1177,912,950,836,3014,1139,1101,1063
866,1821,1938,1783,1976,1900,1745,1862,1824,1786,1748
870,529,1859,1897,1821,1783,1745,1707,1669,1935,1973
883,259,139,257,294,255,140,141,218,101,176
890,380,338,341,379,416,415,342,453,492,490
896,567,605,644,529,606,568,530,604,566,527
902,1119,1194,1081,1043,1232,1270,1005,1269,1307,1345
907,716,602,679,601,638,641,564,677,527,637
918,715,753,754,755,717,718,680,752,751,643
947,1935,1937,1973,1899,1861,1823,1975,2013,1785,1747
961,1596,1633,1595,1634,1672,1710,1748,1786,1824,1862
964,1052,1472,1510,1548,1014,976,1090,1128,2977,1434
966,879,877,841,876,838,800,2986,915,953,991
982,529,570,608,567,605,644,606,568,530,604
986,2124,2163,2087,2125,2162,2950,2048,2010,3027,1972
992,1283,293,1321,1245,1207,332,295,330,3004,1359
1023,1130,1738,1700,1662,1624,1586,1092,1054,1016,1776
1025,2711,2669,2749,2788,2748,3028,2790,2791,2830,2793
