,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
,Doc2,Mdr49,Ilp4,ImpL2,rho,trn,CG14427,prd,Antp,CG10479
,peb,Mes2,Ama,bun,Traf4,tsh,Btk29A,knrl,MESR3,kni
,zen,NetA,dan,D,noc,htl,bmm,rau,fkh,Kr
,brk,sna,h,zen2,run,CG43394,pxb,dpn,Dfd,erm
,mfas,twi,ftz,tkv,E(spl)m5-HLH,lok,apt,gt,nub,oc
5,1389,1438,1427,1465,1503,1351,1313,1476,1514,1552
18,1184,1222,1145,1107,1260,1298,1336,1374,1412,1069
26,220,251,250,221,256,290,222,249,179,178
46,1155,3008,1117,1079,1398,1360,1322,1284,1246,1208
47,1054,1093,1055,1092,1130,1016,1168,1017,978,940
66,2885,2968,2888,2886,2887,2922,2919,2917,2916,2911
70,981,791,943,905,867,790,829,1019,1057,1095
83,1114,1112,1076,1111,1152,1074,1036,1038,1000,998
84,572,610,609,571,535,574,536,573,611,650
85,1025,1329,1367,1405,1291,1253,1443,1481,1519,1557
96,2523,2524,2485,2487,2525,2564,2527,2528,2529,2568
97,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
110,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
112,953,951,989,915,1027,913,991,1029,1067,1105
113,874,1328,1366,1404,1442,1480,1518,1556,912,950
128,645,684,607,646,3016,683,569,531,493,532
146,569,640,678,639,676,714,3016,646,684,531
151,114,32,76,28,35,74,37,26,66,24
153,794,645,756,757,793,831,869,907,945,983
155,1203,1204,1242,2967,1280,1318,1356,1394,1432,1470
173,1232,1153,1115,1270,1191,1194,1269,1307,1345,1383
178,2733,2689,2695,2808,2690,2691,2692,2693,2655,2769
216,2645,2682,2643,2642,2603,2641,2640,2601,2600,2561
244,1367,1329,1405,1291,1253,1443,1481,1519,1557,3030
246,2625,2587,2624,2588,2626,2586,2942,2548,2549,2550
247,3038,1671,1292,1330,1368,1406,1444,1482,1520,1709
259,379,2657,341,380,416,415,342,2732,2770,2731
261,2446,1037,2409,1075,1113,1151,1189,1227,2992,1265
321,1266,1150,1304,1342,2949,1380,1188,1418,1456,1494
332,72,31,70,107,109,34,71,110,2933,112
356,1099,1329,1367,1405,1291,1253,1443,1481,1519,1557
359,1245,400,1207,1283,1321,3004,1359,1397,1435,1473
370,1250,1139,1212,1101,1063,3014,1025,987,949,1177
395,3030,1557,1519,1481,1443,1405,1367,1329,1291,1253
400,1025,1329,1367,1405,1291,1253,1443,1481,1519,1557
402,1861,1938,1976,1900,1823,1862,1899,1824,1786,1748
405,1691,1810,1848,1886,1924,1729,1962,1772,1653,1615
407,988,684,1026,1064,1102,1140,1178,1216,1254,950
413,889,3031,198,160,161,163,164,3012,165,166
427,1065,2243,2282,1103,1141,1179,1027,989,951,913
438,1153,1155,1115,1191,1117,1079,1041,1003,965,927
440,263,265,264,226,187,224,148,149,111,147
461,709,749,748,747,788,750,713,785,2941,671
469,533,571,609,610,572,535,574,536,573,611
485,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
498,2875,2751,2838,2839,2840,2873,2750,2752,2753,2792
508,464,1001,1039,963,1077,1115,1153,1191,465,466
509,993,994,955,917,1031,956,918,880,916,842
511,478,788,479,439,441,401,750,713,749,748
537,1130,1052,1014,976,1092,1054,1016,1168,1090,1128
549,2915,2790,2791,3028,2830,2793,2879,2914,2918,2788
559,1360,1055,1093,1322,1398,1284,1246,1208,2932,1170
563,979,938,941,900,862,903,865,827,789,976
582,1015,675,977,1053,1091,1129,637,638,601,602
586,91,138,92,89,88,87,85,124,84,122
598,2003,1774,2041,2980,1736,1698,1660,1622,1584,1546
