,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
8,30,2937,36,38,16,14,11,6,4,2
11,14,16,11,6,4,2,3,42,5,8
17,2944,1288,1326,1364,1402,1440,1478,1516,1554,1250
34,1071,1112,1111,1074,1033,1036,995,998,960,922
35,66,32,28,35,74,26,24,22,37,18
48,2967,1205,1167,1242,1280,1318,1356,1394,1432,1470
50,1154,1116,1192,1230,1268,1267,1305,1343,1381,1419
63,173,174,175,214,210,172,208,206,170,133
67,1691,1954,1729,1992,1916,1878,1653,1615,1577,1539
72,1402,1441,1403,1440,1479,1517,1478,1516,1554,1365
74,1091,1052,1053,1015,977,1014,976,1129,1090,1128
76,2478,2547,2479,2517,2477,2439,2476,2475,2512,2511
93,1028,1255,1293,1217,990,952,914,1179,1141,1103
136,1251,1596,1634,1672,1710,1748,1786,1824,1862,1900
137,1481,1520,1443,1519,1557,1482,1405,1367,1329,1291
140,1131,2343,1169,1093,1055,1017,1206,2994,1244,1282
141,782,784,822,860,898,936,974,1012,1050,1088
160,1661,1623,1699,1737,2945,1585,1547,1509,1471,1433
191,1398,1360,1322,1284,1246,1208,2932,1170,1132,1094
204,3038,1292,1330,1368,1406,1444,1482,1520,1558,1254
205,1049,1153,1115,1191,1087,1125,1163,1201,1239,1077
221,1402,1441,1403,1440,1479,1517,1478,1516,1554,1365
234,1073,1380,2949,1342,1304,1266,1418,1456,1494,1532
235,2291,2597,2939,2292,2293,2599,2596,2329,2328,2979
241,1641,1681,1679,1717,1755,1719,1603,1565,3005,1527
249,1218,2396,2434,1180,1142,1104,1066,2435,2395,1028
256,1253,1252,1291,1329,1367,1405,1290,1443,1481,1519
272,950,988,912,874,836,1026,1064,1102,1140,1178
290,1141,913,1179,951,989,1027,1103,1065,1217,1255
291,1153,1155,1115,1191,1117,1079,1041,1003,965,927
294,951,1028,989,1027,913,1065,1103,1141,1179,990
320,1253,2935,1291,1329,1367,1405,1443,1481,1519,1557
336,1115,1232,1153,1270,1191,1194,1269,1307,1345,1383
337,2943,567,1215,1177,3014,1139,1101,1063,1025,987
338,444,1468,1506,1544,1430,1392,1582,1620,1658,1696
341,1028,1027,989,951,913,1065,1103,1141,1179,990
345,517,559,518,516,515,596,558,557,480,477
347,1205,1279,1317,1241,1355,1167,1393,1431,1469,1507
349,378,413,2935,377,340,303,304,450,3037,448
352,1191,1192,1154,1153,1115,1116,1230,1268,1267,1305
389,151,185,113,2957,262,300,225,302,184,183
423,1558,380,341,379,416,415,342,1520,1482,1444
426,840,842,878,839,801,880,918,956,994,802
428,1205,1232,1270,1194,1167,1269,1307,1345,1383,1421
433,1748,1785,1710,1747,1709,1786,1824,1862,1900,1938
449,1115,1012,1153,1191,974,936,898,860,1077,1039
451,1533,1065,1495,1103,1457,1419,1381,1571,1609,1647
468,1028,1255,1293,1217,990,952,914,1179,1141,1103
479,2605,2644,2684,2646,2647,2686,2687,2649,2643,2642
489,1555,1520,1482,1444,1406,1368,1330,1292,3038,1558
490,609,305,610,344,382,420,571,383,572,421
491,2728,2690,2691,2689,2692,2693,2655,2726,2725,2724
499,1075,2936,1113,3007,1149,1187,1225,1073,1035,997
503,365,367,366,404,2995,328,327,368,331,370
506,3038,1368,1406,1330,1292,1444,1482,1520,1558,1254
507,1147,1148,1185,1223,1261,1299,2988,1337,1375,1413
512,844,843,881,882,920,958,919,957,806,767
514,1129,1125,1163,1091,1053,1015,977,1201,1239,1087
517,752,789,827,865,903,941,979,751,715,753
560,187,189,188,226,264,224,148,149,111,147
585,201,237,202,200,203,204,274,238,239,240
595,1205,962,1167,924,886,848,1000,1038,1076,1114
613,2731,2926,2768,2767,2770,2732,2657,2728,2727,2764
615,341,342,379,380,416,415,453,492,490,491
616,1003,1273,1311,965,927,1041,1349,1387,1425,1463
617,1205,1459,1497,1421,1383,1345,1167,1307,1269,1535
618,1265,1187,1303,1341,1379,1225,2992,1227,1189,1417
621,2955,668,630,593,631,632,594,698,706,669
623,2416,2457,2417,2419,2418,2456,2455,2454,2492,2491
633,1141,1065,1103,1179,1027,989,951,913,1217,1255
639,1077,1119,1081,1043,1005,1039,1001,963,1157,1195
713,263,265,264,226,187,224,148,149,111,147
715,38,6,4,36,30,2937,11,14,2,3
723,198,234,3031,233,160,161,163,164,3012,165
743,263,265,264,226,187,224,148,149,111,147
747,1910,1777,1815,1948,1986,1872,1739,1701,2024,2023
754,1711,647,1673,1635,1597,1749,1559,1521,1787,1825
778,878,2206,2167,2205,839,801,840,802,765,2168
786,1001,1032,1039,1070,1108,1146,963,1147,1185,1223
787,1111,1152,1112,1114,1076,1074,1036,1038,1000,998
793,1483,2016,2931,2015,1978,1445,1407,1369,1331,1293
817,999,1264,1302,1340,1378,1416,1454,1492,1530,1568
822,2733,2695,2808,2769,2969,2696,2806,2844,2805,2843
844,597,599,634,672,636,595,600,674,635,673
850,1130,1168,1092,1054,1016,978,940,1167,1205,902
852,1055,1283,1321,1093,1245,1207,1017,1131,1169,1206
893,1261,1451,1489,1299,2988,1337,1527,1223,1185,1375
898,892,826,864,902,930,968,1006,1044,1082,1120
932,731,733,771,809,693,655,732,694,656,770
933,214,252,175,174,177,178,179,173,210,172
940,1279,1316,1317,1241,1355,1354,1393,1431,1469,1507
960,1939,1636,1674,1712,1750,1788,1826,1864,1902,1977
971,1292,1330,1368,1406,1444,3038,1482,1520,1558,1254
972,911,1292,1330,1368,1406,1444,3038,1482,1520,873
976,414,380,341,379,416,415,342,453,492,490
990,291,367,366,328,327,368,331,370,333,334
993,49,92,86,46,91,47,89,88,87,85
996,1190,2170,1228,1229,1266,1304,1342,2949,1380,1418
997,1522,1255,1484,1293,1217,1446,1408,1370,3034,1179
998,2247,2990,2246,2284,2322,2360,2398,2436,2207,2244
1000,341,342,379,380,416,415,453,492,490,491
1001,913,875,951,989,1027,1065,1103,1141,1179,1217
1007,181,182,143,180,103,102,183,184,63,137
