,Ance,Cyp310a1,zfh1,CG8147,toc,Doc3,fj,srp,aay,disco
,Doc2,Mdr49,Ilp4,ImpL2,rho,trn,CG14427,prd,Antp,CG10479
,peb,Mes2,Ama,bun,Traf4,tsh,Btk29A,knrl,MESR3,kni
,zen,NetA,dan,D,noc,htl,bmm,rau,fkh,Kr
,brk,sna,h,zen2,run,CG43394,pxb,dpn,Dfd,erm
,mfas,twi,ftz,tkv,E(spl)m5-HLH,lok,apt,gt,nub,oc
1,134,255,294,257,132,131,259,135,169,168
2,784,783,822,821,859,897,935,973,1011,860
9,2207,2244,2246,2247,2284,2322,2360,2398,2436,2285
12,1127,1089,1165,1203,1204,1242,2967,1280,1318,1356
27,364,365,404,2995,363,405,444,3017,442,445
30,1149,1189,1227,2992,1265,1303,1341,1379,1417,1187
36,500,421,383,420,382,344,305,381,343,463
41,794,2654,2617,756,757,793,831,869,907,945
51,2807,2937,2882,30,2846,2809,2771,36,38,2881
56,54,325,52,51,19,362,21,23,324,323
58,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
69,1292,988,1330,1368,1406,1444,3038,1482,1520,1558
81,1155,1153,1115,1191,1117,1079,1041,1003,965,927
90,1250,1253,1291,1212,1329,1367,1405,1443,1481,1519
95,684,682,643,680,718,717,755,754,753,715
115,1054,2648,1092,1130,1016,1168,978,940,1167,1205
130,1114,1076,1152,1038,1000,962,924,886,848,1190
131,1040,2408,1002,2370,964,1078,1116,1154,1192,1230
143,808,805,846,767,770,884,922,960,998,1036
157,1292,988,1330,1368,1406,1444,3038,1482,1520,1558
167,449,487,524,562,523,522,486,485,484,447
180,147,76,114,111,149,108,144,106,105,142
209,1190,1167,1228,1229,1205,1266,1304,1342,2949,1380
212,414,417,456,454,455,418,452,490,453,415
228,874,873,912,950,911,836,835,949,987,1025
264,1100,2933,1062,1138,1024,986,948,110,71,910
275,2244,2205,2207,2167,2206,2246,2247,2284,2322,2360
304,415,416,379,341,380,342,453,492,490,491
308,379,341,380,416,415,342,453,492,490,491
315,985,683,1023,947,909,871,1061,1099,1137,1175
328,1065,1027,1103,989,951,913,1141,1179,1217,1255
331,1213,1250,1212,1175,1251,1289,1327,1365,1403,1441
344,1367,1405,1329,1291,1253,1443,1481,1519,1557,3030
357,1250,1251,1212,1213,1175,1289,1327,1365,1403,1441
360,1078,1077,1039,1001,963,1115,1153,1191,1040,1002
366,3008,1216,1178,1140,1102,1064,1254,1026,1398,1360
372,1065,1028,1103,1141,1179,1027,989,951,913,990
374,670,633,708,746,595,672,634,597,745,707
379,239,1125,1163,240,241,238,1201,1239,1087,1049
394,603,608,570,641,679,716,677,642,715,752
404,2790,2791,3028,2830,2793,2788,2749,2711,2748,2747
409,523,475,562,524,487,437,474,473,472,522
410,1695,2115,2077,1733,1771,1809,1847,1885,1923,1961
416,157,158,120,122,84,124,85,87,194,88
435,1240,1242,2967,1280,1318,1356,1202,1164,1394,1432
439,873,912,950,874,911,836,835,949,987,1025
450,1028,1030,992,954,990,952,914,1068,1106,1144
457,590,517,518,516,515,589,551,480,477,476
470,1028,1294,1256,1332,990,952,914,1066,1104,1142
487,874,910,912,950,836,948,986,1024,1062,1100
492,340,339,2935,378,377,303,304,376,375,412
497,2323,1030,992,954,1068,1106,1144,1182,1220,1258
504,341,494,379,380,416,415,342,453,492,490
528,148,151,113,149,111,147,108,144,106,105
531,1120,1109,1110,1082,1044,1158,1196,1234,1272,1310
545,38,75,36,30,2937,2933,110,71,72,34
558,1495,3021,1491,1453,1415,1529,1567,1533,1605,1643
574,1304,1036,1266,1342,2949,1380,1418,1456,1494,1532
587,2637,2597,2939,2638,2636,2599,2596,2595,2557,2556
