,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
19,1685,2332,1647,1609,2331,2330,1571,1533,1495,1457
23,2769,2774,2969,2773,2736,2808,2733,2695,2696,2806
25,76,32,114,28,35,74,37,26,66,24
42,805,806,767,844,882,920,958,843,881,919
45,993,1108,1146,955,917,1031,1070,1032,1147,1185
53,858,847,885,923,961,999,820,896,934,972
55,567,605,644,529,606,568,530,604,566,527
61,2695,2698,2733,2808,2769,2969,2696,2806,2844,2805
100,1634,1668,1706,1672,1744,1782,1820,1858,1896,1596
102,1213,3030,1557,1519,1481,1443,1405,1367,1329,1291
117,1049,1013,1051,1087,1125,1163,1201,1239,975,937
118,2557,2594,2595,2556,2555,2593,2592,2596,2597,2939
119,1125,1164,1202,1163,1201,1239,1240,1087,1049,1277
123,686,1091,1053,1015,977,1129,687,649,3023,688
145,494,532,493,531,569,3016,646,684,570,608
159,1251,1252,1290,1213,1175,1289,1327,1365,1403,1441
170,3030,1252,1290,1557,1519,1481,1443,1405,1367,1329
182,2015,1977,1939,2931,2016,1978,1940,2053,2092,2054
184,262,377,378,2935,340,303,304,300,414,452
185,985,987,1025,1063,1101,1139,3014,949,1023,947
192,341,342,379,380,416,415,453,492,490,491
197,1159,1082,1121,1120,1044,1197,1235,1158,1196,1234
198,484,445,483,446,447,3017,444,405,442,403
200,2485,2523,2524,2487,2525,2564,2527,2528,2529,2568
207,1056,1055,1093,1017,1094,1132,1170,2932,1208,1246
211,2547,2588,2626,2471,2433,2510,2511,2512,2475,2476
232,38,108,144,106,105,36,30,2937,142,65
237,1065,1562,1103,1524,1600,1638,1676,1714,1752,1790
251,1372,1642,1334,1604,1566,1528,1490,2975,1452,1414
263,1229,1230,1228,1190,1268,1267,1305,1343,1381,1419
273,633,1045,670,1083,708,746,1121,1159,1197,1235
280,1003,1004,965,927,1041,1079,1117,1155,1193,1231
293,1037,1001,1039,963,1075,1113,1151,1189,1227,2992
299,1052,1358,1396,1434,1014,976,1090,1128,2977,1472
306,1205,1167,1168,1130,1092,1054,1016,978,940,902
311,2206,2207,2167,2244,2205,2246,2247,2284,2322,2360
330,108,109,144,106,105,107,31,70,142,65
342,1755,1756,1717,1679,1641,1794,1832,1603,1565,3005
351,2571,2565,2566,2610,2609,2611,2612,2574,2602,2573
361,443,442,405,444,3017,445,483,446,481,482
385,766,478,479,439,441,401,2987,729,691,653
398,1026,2774,1064,1102,1140,1178,1216,1254,2773,2736
401,1053,1054,1091,1092,1015,977,1130,1129,1016,1168
406,2015,913,951,989,1027,1065,1103,1141,1179,1217
421,1481,1519,1443,1557,1405,1367,1329,1291,1253,3030
436,972,1008,1046,1010,934,970,896,1084,1122,1160
437,1196,1153,1115,1191,1234,1158,1272,1310,1120,1082
446,2407,2447,2486,2484,2445,2954,2449,2483,2446,2409
459,1663,1091,1625,1587,1053,1015,977,1129,1701,1739
464,2633,2673,2712,2632,2710,2631,2713,2714,2715,2754
467,2943,874,912,950,836,1215,1177,3014,1139,1101
471,1153,1155,1115,1191,1117,1079,1041,1003,965,927
480,752,676,714,639,678,640,751,715,753,754
488,1161,1195,1157,1199,1237,1275,1233,1271,1308,1346
519,76,66,114,26,24,22,28,32,35,74
523,168,130,129,167,93,166,165,3012,164,163
524,1065,1179,1103,1141,1027,989,951,913,1217,1255
529,1091,1130,1053,1015,977,1092,1054,1129,1016,1168
536,879,2057,841,2019,2020,1982,1944,1906,1868,1830
548,2989,377,1632,1670,1555,1517,1479,1441,1403,1365
551,1229,1230,1228,1190,1268,1267,1305,1343,1381,1419
561,2926,2813,3036,2924,2921,2852,2968,2888,2886,2887
570,2086,1681,1719,1643,1605,1567,1529,1491,3021,1453
579,839,801,878,840,802,765,763,725,724,685
584,312,458,3011,419,3024,459,498,275,276,277
588,1660,1017,1698,1736,1622,1584,1546,1508,1470,1432
602,1144,1150,1182,1188,1106,1226,1264,1302,1340,1378
604,1034,1568,1606,1530,1492,1644,1682,996,1072,1454
622,1290,3038,1292,1330,1368,1406,1444,1252,1482,1520
636,53,2017,55,56,1979,1980,58,2056,2055,2093
652,500,541,540,579,580,543,581,582,545,546
667,478,442,479,439,441,401,405,444,3017,445
688,1588,2962,1626,1664,1702,1740,1778,1816,1854,1511
695,731,1037,1075,1113,1151,1189,1227,2992,1265,1303
700,752,713,750,788,751,749,748,747,715,785
702,1214,1368,1406,1330,1292,1444,3038,1482,1520,1176
707,2603,2640,2642,2641,2601,2643,2600,2561,2598,2560
708,559,596,558,557,598,597,634,672,595,633
709,1091,1130,1053,1015,977,1092,1054,1129,1016,1168
710,1071,1110,1109,1033,995,1148,1186,1224,1262,1300
718,539,578,616,576,575,617,618,2965,619,654
719,161,206,163,164,3012,165,166,160,198,3031
730,997,935,959,1035,1073,2936,3007,1149,1187,1225
731,341,379,380,416,415,342,453,492,490,491
751,1076,1080,1114,1118,1152,1042,1156,1038,1000,962
762,782,973,1011,935,897,859,821,783,1049,1087
763,1298,578,1336,1260,616,1374,1412,1222,1184,1145
765,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
782,1053,1054,1091,1092,1015,977,1130,1129,1016,1168
784,2244,1142,1104,1066,1180,1218,2207,1028,990,952
785,148,150,112,152,109,107,31,70,149,111
797,949,985,987,1025,1063,1101,1139,3014,1023,947
836,1141,1179,1103,1065,1027,989,951,913,1217,1255
837,803,838,876,800,877,2986,915,953,991,1029
875,1213,1253,1291,1329,1367,1405,1443,1481,1519,1557
888,1346,1922,1960,1384,1422,1460,1498,1536,1574,1612
894,76,38,114,36,30,2937,73,37,74,35
903,1490,1032,1528,2975,1452,1566,1414,1604,1642,1070
912,942,2613,2650,904,866,980,1018,828,2575,2614
917,988,2935,378,377,1026,1064,1102,1140,1178,1216
921,1049,1050,1087,1088,1126,1125,1163,1201,1239,1277
922,162,306,123,125,121,159,197,196,126,127
957,1074,1883,1112,1111,1036,1845,1807,1769,1731,1693
