,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
10,113,149,111,147,108,144,106,105,142,65
13,1153,1155,1115,1191,1117,1079,1041,1003,965,927
32,2674,2675,2676,2639,2678,2982,2677,2713,2714,2715
43,377,379,341,380,416,415,342,378,2935,453
52,76,32,114,28,35,74,37,26,66,24
73,210,134,132,131,172,135,169,168,167,204
88,954,880,918,992,1030,1068,1106,1144,1182,956
120,2320,2281,2358,2319,2243,2282,2244,2207,2246,2247
150,1292,1330,1368,1406,1444,3038,1482,1520,1558,1254
152,757,758,756,794,793,831,869,907,945,983
158,1558,377,1520,1482,1444,1406,1368,1330,1292,3038
162,1015,1052,977,1053,1091,1014,976,1129,1090,1128
168,989,1029,1067,1105,1143,1181,1219,1257,951,1027
174,1026,2806,1064,1102,1140,1178,1216,1254,2969,2769
195,1298,2291,1336,1260,1374,2292,2293,1412,1222,1184
203,2884,2885,2845,2847,2848,2999,2811,2883,2810,2772
217,654,661,623,622,615,577,617,618,2965,619
220,172,173,210,208,206,170,133,205,174,175
224,1935,1937,1973,1899,1861,1823,1975,2013,1785,1747
230,1026,2693,1064,1102,1140,1178,1216,1254,2655,2692
265,731,704,703,665,693,655,667,705,744,707
266,658,657,620,3033,621,660,619,2965,618,617
287,1077,2949,1342,1380,1304,1266,1418,1456,1494,1532
297,1181,1142,1143,1105,1067,1029,1104,1219,1257,1066
313,1043,1081,1119,1005,1157,1195,1233,1271,1308,1346
319,1077,1923,1885,1847,1809,1771,1733,1695,1961,1998
340,1140,1520,1178,1216,1482,1102,1064,1444,1406,1368
355,1053,1054,1091,1092,1015,977,1130,1129,1016,1168
368,1190,1150,1228,1188,1229,1226,1264,1302,1340,1378
371,66,14,11,26,24,22,28,32,35,74
376,640,567,678,639,676,714,529,565,752,751
382,76,38,114,36,30,2937,73,37,74,35
386,813,783,814,851,776,738,821,859,897,935
425,158,191,157,120,122,84,124,85,87,194
444,1291,1214,1253,1329,1367,1405,1443,1481,1519,1557
448,1253,1252,1291,1329,1367,1405,1290,1443,1481,1519
454,1886,999,1848,1810,1924,1962,1772,961,923,885
460,859,824,786,821,823,861,899,937,975,1013
474,1402,1363,1440,1478,1516,1554,1325,1287,1249,1211
481,788,826,864,902,750,713,940,978,1016,1054
482,1668,2354,2392,1706,1744,1782,1820,1858,1896,1630
483,150,152,112,109,107,31,70,67,104,64
486,239,162,123,125,240,241,238,121,159,197
495,1452,1683,2975,1490,1528,1566,1414,1604,1642,1645
505,1128,1663,1625,1587,1090,1052,1014,976,2977,1701
518,565,567,529,640,678,639,676,714,752,751
534,1380,1077,2949,1342,1304,1266,1418,1456,1494,1532
535,259,1213,1175,1251,1289,1327,1365,1403,1441,1479
540,1282,1018,1320,1244,2994,980,942,904,866,828
554,337,2009,1971,2047,1933,1895,1857,1819,1781,1743
557,1888,692,1850,1926,1964,1812,2980,1774,1736,1698
566,187,189,188,226,264,224,148,149,111,147
575,2419,936,2457,974,2456,2455,2454,2492,2491,1012
576,341,342,379,380,416,415,453,492,490,491
592,878,879,841,839,801,840,802,765,916,917
599,934,896,972,1010,1048,1086,1124,1162,1200,1238
619,341,1026,379,380,1064,1102,1140,1178,1216,1254
627,567,605,644,529,606,568,530,604,566,527
655,1071,1075,1113,1033,1037,995,1151,1189,1227,2992
656,162,664,123,125,702,121,159,197,196,126
661,1048,1049,1087,1125,1163,1201,1239,1086,1010,972
671,2652,1873,2651,1835,1797,1759,1721,1911,1949,1987
677,1190,1229,1228,1266,1304,1342,2949,1380,1418,1456
684,2269,3029,2231,2230,2191,2153,2152,2154,2192,2155
693,253,215,216,254,255,294,257,259,298,261
696,76,38,114,36,30,2937,73,37,74,35
701,1725,1726,1764,1688,1763,1801,1839,1877,1915,1802
703,1252,3030,1290,1557,1519,1481,1443,1405,1367,1329
711,880,884,918,956,994,922,960,998,1036,1074
712,1709,1746,1747,1708,1784,1822,1785,1860,2956,1671
717,1255,1522,1484,1293,1217,1446,1408,1370,3034,1179
725,1250,797,1212,1288,1326,1364,1402,1440,1478,1516
726,1308,1032,1070,1108,1146,1147,1185,1223,1261,1299
755,136,1169,1131,137,1093,1055,1017,63,1206,2994
772,1013,1128,1051,1090,1052,1014,976,2977,975,937
775,1708,1709,1747,1746,1784,1822,1785,1860,2956,1671
776,120,83,157,2966,122,84,124,85,158,119
777,1668,987,1706,1025,1063,1101,1139,3014,1744,1782
783,2718,2800,2719,2798,2717,2679,2716,2680,2681,2802
792,2769,2774,2969,2773,2736,2808,2733,2695,2696,2806
815,1304,1042,1266,1342,2949,1380,1418,1456,1494,1532
820,926,276,277,278,279,280,964,1002,1040,1078
825,874,2013,912,950,836,1975,1937,1899,1861,1823
834,567,569,529,3016,646,684,531,493,532,605
899,2547,2586,2471,2433,2510,2511,2512,2475,2476,2439
904,118,119,2966,83,117,156,155,154,115,116
910,2847,2656,2848,2999,2811,2884,2845,2883,2810,2772
916,2498,2612,2574,2459,2611,2610,2571,2609,2573,2572
954,1157,1127,1195,1233,1271,1089,1308,1346,1384,1422
967,1801,2633,1839,1763,2632,1725,1877,1915,1687,1649
969,1147,1148,1185,1223,1261,1299,2988,1337,1375,1413
975,1634,1668,1706,1672,1744,1782,1820,1858,1896,1596
978,1935,1937,1973,1899,1861,1823,1975,2013,1785,1747
980,1130,1738,1700,1662,1624,1586,1092,1054,1016,1776
983,1075,2936,1113,3007,1149,1187,1225,1073,1035,997
1005,831,796,793,869,907,945,983,1021,1059,1097
1011,66,76,114,26,24,22,28,32,35,74
1012,1114,1112,1076,1111,1152,1074,1036,1038,1000,998
1019,2960,647,1901,1863,1825,1787,1749,1711,1673,1635
1055,1738,1091,1700,1662,1624,1053,1586,1015,977,1129
1076,2,11,14,3,6,4,42,5,8,7
1085,879,384,2978,841,385,345,424,916,917,955
1086,1596,1594,2970,1634,1672,1710,1748,1786,1824,1862
1093,1905,1943,1981,1867,1829,1791,1753,1715,1677,1639
