,twi,tsh,ken,brk,srp,oc,Dfd,disco,odd,exex
,Doc2,ImpE2,knrl,h,trn,zen2,CG43394,nub,mfas,numb
5,1437,1816,1778,1854,1740,1702,1664,1626,1588,2962
18,1147,1181,1143,1105,1067,1029,1185,1223,1261,1299
26,142,138,65,99,105,106,144,108,147,111
46,1395,1125,1357,1163,1433,1471,1509,1201,1239,1547
47,2567,2605,2644,2606,2607,2608,2570,2604,2566,2565
66,28,32,35,74,37,26,66,24,22,18
70,2724,2725,2964,2685,2722,2683,2721,2720,2681,2680
83,541,579,540,580,543,581,582,545,546,509
84,310,346,347,386,348,385,384,2978,345,424
85,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
96,2378,1130,2377,1092,1054,1016,1168,2341,2379,978
97,1481,1519,1443,1557,1405,1367,1329,1291,1253,3030
110,1480,1482,1442,1404,1366,1518,1556,1520,1328,1444
112,2282,1677,2243,1639,1601,1563,1525,1715,1753,1487
113,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
128,2736,755,717,2773,2774,718,680,754,753,715
146,525,526,563,600,599,636,674,635,673,710
151,37,114,76,74,35,32,28,26,66,24
153,2689,2690,2691,2692,2693,2655,2726,2725,2724,2964
155,1203,1204,1242,2967,1280,1318,1356,1394,1432,1470
173,529,453,415,416,379,341,380,342,567,492
178,2689,2690,2691,2692,2693,2655,2726,2725,2724,2964
216,2521,2601,2640,2600,2561,2598,2560,2559,2641,2603
244,1140,1178,1216,1102,1064,1254,1026,988,950,912
246,467,503,502,468,504,463,500,466,465,464
247,1480,1482,1442,1404,1366,1518,1556,1520,1328,1444
259,2974,11,14,9,6,4,7,8,2976,10
261,2619,2620,2657,2732,2770,2731,2768,2767,2728,2727
321,1220,1222,1258,1184,1296,1334,1372,1410,3039,1448
332,17,20,15,13,12,10,2976,23,21,19
356,1098,1099,1136,1061,1174,1137,1023,985,947,909
359,2521,882,920,958,844,843,881,919,957,806
370,798,831,793,869,907,945,983,1021,1059,1097
395,379,416,341,380,415,342,453,492,490,491
400,1098,1099,1136,1061,1174,1137,1023,985,947,909
402,3001,2314,2239,2201,2277,2200,2161,2123,2085,2084
405,1472,1167,1510,1205,1548,1434,1396,1358,1168,1130
407,755,756,717,757,794,718,680,754,793,831
413,929,930,968,891,1006,1044,1082,1120,1158,1196
427,1040,1205,1002,1167,964,1078,1116,1154,1192,1230
438,1227,1229,2992,1189,1265,1303,1341,1379,1417,1228
440,303,375,304,340,2935,378,377,376,339,412
461,1964,1965,1926,1888,1850,1812,2980,1774,1736,1698
469,1257,2320,1219,1181,1143,1105,1067,1029,991,953
485,1745,1783,1821,1859,1897,1707,1669,1935,1973,1631
498,37,2917,2919,2916,2911,2909,2907,2867,2904,2901
508,1038,1037,1076,1114,1152,1075,1113,1000,1151,1189
509,914,2360,952,990,2398,2436,1028,2322,2284,1066
511,1091,1127,1053,1015,977,1129,1089,1165,1203,1204
537,2967,1315,1277,1353,1391,1242,1280,1318,1356,1394
549,2681,2639,2678,2680,2676,2679,2716,2717,2675,2674
559,1009,1011,1047,971,933,895,973,935,897,859
563,2451,2489,2450,2412,2411,2410,2371,2490,2491,2492
582,2112,2037,2074,2075,1999,1998,1961,1923,1885,1847
586,57,59,94,93,130,129,166,165,3012,164
598,1445,1446,1408,1407,1369,1331,1370,1484,1522,3034
605,1220,1222,1258,1184,1296,1334,1372,1410,3039,1448
607,2207,2244,2246,2247,2284,2322,2360,2398,2436,2285
609,840,799,837,875,913,951,989,1027,1065,1103
630,986,2617,1024,948,1062,1100,1138,910,1176,1214
632,1165,1166,2977,1128,1090,1052,1014,976,1127,1089
635,439,545,478,479,441,582,401,546,581,543
642,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
651,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
664,307,343,381,420,382,344,305,383,421,269
669,1152,1114,1076,1038,1000,962,924,886,848,1190
689,451,452,489,414,526,525,563,600,599,636
692,2539,2621,2576,2614,2575,2537,2578,2577,2613,2650
699,127,209,126,128,125,162,123,121,159,197
704,903,941,979,865,827,789,1017,1055,1093,1131
721,22,24,26,66,28,32,35,74,37,18
727,1483,1486,1448,3039,1410,1372,1334,1296,1258,1220
734,1723,957,1761,1799,1837,919,881,843,844,882
794,1015,976,977,1053,1091,1014,1052,1129,1090,1128
796,2439,840,878,839,801,802,765,2477,2476,2475
804,2008,2394,1970,2355,2356,2318,2280,1932,1894,1931
805,1074,1353,1315,1277,1112,1111,1391,1036,1429,1467
819,1015,1055,1093,977,1053,1091,1129,1017,1131,1169
827,1103,1105,1065,1143,1181,1067,1029,1219,1257,991
842,405,437,474,473,472,475,444,3017,514,552
849,1354,1008,1046,1316,970,1278,1392,1430,1468,1506
873,1764,1766,1804,1728,1726,1690,1652,1688,1614,1576
876,2768,2731,2767,2770,2732,2657,2728,2727,2764,2765
882,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
884,487,488,524,562,523,522,485,486,449,484
895,524,529,562,523,487,567,522,605,644,606
900,1010,971,972,933,1009,1047,934,895,896,1048
906,1326,1288,1364,1402,1440,1478,1516,1554,1250,1212
908,2952,1683,1645,1607,1569,1531,1684,1646,1608,1570
913,401,476,439,478,479,441,477,515,516,517
914,554,557,558,592,596,559,555,556,553,590
920,341,413,379,380,416,415,342,453,492,490
926,2657,2658,2732,2770,2731,2768,2767,2728,2727,2764
931,1227,1229,2992,1189,1265,1303,1341,1379,1417,1228
938,1656,1694,1618,1580,1542,1504,1466,1428,1390,1352
941,472,473,474,437,475,514,552,553,554,592
948,1227,1229,2992,1189,1265,1303,1341,1379,1417,1228
951,1295,989,1333,951,1027,913,1371,1409,1065,1103
952,1205,1242,1167,2967,1280,1318,1356,1394,1432,1470
953,1669,1707,1745,1783,1821,1859,1897,1935,1973,1631
955,2438,2474,2473,2472,2437,2401,2435,2434,2396,2395
985,2335,2334,2372,2333,2373,2374,2375,2413,2332,2331
989,843,851,881,919,957,844,882,920,958,813
1040,1012,1273,1311,1349,1387,1425,1463,1501,1539,1577
1046,817,820,779,858,896,934,972,1010,1048,1086
1056,453,489,415,416,379,341,380,342,492,451
1060,1593,2989,1632,1631,1670,2944,1555,1517,1479,1441
1074,2521,2601,2640,2600,2561,2598,2560,2559,2641,2603
1101,2589,2631,2551,2632,2633,2590,2591,2592,2593,2594
1105,1125,1155,1163,1117,1079,1201,1239,1041,1003,965
1108,2127,2203,2128,2090,2164,2126,2049,2011,2048,2010
1111,1167,1199,1161,1205,1237,1275,1123,1085,1168,1130
1132,1190,1153,1228,1115,1191,1229,1266,1304,1342,2949
1158,413,414,452,490,453,415,416,379,341,380
1160,2112,2037,2074,2075,1999,1998,1961,1923,1885,1847
1170,286,287,247,284,246,245,288,289,327,328
1171,541,579,540,580,543,581,582,545,546,509
1179,798,1175,1213,1251,1289,1327,1365,1403,1441,1479
1185,1130,1131,1169,1092,1054,1016,1168,978,940,1093
1188,830,905,792,943,867,981,868,906,944,982
1197,951,953,989,915,1027,913,991,1029,1067,1105
1226,1332,1335,1297,1259,2951,1221,1294,1256,1183,1373
1227,1656,1694,1618,1580,1542,1504,1466,1428,1390,1352
1230,1449,1445,1411,1407,1369,1373,1331,1293,1255,1217
1245,458,539,3011,419,3024,459,498,576,575,578
1263,1892,1930,1968,2006,2044,1854,1816,1778,1740,1702
1268,2127,2203,2128,2090,2164,2126,2049,2011,2048,2010
1273,180,181,143,182,103,102,183,184,63,137
1274,623,590,661,589,551,622,553,554,592,555
1287,2917,2919,2916,2911,2909,2907,2867,2904,2901,2900
