,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
4,162,163,123,125,161,164,3012,165,166,160
16,3003,2890,2902,2891,2899,2896,2906,2913,2920,2925
20,79,77,78,41,116,80,43,81,44,115
22,1593,1669,1707,1745,1783,1821,1859,1897,1631,2944
38,1177,1861,1215,1823,1899,1937,1975,2013,3014,1139
57,1119,1043,1081,1005,1157,1195,1233,1271,1308,1346
68,2636,2939,2597,2637,2638,2599,2596,2595,2557,2556
91,46,88,86,49,87,85,124,84,122,120
109,1181,1417,1143,1379,1341,1303,1265,2992,1227,1189
132,76,38,114,36,30,2937,73,37,74,35
135,2926,225,2924,2921,2968,2888,2886,2887,2885,2922
148,769,2557,2595,2556,2555,2596,2597,2939,2599,2558
179,1177,1139,1215,1101,1063,3014,1025,987,949,911
183,1738,620,1700,1662,1624,1586,1776,2947,1814,1852
187,1015,1052,977,1053,1091,1014,976,1129,1090,1128
188,2261,2263,2300,2302,2264,2262,2224,2187,2225,2226
201,1052,1358,1396,1434,1014,976,1090,1128,2977,1472
202,2244,1028,990,952,914,2207,1066,1104,1142,1180
213,234,541,540,233,3031,198,160,161,163,164
222,298,262,300,259,257,294,255,261,254,216
233,9,10,2976,2974,12,13,15,17,20,7
238,989,991,951,1027,913,953,915,1029,1067,1105
248,1367,1405,1329,1291,1253,1443,1481,1519,1557,3030
250,2015,1256,1294,1332,2931,2016,1370,1408,1446,1484
255,1091,1128,1053,1090,1015,977,1129,1052,1014,976
268,108,109,144,106,105,107,31,70,142,65
281,413,417,456,454,455,418,450,3037,448,449
282,2989,874,1632,912,950,836,1670,1555,1517,1479
288,1139,1178,1140,1216,1101,1063,3014,1102,1064,1025
298,3030,379,341,380,416,415,1557,1519,1481,1443
300,1291,1213,1253,1329,1367,1405,1443,1481,1519,1557
310,1150,955,1188,917,993,1031,1226,1264,1302,1340
317,1104,1255,1293,1217,1142,1066,1180,1218,1179,1141
318,1003,1009,1047,971,933,895,965,927,1041,1079
329,1077,1343,1305,1267,1268,1230,1381,1419,1457,1495
335,1153,1155,1115,1191,1117,1079,1041,1003,965,927
358,517,519,518,516,515,480,477,476,556,555
362,2733,2693,2695,2655,2808,2692,2691,2690,2689,2769
367,1644,1077,1682,1606,1568,1530,1492,1454,1416,1378
387,1558,380,341,379,416,415,342,1520,1482,1444
396,1250,1253,1291,1212,1329,1367,1405,1443,1481,1519
415,2716,2717,2679,2680,2681,2718,2719,2720,2721,2683
422,517,588,518,516,515,550,549,586,480,477
441,951,2282,2243,989,1027,913,1065,1103,1141,1179
442,1043,1077,1081,1119,1005,1039,1001,963,1157,1195
452,1213,1026,1064,1102,1140,1178,1216,1254,1175,1251
465,139,177,140,141,218,178,179,101,176,2973
476,998,999,960,922,961,923,885,847,1036,1074
478,1308,1236,1274,1198,1160,1122,1312,1350,1388,1426
484,1052,1013,1051,1014,976,1090,1128,2977,975,937
500,973,1279,1317,1241,1355,1393,1431,1469,1507,1545
525,567,605,644,529,606,568,530,604,566,527
526,1128,781,1090,1052,1014,976,2977,819,1166,743
530,132,168,131,134,167,135,169,204,203,202
539,271,345,2978,384,385,424,235,3010,387,349
541,1635,1940,1673,1711,1597,1749,1559,1521,1787,1825
543,2095,2781,2782,2096,2820,2097,2058,2021,1983,1984
550,601,636,599,602,638,600,564,527,674,637
564,2641,2678,2639,2676,2603,2642,2675,2674,2982,2643
565,2969,2769,2808,2733,2695,2696,2806,2844,2805,2843
567,1216,3014,1178,1140,1139,1101,1063,1102,1064,1025
583,2641,2678,2639,2676,2603,2642,2675,2674,2982,2643
590,454,494,455,417,456,418,532,493,531,569
591,1116,1118,1080,1154,1192,1042,1156,1230,1268,1267
606,76,32,114,28,35,74,37,26,66,24
612,774,808,735,846,770,884,922,960,998,1036
628,988,874,912,950,836,1026,1064,1102,1140,1178
631,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
638,512,403,440,402,513,551,589,590,553,554
648,2048,1022,984,946,1060,1098,1136,1174,1212,1250
666,874,1214,912,950,836,1176,1138,1100,1062,1024
691,494,1216,1178,1140,1102,1064,1254,1026,988,950
728,1634,1672,1596,1710,1748,1786,1824,1862,1900,1938
738,1740,1701,1702,1664,1626,1588,1739,1777,1815,2962
748,1132,1017,1170,2932,1208,1246,1284,1094,1322,1360
799,2207,1939,1977,2244,1940,2246,2247,2284,2322,2360
800,2962,1586,1624,1662,1700,1738,1776,2947,1814,1852
802,486,1367,1405,1329,1291,1253,1443,1481,1519,1557
811,2048,1022,984,946,1060,1098,1136,1174,1212,1250
821,1049,740,1087,1125,1163,1201,1239,1277,1315,1353
839,517,588,518,516,515,550,549,586,480,477
851,1091,1167,1053,1205,1015,977,1129,1168,1130,1092
858,2989,1289,1632,1327,1365,1403,1441,1479,1517,1251
887,731,728,690,693,655,689,727,726,2987,766
892,1481,1519,1443,1557,1405,1367,1329,1291,1253,3030
897,184,187,183,181,226,218,141,140,139,101
911,1623,1586,1661,1699,1737,2945,1624,1662,1700,1738
915,1150,1229,1188,1228,1190,1226,1264,1302,1340,1378
925,1402,1367,1405,1329,1440,1291,1253,1443,1481,1519
928,1582,1583,1621,1659,1697,1620,1658,1735,1544,1506
935,1520,3030,1482,1444,1406,1368,1330,1292,3038,1557
936,38,28,32,36,30,2937,35,74,37,26
942,1744,1745,1783,1821,1782,1820,1706,1668,1859,1897
994,988,2048,1026,1064,1102,1140,1178,1216,1254,2010
1002,108,109,144,106,105,107,31,70,142,65
1006,633,634,672,597,595,670,708,746,745,707
1014,826,859,864,902,821,897,935,973,1011,783
1016,422,458,3011,419,3024,459,498,460,461,423
1021,353,387,349,354,355,356,319,320,352,424
1026,341,342,379,380,416,415,453,492,490,491
1051,134,675,637,132,131,638,601,602,564,527
1068,277,814,276,278,279,280,813,851,243,776
1079,1216,3014,1178,1140,1139,1101,1063,1102,1064,1025
1083,1037,1001,1039,963,1075,1113,1151,1189,1227,2992
