,sna,dan,noc,CG8147,Antp,ftz,rho,Mes2,peb,pxb
,Traf4,erm,Btk29A,zfh1,fj,Ance,danr,gt,E(spl)m5-HLH,cnc
,Ilp4,Doc3,twi,zen2,toc,h,trn,Mdr49,CG14427,prd
,Ama,ImpL2,bun,htl,tkv,run,tsh,knrl,CG43394,edl
14,2962,1130,1092,1054,1016,1168,1588,1626,1664,1702
37,341,414,379,380,416,415,342,453,492,490
39,1402,1744,1440,1782,1820,1478,1516,1554,1706,1668
64,2949,2551,1342,1380,1304,1266,1418,1456,1494,1532
78,2246,1037,1075,1113,1151,1189,1227,2992,1265,1303
89,701,237,739,663,662,274,238,239,240,241
92,148,150,112,152,109,107,31,70,149,111
99,2330,995,2331,2332,1033,1071,2368,1110,1109,1148
101,1053,1054,1091,1092,1015,977,1130,1129,1016,1168
107,132,168,131,134,167,135,169,204,203,202
116,1411,2171,1449,1373,2951,1335,1297,1259,1221,1183
126,19,49,86,46,54,52,51,47,21,81
129,1642,1103,1604,1065,1566,1528,1490,2975,1452,1414
134,2696,2658,2695,2733,2808,2769,2969,2806,2844,2805
138,2322,2360,2398,2436,2284,2246,2247,2207,2244,2285
139,3016,873,911,646,835,949,987,1025,1063,1101
144,1586,973,1624,1662,1700,1738,1776,2947,1814,1852
163,301,339,376,375,412,411,373,372,371,408
165,340,1558,1520,1482,1444,1406,1368,1330,1292,3038
176,2604,2483,2567,2606,2607,2608,2570,2445,2484,2447
177,901,938,939,900,862,976,1014,1052,1090,1128
194,1282,136,1320,1244,2994,137,1206,63,1319,1357
196,1153,1155,1115,1191,1117,1079,1041,1003,965,927
199,2589,2585,2551,2509,2590,2591,2592,2593,2594,2548
206,657,685,724,725,763,619,2965,618,617,654
208,414,417,456,454,455,418,452,490,453,415
215,1009,201,202,200,203,204,1047,971,933,895
223,2171,1719,1681,1643,1605,1567,1529,1491,3021,1453
240,2807,2812,2882,2846,2809,2849,2771,2850,2881,2810
242,2471,2441,2433,2510,2511,2512,2475,2476,2480,2518
245,597,599,634,672,636,595,600,674,635,673
252,379,1252,341,1290,380,416,415,342,1328,1366
262,2949,1074,1342,1380,1304,1266,1418,1456,1494,1532
270,1028,951,989,1027,913,1065,1103,1141,1179,990
274,658,11,14,620,3033,621,660,698,2955,619
279,847,711,885,923,961,999,712,749,748,747
285,949,988,987,1025,1063,1101,1139,3014,1177,1215
302,1113,1151,1075,1189,1227,2992,1265,1303,1341,1379
305,2619,873,911,835,949,987,1025,1063,1101,1139
326,2209,2169,2208,2131,2132,2170,2171,2172,2210,2055
348,1026,1744,1782,1820,1706,1668,1064,1102,1140,1178
373,1150,1458,1188,1420,1382,1496,1534,1572,1226,1610
383,1042,1003,1080,1118,1156,965,927,1041,1079,1117
384,341,342,379,380,416,415,453,492,490,491
411,1298,1037,1336,1260,1374,1075,1113,1412,1151,1189
414,2013,1634,1672,1596,1975,1937,1899,1861,1823,1710
418,1298,1037,1336,1260,1374,1075,1113,1412,1151,1189
455,365,367,366,404,2995,328,327,368,331,370
462,46,92,86,49,91,47,89,88,87,85
494,1065,1183,1103,1141,1179,1027,989,951,913,1221
496,562,561,560,521,520,482,481,524,523,487
515,1939,2207,1977,2244,1940,2246,2247,2284,2322,2360
542,1065,1104,1103,1142,1066,1180,1218,1141,1179,1027
546,731,730,768,692,693,655,769,770,808,846
547,2674,2675,2676,2639,2678,2982,2677,2713,2714,2715
555,1152,1113,1075,1114,1076,1038,1037,1000,1151,1189
571,9,10,2976,2974,12,13,15,17,20,7
608,2676,2677,2639,2678,2675,2674,2982,2713,2714,2715
614,2525,2487,2524,2523,2485,2564,2527,2528,2529,2568
624,682,949,987,1025,1063,1101,1139,3014,1177,1215
644,1053,1054,1091,1092,1015,977,1130,1129,1016,1168
649,2943,567,1215,1177,3014,1139,1101,1063,1025,987
653,796,1177,1215,3014,1139,1101,1063,1025,987,949
654,330,331,370,333,368,293,332,295,367,366
657,2943,874,912,950,836,1215,1177,3014,1139,1101
665,1153,1155,1115,1191,1117,1079,1041,1003,965,927
672,2048,1934,1972,3027,2010,1896,1858,1820,1782,1744
714,138,27,25,62,29,69,99,65,142,105
716,646,607,3016,645,684,683,569,531,493,532
739,497,571,609,610,496,534,495,572,535,574
745,80,88,43,79,116,81,87,85,124,84
746,253,217,219,258,260,179,178,177,252,256
749,1594,2970,1556,1518,1480,1442,1404,1366,1328,1290
750,1634,1668,1706,1672,1744,1782,1820,1858,1896,1596
752,1229,1230,1228,1190,1268,1267,1305,1343,1381,1419
757,2943,567,1215,1177,3014,1139,1101,1063,1025,987
761,2203,621,3033,660,620,658,698,2955,619,2965
768,2347,901,2346,939,2308,863,825,787,977,1015
773,988,949,987,1025,1063,1101,1139,3014,1177,1215
790,1049,1663,1625,1587,1087,1125,1163,1201,1239,1701
801,1152,1113,1075,1114,1076,1038,1037,1000,1151,1189
809,1520,1634,1482,1672,1444,1406,1368,1330,1292,3038
813,1839,1878,1801,1763,1916,1725,1877,1915,1954,1992
845,2208,2247,2169,2209,2131,2132,2170,2171,2172,2210
857,1250,2352,1212,1288,1326,1364,1402,1440,1478,1516
862,1256,1217,1294,1255,1293,1332,1179,1141,1103,1065
865,2054,2055,2093,2056,2017,1979,1980,2130,2091,2092
877,2844,30,2805,2937,2843,36,38,2880,2840,2839
878,1071,1112,1111,1074,1033,1036,995,998,960,922
881,846,926,808,770,884,922,960,998,1036,1074
886,380,494,341,379,416,415,342,453,492,490
891,3017,620,444,3033,621,660,658,698,2955,619
909,2781,2815,2782,2820,2953,2780,2742,2783,2822,2823
927,1220,1228,1258,1190,1296,1334,1372,1229,1410,3039
930,76,32,114,28,35,74,37,26,66,24
946,984,1022,946,1060,1098,1136,1174,1212,1250,1288
958,1482,1520,1444,1406,1368,1330,1292,3038,1558,1254
965,1668,1671,1706,1744,1782,1820,1858,1896,1709,1747
970,879,880,841,918,956,994,842,804,805,767
977,2013,988,1975,1937,1899,1861,1823,1785,1747,1709
979,1557,3030,1519,1481,1443,1405,1367,1329,1291,1253
981,1037,1074,1112,1111,1036,1075,1113,1151,1189,1227
987,878,879,841,839,801,840,802,765,916,917
995,1282,1015,1320,1244,2994,977,1053,1091,1129,1206
